"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/ping-1572270041-macsec-aesgcm-e-frag-jumbo-1500-dstat.csv",,,,"Date:","28 Oct 2019 19:44:29 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.523,0.081,99.336,0.061,0,6512.444,426849.831,0,0,0,0,2609.521,325.758
0.756,1.511,97.733,0,0,0,0,1130880,1131040,0,0,14495,14201
0.253,1.768,97.980,0,0,0,0,1133600,1133600,0,0,14512,14219
0.756,1.259,97.985,0,0,0,86016,1132640,1132640,0,0,14541,14211
0.255,0.765,98.980,0,0,0,0,1133280,1133390,0,0,14484,14209
0.759,1.013,98.228,0,0,0,45056,1133280,1133280,0,0,14546,14232
0.254,1.018,98.728,0,0,0,0,1134129,1134002,0,0,14502,14228
0.758,1.010,98.232,0,0,0,0,1133107,1132800,0,0,14555,14226
0.510,0.765,98.724,0,0,0,0,1983424,1983712,0,0,14493,14125
0.759,1.013,98.228,0,0,0,0,2033568,2033568,0,0,14539,14187
0.506,1.266,98.228,0,0,0,24576,2035584,2035584,0,0,14486,14189
0.253,1.515,98.232,0,0,0,0,2035296,2035296,0,0,14514,14187
0.254,1.018,98.728,0,0,0,0,2035584,2035584,0,0,14500,14174
1.754,1.003,97.243,0,0,0,1634304,2035296,2035008,0,0,14866,14318
1.010,0.758,97.980,0.253,0,0,0,2035296,2035296,0,0,14511,14171
0.758,1.515,97.727,0,0,0,45056,3563776,3563776,0,0,14435,14059
1.005,1.508,97.487,0,0,0,0,3817248,3817248,0,0,14411,14084
1.263,1.010,97.727,0,0,0,0,3807456,3808000,0,0,14397,14072
1,2,97,0,0,0,0,3817792,3817248,0,0,14383,14075
0.756,1.511,97.733,0,0,0,0,3817792,3818446,0,0,14397,14092
0.752,2.005,97.243,0,0,0,12288,3817248,3816704,0,0,14371,14094
1.003,1.754,97.243,0,0,0,0,3817792,3817792,0,0,14386,14088
1.018,0.509,98.473,0,0,0,0,6358943,6359872,0,0,14290,13926
1.010,1.263,97.727,0,0,0,20480,7307667,7306464,0,0,14235,13901
0.510,0.765,98.724,0,0,0,0,7311744,7312800,0,0,14183,13895
0.761,1.015,98.223,0,0,0,61440,7313856,7312800,0,0,14239,13921
1.010,1.263,97.727,0,0,0,0,7313856,7313856,0,0,14182,13895
1.010,1.010,97.980,0,0,0,0,7312800,7313856,0,0,14233,13911
0.508,1.269,98.223,0,0,0,4096,7312800,7312800,0,0,14211,13900
0.763,1.018,98.219,0,0,0,0,8442896,8441840,0,0,14052,13692
0.758,1.515,97.727,0,0,0,32768,9620176,9620176,0,0,13774,13489
0.759,1.519,97.722,0,0,0,0,9614448,9615880,0,0,13767,13486
0.509,1.018,98.473,0,0,0,0,9628768,9628768,0,0,13767,13485
0.763,0.763,98.219,0.254,0,0,4194304,9630200,9628768,0,0,13812,13512
0.758,1.515,97.475,0.253,0,0,10248192,9635928,9635928,0,0,13802,13508
0.508,1.269,98.223,0,0,0,28672,9653112,9654544,0,0,13839,13543
0.508,1.523,97.970,0,0,0,0,9621902,9621988,0,0,13855,13498
0.761,1.015,98.223,0,0,0,0,10011210,10011210,0,0,13546,13274
1.020,0.510,98.469,0,0,0,0,10062822,10062822,0,0,13609,13334
1.263,1.010,97.727,0,0,0,69632,9988440,9986922,0,0,13528,13219
0.256,0.767,98.977,0,0,0,24576,9994512,9996030,0,0,13496,13226
1.013,1.013,97.975,0,0,0,0,9982368,9980850,0,0,13502,13211
1.003,1.754,96.992,0.251,0,0,0,9983886,9985404,0,0,13467,13190
0.758,1.515,97.727,0,0,0,0,9958080,9958080,0,0,13468,13184
