"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/ping-1572270041-macsec-aesgcm-e-jumbo-2928-dstat.csv",,,,"Date:","28 Oct 2019 19:08:42 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.487,0.079,99.372,0.061,0,6562.161,429823.427,0,0,0,0,2588.817,321.582
2.730,0.993,96.278,0,0,0,49152,1118400,1118240,0,0,15018,14068
1.504,1.253,97.243,0,0,0,0,1127520,1127680,0,0,15129,14151
1.500,1.500,97,0,0,0,0,1127680,1127680,0,0,15133,14171
2.005,1.003,96.992,0,0,0,0,1123520,1123470,0,0,15079,14104
1.496,1.496,97.007,0,0,0,0,1127040,1127040,0,0,15125,14162
2.475,1.485,96.040,0,0,0,16384,1127249,1127122,0,0,15131,14174
1.763,0.756,97.481,0,0,0,5369856,1122720,1122720,0,0,15109,14118
2.463,1.970,95.567,0,0,0,0,1929363,1929216,0,0,15100,14110
1.504,1.253,97.243,0,0,0,0,2023200,2023488,0,0,15088,14113
1.990,1.493,96.517,0,0,0,0,2023776,2023776,0,0,15092,14090
1.253,1.754,96.992,0,0,0,36864,2023776,2023776,0,0,15097,14122
1.259,1.008,97.733,0,0,0,4096,2023776,2023488,0,0,15088,14093
1.754,0.752,97.243,0.251,0,0,0,2023776,2023776,0,0,15093,14109
1.759,1.005,97.236,0,0,0,0,2015136,2015424,0,0,15031,14037
1.759,1.005,97.236,0,0,0,0,3379840,3380096,0,0,14999,13984
1.500,1.500,97,0,0,0,28672,3794944,3794944,0,0,14993,13999
1.759,1.005,97.236,0,0,0,0,3793856,3793856,0,0,14986,14009
1.263,0.758,97.980,0,0,0,0,3793856,3793966,0,0,14982,13999
1.508,1.256,97.236,0,0,0,0,3792768,3792768,0,0,14983,14000
1.253,1.504,97.243,0,0,0,0,3792224,3792224,0,0,14980,13975
1.746,1.746,96.509,0,0,0,16384,3792768,3792224,0,0,14985,14007
1.995,1.746,96.259,0,0,0,1675264,5839039,5839968,0,0,15169,13958
2,1.500,96.500,0,0,0,0,7269504,7268448,0,0,14811,13827
2.217,2.463,95.320,0,0,0,0,7264371,7264224,0,0,14795,13818
1.741,1.990,96.020,0.249,0,0,0,7270642,7270642,0,0,14807,13822
2.217,2.463,95.320,0,0,0,69632,7269504,7269504,0,0,14813,13826
2.244,1.247,96.509,0,0,0,4096,7272672,7272672,0,0,14816,13827
2.500,1,96.500,0,0,0,0,7272672,7273728,0,0,14810,13813
1.750,1.750,96.500,0,0,0,0,8049522,8049898,0,0,14786,13765
1.759,1.005,97.236,0,0,0,0,9767672,9767672,0,0,14680,13679
2.010,1.005,96.985,0,0,0,36864,9757648,9756216,0,0,14676,13701
1.272,0.763,97.964,0,0,0,0,9737600,9737600,0,0,14639,13659
2.267,0.504,96.725,0.504,0,0,13963264,9756216,9757648,0,0,14681,13692
2.010,1.005,96.985,0,0,0,0,9761944,9760512,0,0,14668,13667
2.005,1.253,96.742,0,0,0,0,9724712,9724712,0,0,14617,13638
2.015,0.504,97.229,0.252,0,0,32768,9761944,9761944,0,0,14676,13693
1.269,1.015,97.716,0,0,0,0,10261788,10263306,0,0,14663,13654
1.772,0.506,97.722,0,0,0,0,10346688,10346688,0,0,14666,13692
1.763,1.008,97.229,0,0,0,0,10345170,10345170,0,0,14666,13699
1.768,0.505,97.727,0,0,0,0,10348206,10346688,0,0,14668,13703
1.519,0.759,97.722,0,0,0,28672,10345170,10346688,0,0,14670,13715
1.519,0.759,97.722,0,0,0,0,10342134,10342134,0,0,14658,13679
2.015,0.756,97.229,0,0,0,65536,10298112,10298112,0,0,14615,13650
