"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/ping-1572270041-macsec-aesgcm-e-jumbo-Ethernet-9000-dstat.csv",,,,"Date:","28 Oct 2019 20:20:18 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.525,0.083,99.331,0.060,0,6463.466,423910.892,0,0,0,0,2623.113,329.519
3.258,2.506,94.236,0,0,0,49152,2204160,2204000,0,0,28606,27684
3.258,2.005,94.737,0,0,0,0,2200320,2200480,0,0,28545,27555
1.772,2.532,95.696,0,0,0,0,2197760,2197760,0,0,28510,27537
4.691,2.469,92.840,0,0,0,0,3115712,3115552,0,0,30228,29247
4.250,2.500,93.250,0,0,0,0,4644864,4644974,0,0,33301,32309
4.250,2.750,93,0,0,0,24576,4646801,4646674,0,0,33318,32342
4.703,2.970,92.327,0,0,0,0,5675187,5675584,0,0,32908,31898
4.020,2.261,93.719,0,0,0,0,8538624,8538771,0,0,32435,31467
3.980,2.985,93.035,0,0,0,28672,8534816,8534272,0,0,32418,31449
3.797,2.025,94.177,0,0,0,0,8972160,8972160,0,0,32007,31014
4,2.500,93.500,0,0,0,40960,14681568,14682624,0,0,28855,27896
3.015,2.764,93.970,0.251,0,0,0,14910720,14909664,0,0,29283,28306
3.535,2.020,94.444,0,0,0,0,14849472,14850528,0,0,29162,28187
3.535,1.768,94.697,0,0,0,122880,16401592,16400536,0,0,27636,26593
3.509,2.506,93.985,0,0,0,0,17988784,17990216,0,0,26166,25194
2.792,2.030,95.178,0,0,0,24576,18037472,18037472,0,0,26236,25262
3.030,2.273,94.697,0,0,0,0,17867064,17865632,0,0,25994,25004
3.046,1.777,95.178,0,0,0,0,18200230,18201748,0,0,25788,24766
2.551,1.786,95.663,0,0,0,0,18496830,18496830,0,0,25414,24438
3.266,2.261,94.472,0,0,0,0,18524154,18522636,0,0,25445,24468
2.290,2.290,95.420,0,0,0,24576,18411822,18413450,0,0,25300,24323
