"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/ping-1572270041-macsec-aesgcm-we-frag-jumbo-1500-dstat.csv",,,,"Date:","28 Oct 2019 20:02:23 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.523,0.082,99.334,0.061,0,6487.879,425377.009,0,0,0,0,2616.334,327.632
0.253,1.515,98.232,0,0,0,0,1138080,1138080,0,0,14566,14270
0.504,1.511,97.985,0,0,0,0,1137600,1137600,0,0,14587,14263
0,1.523,98.477,0,0,0,0,1137920,1138080,0,0,14572,14280
0.506,1.013,98.481,0,0,0,0,1137920,1137920,0,0,14614,14285
0.506,1.013,98.481,0,0,0,45056,1137842,1137952,0,0,14565,14277
0.758,1.010,98.232,0,0,0,0,1137727,1137600,0,0,14570,14262
0.253,1.266,98.481,0,0,0,0,1137920,1137760,0,0,14604,14281
1.504,1.253,97.243,0,0,0,0,2019091,2019091,0,0,14570,14223
0.508,1.015,98.477,0,0,0,0,2041920,2041920,0,0,14490,14220
0.254,0.763,98.982,0,0,0,24576,2042208,2042496,0,0,14533,14249
0.761,0.761,98.477,0,0,0,0,2039328,2039328,0,0,14528,14230
1.008,1.259,97.733,0,0,0,1335296,2036736,2036736,0,0,14765,14297
0.759,1.013,98.228,0,0,0,0,2035872,2035584,0,0,14474,14192
0.756,1.259,97.985,0,0,0,0,2043072,2043072,0,0,14556,14232
0.758,1.515,97.727,0,0,0,28672,3652544,3652544,0,0,14400,14082
0.761,0.761,98.477,0,0,0,0,3824320,3824864,0,0,14386,14107
0.254,1.018,98.728,0,0,0,0,3826496,3825952,0,0,14398,14120
0.504,1.763,97.733,0,0,0,0,3822688,3823232,0,0,14379,14095
0.509,0.763,98.473,0.254,0,0,0,3822688,3822688,0,0,14397,14109
0.509,0.763,98.728,0,0,0,12288,3826496,3826496,0,0,14405,14133
0.503,2.010,97.487,0,0,0,0,3827040,3827150,0,0,14390,14114
1.015,0.761,98.223,0,0,0,0,6577887,6578272,0,0,14250,13898
0.505,1.768,97.727,0,0,0,40960,7329696,7329696,0,0,14252,13965
1.008,1.511,97.481,0,0,0,0,7331955,7331955,0,0,14219,13948
0.765,0.510,98.724,0,0,0,61440,7330752,7330752,0,0,14225,13953
0.758,1.263,97.980,0,0,0,0,7332864,7331808,0,0,14224,13958
0.509,1.018,98.473,0,0,0,0,7332864,7333920,0,0,14219,13941
0.504,1.763,97.733,0,0,0,0,7332864,7332864,0,0,14215,13949
1.015,1.015,97.970,0,0,0,0,8631008,8631384,0,0,13983,13643
0.761,1.269,97.970,0,0,0,24576,9613016,9611584,0,0,13737,13482
1.250,1.750,96.750,0.250,0,0,0,9607288,9608720,0,0,13751,13483
0.513,0.513,98.974,0,0,0,0,9627336,9625904,0,0,13775,13490
1.015,1.015,97.208,0.761,0,4096,14200832,9532906,9532906,0,0,13674,13385
1.008,1.511,97.481,0,0,0,0,9613016,9614448,0,0,13756,13465
0.761,1.269,97.970,0,0,0,32768,9620176,9620176,0,0,13766,13503
0,1.777,98.223,0,0,0,0,9577224,9577310,0,0,13757,13397
1.010,1.263,97.727,0,0,0,0,9961198,9959680,0,0,13461,13187
1.015,0.761,98.223,0,0,0,69632,9926202,9926202,0,0,13419,13131
1.010,1.263,97.727,0,0,0,0,9965670,9965670,0,0,13465,13187
0.761,1.015,97.970,0.254,0,0,24576,9977814,9979332,0,0,13480,13218
0,1.527,98.473,0,0,0,0,9947454,9945936,0,0,13429,13148
1.003,1.754,97.243,0,0,0,0,9945936,9947454,0,0,13414,13140
0.759,1.266,97.975,0,0,0,0,9956562,9956562,0,0,13451,13181
