"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/ping-1572270041-macsec-aesgcm-we-jumbo-2928-dstat.csv",,,,"Date:","28 Oct 2019 19:26:35 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.504,0.080,99.355,0.061,0,6537.230,428340.213,0,0,0,0,2599.229,323.665
1.263,0.758,97.727,0.253,0,0,1380352,1129600,1129440,0,0,15406,14267
2,1,97,0,0,0,0,1129600,1129760,0,0,15157,14164
1.511,0.756,97.733,0,0,0,0,1130080,1129920,0,0,15162,14184
1.508,1.005,97.487,0,0,0,0,1129600,1129600,0,0,15161,14169
1.256,1.256,97.487,0,0,0,61440,1130080,1130080,0,0,15162,14174
1.259,1.008,97.733,0,0,0,0,1131089,1130962,0,0,15180,14199
1.013,0.759,98.228,0,0,0,0,1130880,1130990,0,0,15176,14197
0.505,1.515,97.980,0,0,0,0,1965491,1965779,0,0,15136,14139
1.010,1.010,97.980,0,0,0,0,2027520,2027520,0,0,15111,14130
2.005,0.752,97.243,0,0,0,24576,2026368,2026368,0,0,15119,14157
1.008,1.259,97.733,0,0,0,81920,2020608,2020320,0,0,15088,14115
1.508,1.256,97.236,0,0,0,0,2017440,2017440,0,0,15044,14068
1.263,1.010,97.727,0,0,0,0,2011392,2011680,0,0,15002,14010
1.754,1.003,97.243,0,0,0,0,2017152,2016864,0,0,15045,14058
1.515,1.010,97.475,0,0,0,24576,3445472,3446016,0,0,15039,14044
1.013,0.759,97.722,0.506,0,0,7143424,3797120,3797120,0,0,15056,14053
0.509,0.763,98.728,0,0,0,0,3803104,3802560,0,0,15014,14028
1.519,0.506,97.975,0,0,0,0,3788960,3788960,0,0,14966,13989
1.523,0.254,98.223,0,0,0,0,3800928,3801472,0,0,15012,14044
1.269,0.508,98.223,0,0,0,53248,3798208,3798208,0,0,15002,14046
2.500,0.500,97,0,0,0,0,3804736,3804736,0,0,15027,14043
1.250,2,96.750,0,0,0,0,6013311,6013696,0,0,14911,13900
2.222,2.469,95.309,0,0,0,0,7266336,7266336,0,0,14796,13823
1.259,1.511,97.229,0,0,0,0,7249587,7249587,0,0,14768,13821
1.990,1.741,96.269,0,0,0,24576,7276896,7275840,0,0,14818,13844
1.754,1.504,96.742,0,0,0,0,7279008,7279118,0,0,14827,13850
1.980,2.228,95.792,0,0,0,0,7269504,7270560,0,0,14806,13830
1.763,0.756,97.481,0,0,0,0,7276896,7276896,0,0,14817,13851
1.754,1.504,96.742,0,0,0,0,8155368,8155744,0,0,14761,13747
1.763,1.008,97.229,0,0,0,24576,9757648,9756216,0,0,14668,13701
2.005,1.253,96.742,0,0,0,0,9737600,9739032,0,0,14638,13668
1.015,1.269,97.716,0,0,0,6680576,9733304,9733304,0,0,14636,13664
1.259,1.259,97.481,0,0,0,0,9756216,9756216,0,0,14658,13675
2.005,1.253,96.742,0,0,0,0,9754784,9753352,0,0,14661,13689
1.763,1.008,97.229,0,0,0,20480,9739032,9739032,0,0,14641,13671
0.758,2.020,97.222,0,0,0,0,9707884,9709402,0,0,14665,13651
1.519,0.759,97.722,0,0,0,0,10307220,10305702,0,0,14620,13653
1.511,1.259,97.229,0,0,0,0,10307220,10307220,0,0,14619,13648
2.015,0.756,97.229,0,0,0,0,10292040,10293558,0,0,14599,13623
2.005,1.253,96.742,0,0,0,24576,10304184,10304184,0,0,14619,13639
1.008,1.763,97.229,0,0,0,0,10307220,10307220,0,0,14614,13621
2.250,1.250,96.500,0,0,0,0,10307220,10307220,0,0,14618,13627
1.269,1.015,97.716,0,0,0,0,10304266,10304266,0,0,14613,13624
