"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/ping-1572270041-macsec-morus640-e-1500-1500-dstat.csv",,,,"Date:","28 Oct 2019 22:42:02 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.645,0.093,99.203,0.059,0,6276.595,412674.853,0,0,0,0,3501.885,345.663
0.504,1.763,97.733,0,0,0,45056,1125280,1125440,0,0,14417,14141
1.003,1.754,97.243,0,0,0,0,1126720,1126560,0,0,14418,14129
0.504,1.763,97.733,0,0,0,0,1126240,1126240,0,0,14473,14146
1.256,1.256,97.487,0,0,0,0,1125760,1125920,0,0,14451,14118
0,1.272,98.728,0,0,0,0,1125440,1125390,0,0,14445,14124
0.759,1.266,97.975,0,0,0,12288,1127089,1126962,0,0,14481,14155
0.254,1.269,98.477,0,0,0,0,1126720,1126880,0,0,14451,14138
1.511,0.756,97.481,0.252,0,0,0,1937427,1937408,0,0,14493,14116
0.754,1.759,97.487,0,0,0,0,2023776,2023488,0,0,14373,14099
1.504,1.253,97.243,0,0,0,0,2020896,2020896,0,0,14369,14085
0.761,0.761,98.477,0,0,0,24576,2025216,2025504,0,0,14429,14136
0.758,1.263,97.980,0,0,0,0,2025216,2024928,0,0,14431,14113
0.509,1.018,98.473,0,0,0,0,2025216,2025504,0,0,14412,14122
0.756,1.511,97.733,0,0,0,0,2025504,2025504,0,0,14423,14106
1.266,0.759,97.975,0,0,0,1454080,3412768,3412480,0,0,14691,14130
3.704,0.741,95.556,0,0,0,45056,3793856,3794400,0,0,14367,14064
0.509,1.018,98.473,0,0,0,0,3780800,3780256,0,0,14226,13941
5.583,0.243,94.175,0,0,0,0,3803104,3803648,0,0,14420,14133
6.667,0.952,92.381,0,0,0,0,3804736,3804192,0,0,14453,14164
6.475,0.480,93.046,0,0,0,4096,3794944,3795488,0,0,14421,14126
2.757,0.251,96.992,0,0,0,12288,3802016,3802016,0,0,14347,14069
1.013,1.013,97.975,0,0,0,0,5959679,5959008,0,0,14344,13965
1.263,1.010,97.727,0,0,0,0,7300128,7300238,0,0,14197,13893
1.266,0.759,97.975,0,0,0,0,7291827,7291680,0,0,14177,13873
0,0.767,99.233,0,0,0,0,7312800,7313856,0,0,14177,13888
1.015,0.761,98.223,0,0,0,114688,7314912,7313856,0,0,14280,13933
0.505,1.768,97.727,0,0,0,0,7313856,7313856,0,0,14205,13908
0.505,1.515,97.980,0,0,0,0,7314994,7316050,0,0,14230,13899
1.259,1.511,97.229,0,0,0,0,8199984,8198928,0,0,14100,13753
1,2,96.750,0.250,0,0,0,9663136,9664568,0,0,13842,13545
1.772,0.506,97.722,0,0,0,13258752,9628768,9628768,0,0,13810,13527
0.508,1.269,98.223,0,0,0,0,9658840,9658840,0,0,13845,13546
1.010,1.263,97.727,0,0,0,0,9647384,9647384,0,0,13804,13531
0.754,1.759,97.487,0,0,0,0,9655976,9655976,0,0,13832,13537
1.010,1.263,97.727,0,0,0,0,9655976,9655976,0,0,13809,13534
1.010,1.515,97.475,0,0,0,12288,9641656,9640224,0,0,13799,13545
1.003,2.005,96.992,0,0,0,0,9922780,9924298,0,0,13558,13200
1.013,1.013,97.975,0,0,0,0,9967188,9965670,0,0,13469,13180
0.509,1.018,98.473,0,0,0,0,9989958,9989958,0,0,13484,13213
1.266,0.759,97.975,0,0,0,0,9997548,9997548,0,0,13532,13232
0.508,1.269,98.223,0,0,0,24576,9991476,9992994,0,0,13482,13210
0.761,1.015,98.223,0,0,0,0,9986922,9986922,0,0,13502,13213
0.765,0.510,98.724,0,0,0,0,10002102,10002102,0,0,13511,13239
