"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/ping-1572270041-macsec-morus640-e-frag-1500-dstat.csv",,,,"Date:","28 Oct 2019 19:07:46 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.487,0.079,99.373,0.061,0,6563.456,429851.274,0,0,0,0,2587.096,319.465
0.508,1.015,98.477,0,0,0,1363968,1129920,1129920,0,0,14711,14283
0.759,1.013,98.228,0,0,0,0,1131040,1130880,0,0,14472,14184
1.256,1.256,97.487,0,0,0,0,1126560,1126720,0,0,14431,14168
0.252,1.763,97.985,0,0,0,0,1130720,1130720,0,0,14488,14183
0.510,0.510,98.980,0,0,0,0,1131040,1131150,0,0,14494,14194
1.259,1.008,97.733,0,0,0,16384,1131409,1131282,0,0,14532,14205
0.505,1.263,98.232,0,0,0,0,1131040,1131040,0,0,14505,14189
0.761,1.015,98.223,0,0,0,0,1961875,1961715,0,0,14474,14118
0.254,1.018,98.728,0,0,0,0,2027808,2028096,0,0,14429,14133
0.504,1.763,97.733,0,0,0,0,2027808,2027520,0,0,14439,14144
1.010,0.758,98.232,0,0,0,69632,2027520,2027520,0,0,14466,14152
1.263,1.010,97.727,0,0,0,0,2017152,2017152,0,0,14358,14071
0.509,0.763,98.728,0,0,0,0,2026656,2026656,0,0,14422,14110
0.756,1.511,97.733,0,0,0,0,2027232,2027232,0,0,14430,14121
2.723,1.238,96.040,0,0,0,0,3477792,3478336,0,0,14474,14081
4.796,2.398,92.806,0,0,0,24576,3806368,3805824,0,0,14457,14114
4.057,3.341,92.601,0,0,0,0,3809632,3810176,0,0,14416,14085
1.467,3.667,94.866,0,0,0,0,3811808,3811264,0,0,14374,14058
1.235,2.963,95.802,0,0,0,0,3811808,3811808,0,0,14391,14065
1.225,3.676,95.098,0,0,0,0,3812896,3813550,0,0,14396,14074
0.993,2.730,96.278,0,0,0,24576,3813440,3812896,0,0,14350,14060
1.253,1.754,96.992,0,0,0,0,6121791,6122720,0,0,14264,13870
0.761,1.015,98.223,0,0,0,0,7294848,7294848,0,0,14166,13867
0.761,1.015,98.223,0,0,0,0,7296051,7296051,0,0,14198,13881
0.254,1.272,98.473,0,0,0,0,7298016,7298016,0,0,14134,13850
1.020,0.255,98.724,0,0,0,40960,7299072,7298016,0,0,14150,13880
0.509,1.018,98.473,0,0,0,77824,7298016,7299072,0,0,14170,13871
0.509,1.018,98.473,0,0,0,0,7296960,7296960,0,0,14177,13880
1.015,1.015,97.970,0,0,0,0,8253624,8254000,0,0,14032,13674
0.758,1.515,97.727,0,0,0,0,9635928,9635928,0,0,13812,13505
0.756,1.763,97.481,0,0,0,32768,9647384,9647384,0,0,13837,13544
0.761,1.015,97.716,0.508,0,0,13643776,9366712,9366712,0,0,13450,13143
0.509,1.018,98.473,0,0,0,0,9643088,9643088,0,0,13792,13504
1.008,1.511,97.481,0,0,0,0,9638792,9637360,0,0,13812,13513
0.754,2.010,97.236,0,0,0,0,9621608,9623040,0,0,13755,13482
0.509,1.018,98.473,0,0,0,28672,9640224,9638792,0,0,13794,13524
0.510,1.020,98.469,0,0,0,0,9967314,9968832,0,0,13612,13265
0.761,1.015,98.223,0,0,0,0,10094700,10094700,0,0,13631,13343
0.254,1.523,98.223,0,0,0,0,10027990,10027990,0,0,13561,13278
0.508,1.269,98.223,0,0,0,0,10056750,10055232,0,0,13565,13296
1.010,1.263,97.727,0,0,0,24576,10061304,10061304,0,0,13602,13330
0.761,1.015,98.223,0,0,0,303104,10006656,10008174,0,0,13566,13253
1.015,1.015,97.970,0,0,0,0,10082556,10081038,0,0,13627,13338
