"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/ping-1572270041-orig-jumbo-9000-dstat.csv",,,,"Date:","28 Oct 2019 16:10:12 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.233,0.066,99.638,0.063,0,6821.804,445386.683,0,0,0,0,1415.345,294.727
3.731,2.239,93.781,0.249,0,0,53248,2129712,2129868,0,0,28358,27435
3.741,1.995,94.264,0,0,0,0,2131116,2130960,0,0,28358,27427
2.506,3.008,94.486,0,0,0,0,2145780,2145780,0,0,28555,27612
3.023,2.267,94.710,0,0,0,0,3019860,3020144,0,0,30197,29208
3.990,3.242,92.768,0,0,0,0,4607739,4607438,0,0,33489,32566
4.030,2.015,93.955,0,0,0,24576,4609966,4610089,0,0,33512,32601
4.500,2.500,93,0,0,0,0,5591207,5591604,0,0,32926,31995
3.778,2.519,93.703,0,0,0,0,8508240,8507700,0,0,32547,31597
3.731,3.483,92.786,0,0,0,0,8462880,8463420,0,0,32388,31452
4.703,2.970,92.327,0,0,0,0,8867816,8868328,0,0,31959,31015
4.271,1.759,93.719,0.251,0,0,24576,14678556,14678556,0,0,28954,28043
4.271,1.759,93.970,0,0,0,0,14584928,14583876,0,0,28765,27825
4.975,1.990,93.035,0,0,0,0,14650152,14650152,0,0,28894,27975
4.010,2.506,93.484,0,0,0,0,16073256,16074684,0,0,27430,26456
3.750,2.500,93.750,0,0,0,0,17977092,17975664,0,0,26226,25296
3.275,2.519,94.207,0,0,0,24576,17979948,17981376,0,0,26226,25273
3.518,2.513,93.970,0,0,0,0,17959956,17958528,0,0,26197,25248
3.526,2.015,94.458,0,0,0,0,18104228,18104228,0,0,25762,24789
3.970,2.730,93.300,0,0,0,0,18538930,18538930,0,0,25531,24597
4.198,3.210,92.593,0,0,0,0,18498052,18498052,0,0,25471,24528
3.250,2.500,94,0.250,0,0,24576,18546623,18546606,0,0,25551,24606
