"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final2/ping-1572270041-orig-we-1500-dstat.csv",,,,"Date:","28 Oct 2019 15:52:17 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.230,0.064,99.642,0.063,0,6849.026,447027.564,0,0,0,0,1403.380,292.596
0.508,1.015,98.477,0,0,0,0,1108692,1108848,0,0,14577,14264
1.010,0.758,98.232,0,0,0,0,1108692,1108536,0,0,14584,14275
0.759,1.013,98.228,0,0,0,81920,1108692,1108954,0,0,14574,14279
0.508,0.761,98.731,0,0,0,0,1109004,1108848,0,0,14599,14269
0.506,1.013,98.481,0,0,0,0,1109127,1109004,0,0,14596,14264
0.508,0.761,98.477,0.254,0,0,0,1109550,1109829,0,0,14595,14294
0.758,1.010,98.232,0,0,0,0,1109771,1109615,0,0,14564,14281
1.500,1.750,96.750,0,0,0,24576,1987828,1987828,0,0,14607,14202
0.254,1.015,98.731,0,0,0,0,2011572,2011572,0,0,14552,14223
0.509,0.763,98.728,0,0,0,0,2011004,2011004,0,0,14528,14218
1.003,1.754,97.243,0,0,0,0,2011004,2011004,0,0,14520,14214
1.013,0.506,98.481,0,0,0,0,2011004,2011004,0,0,14529,14218
0.255,0.765,98.980,0,0,0,12288,2011004,2011288,0,0,14491,14209
0.254,1.015,98.731,0,0,0,0,2011288,2011004,0,0,14549,14217
0.509,1.018,98.473,0,0,0,0,3635220,3635220,0,0,14450,14096
0.506,1.266,98.228,0,0,0,7065600,3799980,3800520,0,0,14464,14137
0.763,0.509,98.728,0,0,0,0,3802680,3802246,0,0,14407,14135
1.256,1.256,97.487,0,0,0,45056,3801600,3801600,0,0,14420,14146
0.758,1.263,97.980,0,0,0,0,3801060,3801600,0,0,14413,14138
0.253,1.519,98.228,0,0,0,0,3803760,3803760,0,0,14429,14133
0.509,0.509,98.982,0,0,0,0,3804300,3803760,0,0,14411,14131
0.761,1.269,97.970,0,0,0,0,6585615,6585615,0,0,14273,13933
0.756,1.511,97.733,0,0,0,24576,7303127,7304179,0,0,14212,13955
0.509,1.018,98.473,0,0,0,0,7304036,7302984,0,0,14240,13949
0.254,1.523,98.223,0,0,0,0,7300880,7300880,0,0,14200,13925
0.510,0.765,98.724,0,0,0,0,7304036,7305088,0,0,14234,13942
0.254,1.269,98.477,0,0,0,0,7304036,7302984,0,0,14203,13931
0.756,1.511,97.481,0.252,0,0,12288,7304036,7305088,0,0,14231,13941
1.010,1.263,97.727,0,0,0,0,8632656,8633032,0,0,13995,13661
1.015,0.761,98.223,0,0,0,0,9623292,9623292,0,0,13809,13534
1.259,1.259,97.481,0,0,0,6713344,9634716,9633288,0,0,13844,13558
1.015,1.015,97.970,0,0,0,0,9623292,9624720,0,0,13837,13543
0.758,1.263,97.980,0,0,0,32768,9621864,9621864,0,0,13803,13530
1.259,1.511,97.229,0,0,0,0,9626148,9626148,0,0,13809,13533
0.506,1.266,98.228,0,0,0,0,9651852,9650424,0,0,13832,13565
0.752,2.506,96.742,0,0,0,0,9648968,9650482,0,0,13836,13486
0.505,1.768,97.727,0,0,0,0,9934868,9934868,0,0,13447,13174
0.759,1.266,97.975,0,0,0,24576,9913672,9912158,0,0,13446,13169
0.508,1.269,98.223,0,0,0,0,9950008,9950008,0,0,13495,13201
0.759,1.266,97.975,0,0,0,0,9916700,9918214,0,0,13419,13136
0,1.527,98.473,0,0,0,0,9931840,9931840,0,0,13441,13155
0.752,2.005,96.992,0.251,0,0,0,9927376,9925862,0,0,13466,13167
1.005,1.759,97.236,0,0,0,12288,9930326,9930432,0,0,13482,13189
