"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final3/iperf3-1573043775-100-macsec-aesgcm-e-jumbo-Ethernet-dstat.csv",,,,"Date:","06 Nov 2019 19:16:11 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.301,0.467,95.210,0.022,0,39986.812,115362.730,0,0,0,0,18694.663,1741.301
9.975,0.998,89.027,0,0,0,0,3932970,114894323,0,0,71118,428
10.448,0.498,89.055,0,0,0,16384,4189014,122815875,0,0,75958,393
10.448,0.249,89.303,0,0,0,0,4189120,122815728,0,0,75898,374
10.250,0.250,89.500,0,0,0,0,4189438,122817282,0,0,75076,339
10.697,0.249,89.055,0,0,0,86016,4189014,122817282,0,0,74921,386
10,0.250,89.750,0,0,0,0,4188908,122814174,0,0,76083,374
10.474,0.249,89.277,0,0,0,135168,4189120,122817282,0,0,75995,388
10.891,0.495,88.614,0,0,0,0,4189014,122815728,0,0,76221,367
10.025,0.251,89.724,0,0,0,0,4189120,122817282,0,0,75958,413
10.448,0.249,89.303,0,0,0,0,4189226,122815728,0,0,75824,389
9.227,0.998,89.776,0,0,0,20480,3475675,100409772,0,0,62438,729
10.644,0.495,87.871,0.990,0,0,18898944,4187636,122779986,0,0,75374,397
10.025,0.251,89.724,0,0,0,0,4189120,122815728,0,0,74434,377
10.891,0.248,88.861,0,0,0,0,4188272,122792418,0,0,75686,355
9.572,0.252,90.176,0,0,0,0,4189014,122815728,0,0,74721,373
10.448,0.249,89.303,0,0,0,69632,4189120,122817282,0,0,75610,373
10.224,0.499,89.277,0,0,0,393216,4189014,122817282,0,0,75575,432
10.224,0.249,89.526,0,0,0,0,4188908,122815728,0,0,75878,379
11.139,0.248,88.614,0,0,0,0,4189120,122815728,0,0,75670,383
10.025,0.251,89.724,0,0,0,0,4189120,122815728,0,0,75178,393
8.978,1.247,89.776,0,0,0,0,3486087,100804488,0,0,62247,719
10.224,0.249,89.526,0,0,0,49152,4188378,122814174,0,0,75983,409
10.250,0.250,89.500,0,0,0,0,4188908,122815728,0,0,76020,366
10.644,0.495,88.861,0,0,0,0,4188802,122815728,0,0,76415,352
9.572,0.252,90.176,0,0,0,0,4189120,122818836,0,0,76233,361
10.697,0.249,89.055,0,0,0,0,4188802,122814174,0,0,76174,368
9.572,0.252,90.176,0,0,0,0,4185622,122817282,0,0,76303,362
10.891,0.248,88.861,0,0,0,12288,4189120,122817282,0,0,76188,368
