"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final3/iperf3-1573043775-100-macsec-aesgcm-we-dstat.csv",,,,"Date:","06 Nov 2019 16:34:36 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.615,0.515,95.843,0.028,0,69928.741,174652.452,0,0,0,0,25089.736,2329.907
3.608,1.031,95.361,0,0,0,0,449683,114259229,0,0,4031,351
3.117,0.260,96.623,0,0,0,0,485480,122452506,0,0,4155,286
3.109,0.259,96.632,0,0,0,0,482618,122455542,0,0,4140,263
3.627,0,96.373,0,0,0,61440,478166,122455542,0,0,4196,311
3.117,0.260,96.623,0,0,0,86016,476002,122454024,0,0,4212,267
3.359,0.258,96.382,0,0,0,0,478696,122450988,0,0,4234,290
2.094,0.262,97.644,0,0,0,0,478802,122455542,0,0,4142,240
3.368,0.259,96.373,0,0,0,0,471806,122457060,0,0,4164,284
3.125,0,96.875,0,0,0,0,479756,122452506,0,0,4147,262
4.103,0.256,95.385,0.256,0,0,28672,480392,122454024,0,0,4190,315
1.804,1.289,96.907,0,0,0,0,385127,99829334,0,0,3503,602
0.263,0.263,99.474,0,0,0,0,483254,122454171,0,0,4077,237
0,0.264,99.736,0,0,0,0,482194,122454024,0,0,4048,210
0.787,0.262,98.950,0,0,0,0,481134,122454024,0,0,4066,240
2.577,0,97.423,0,0,0,0,481958,122454024,0,0,4201,257
3.316,0.255,96.429,0,0,0,45056,482194,122454134,0,0,4265,304
1.818,0,98.182,0,0,0,0,482830,122454024,0,0,4137,239
2.821,0.256,96.923,0,0,0,0,483360,122454024,0,0,4162,270
2.067,0.258,97.674,0,0,0,0,481876,122454024,0,0,4146,246
2.571,0.257,97.172,0,0,0,4919296,482724,122455542,0,0,4252,312
1.292,1.809,96.899,0,0,0,0,391884,99959367,0,0,3506,582
0.525,0.262,99.213,0,0,0,57344,483784,122455542,0,0,4091,249
0,0.264,99.736,0,0,0,0,485798,122452506,0,0,4046,200
0.263,0.526,99.211,0,0,0,0,481558,122454024,0,0,4073,241
0.526,0,99.474,0,0,0,0,472312,122455542,0,0,4060,216
0.526,0.263,99.211,0,0,0,0,487494,122454024,0,0,4088,266
0.263,0.263,99.474,0,0,0,0,486964,122452506,0,0,4050,205
0.783,0.522,98.695,0,0,0,12288,487706,122455542,0,0,4080,252
0.526,0.263,99.211,0,0,0,0,486964,122452506,0,0,4049,212
0.263,0.263,99.474,0,0,0,16384,487282,122454024,0,0,4056,224
1.554,1.036,97.409,0,0,0,0,393241,99812742,0,0,3461,576
0,0.526,99.211,0.263,0,0,0,473820,122452506,0,0,4084,228
0.526,0,99.474,0,0,0,0,477636,122454024,0,0,4059,213
0.526,0.263,99.211,0,0,0,49152,479862,122457060,0,0,4096,262
1.044,0.261,98.695,0,0,0,0,477530,122454024,0,0,4065,220
2.821,0.256,96.923,0,0,0,4096,471994,122452506,0,0,4239,283
2.320,0.258,97.423,0,0,0,0,479226,122452506,0,0,4203,248
3.069,0.256,96.675,0,0,0,0,477318,122454024,0,0,4163,285
2.067,0.258,97.674,0,0,0,0,477424,122454024,0,0,4142,244
3.077,0.256,96.667,0,0,0,20480,479438,122454024,0,0,4201,289
2.320,0.773,96.907,0,0,0,61440,393513,99871839,0,0,3558,597
0,0.264,99.736,0,0,0,0,476702,122454024,0,0,4072,237
2.577,0.258,97.165,0,0,0,0,488342,122454024,0,0,4147,251
2.813,0.256,96.675,0.256,0,0,0,481240,122454024,0,0,4171,288
2.320,0.258,97.423,0,0,0,0,487788,122454024,0,0,4162,258
3.817,0,96.183,0,0,0,45056,490886,122454024,0,0,4264,315
2.564,0.513,96.923,0,0,0,0,489614,122452506,0,0,4203,258
2.332,0,97.668,0,0,0,0,490038,122455542,0,0,4169,268
1.813,0.259,97.927,0,0,0,0,490780,122452506,0,0,4139,236
2.577,0,97.423,0,0,0,0,490568,122455542,0,0,4155,274
1.554,0.259,98.187,0,0,0,225280,452493,113108426,0,0,3898,250
1.554,1.295,97.150,0,0,0,16384,422363,109324699,0,0,3829,641
0,0.265,99.735,0,0,0,0,479438,122452506,0,0,4051,204
0,0,99.736,0.264,0,0,0,477106,122457060,0,0,4082,251
0,0,100,0,0,0,0,475728,122452506,0,0,4047,200
0.264,0.264,99.472,0,0,0,0,470828,122455542,0,0,4088,237
0.262,0.525,99.213,0,0,0,45056,478696,122450988,0,0,4067,224
0.264,0.264,99.472,0,0,0,0,482088,122454024,0,0,4066,227
3.571,0,96.429,0,0,0,0,493324,122454024,0,0,4148,265
2.564,0.513,96.923,0,0,0,0,485904,122454024,0,0,4157,273
2.571,0.257,97.172,0,0,0,28672,493006,122455542,0,0,4148,251
3.085,1.285,95.630,0,0,0,0,400116,99736737,0,0,3573,671
3.618,0.258,96.124,0,0,0,49152,488554,122455542,0,0,4173,288
3.618,0.258,96.124,0,0,0,0,485480,122454024,0,0,4182,317
0.267,0.533,99.200,0,0,0,0,480074,122450988,0,0,4046,208
0,0.267,99.465,0.267,0,0,0,481028,122457060,0,0,4060,230
0.267,0.267,99.467,0,0,0,0,476010,122450988,0,0,4059,207
0.525,0.262,99.213,0,0,0,0,484102,122454024,0,0,4067,230
0.265,0,99.735,0,0,0,12288,485798,122454024,0,0,4056,224
0,0.264,99.736,0,0,0,0,485268,122454024,0,0,4067,225
0,0.526,99.474,0,0,0,12288,485374,122454024,0,0,4059,207
1.039,1.558,97.403,0,0,0,0,390518,99882466,0,0,3544,594
0,0,100,0,0,0,0,477636,122452506,0,0,4051,213
0.785,0.524,98.691,0,0,0,0,479862,122455542,0,0,4073,248
0.264,0,99.736,0,0,0,49152,477869,122454024,0,0,4064,227
0.524,0.524,98.691,0.262,0,0,0,476340,122454171,0,0,4079,242
0,0.264,99.736,0,0,0,40960,475940,122454024,0,0,4079,212
0.263,0.263,99.474,0,0,0,0,479756,122452506,0,0,4064,224
0,0.526,99.474,0,0,0,0,479226,122454024,0,0,4048,198
0,0.264,99.736,0,0,0,0,480710,122454024,0,0,4071,223
0,0.265,99.735,0,0,0,12288,483572,122455542,0,0,4061,216
4.030,1.511,94.458,0,0,0,212992,401606,99894716,0,0,3605,671
3.117,0.260,96.623,0,0,0,0,489306,122452612,0,0,4191,270
3.359,0.258,96.382,0,0,0,0,495656,122454024,0,0,4176,293
2.865,0.260,96.875,0,0,0,0,494702,122455542,0,0,4128,254
0.267,0.267,99.465,0,0,0,0,494702,122451098,0,0,4085,240
0.533,0.267,98.933,0.267,0,0,49152,493618,122457060,0,0,4055,222
0.532,0.532,98.936,0,0,0,0,494808,122454024,0,0,4083,236
0,0.268,99.732,0,0,0,0,494702,122450988,0,0,4042,202
0,0.268,99.732,0,0,0,0,495126,122455542,0,0,4069,214
0,0.533,99.467,0,0,0,0,494066,122452506,0,0,4070,205
1.036,1.295,97.668,0,0,0,28672,408612,100260445,0,0,3632,597
0,0.528,99.472,0,0,0,49152,481450,122454024,0,0,4068,237
0.525,0.262,99.213,0,0,0,0,481452,122454024,0,0,4075,241
0,0,100,0,0,0,0,482406,122455542,0,0,4048,204
0.525,0.262,99.213,0,0,0,0,481770,122454024,0,0,4079,235
0,0.526,99.474,0,0,0,0,475492,122452506,0,0,4059,204
0.528,0,99.472,0,0,0,0,481346,122455542,0,0,4070,227
0,0.264,99.736,0,0,0,20480,482406,122450988,0,0,4061,218
0.525,0.262,99.213,0,0,0,0,481028,122457060,0,0,4074,229
0,0.265,99.735,0,0,0,0,482088,122452506,0,0,4054,206
1.554,0.259,98.187,0,0,0,12288,462525,117364493,0,0,3919,251
0.779,1.558,97.662,0,0,0,0,422738,105304438,0,0,3642,601
0,0.265,99.735,0,0,0,0,486434,122452506,0,0,4076,232
0,0.264,99.472,0.264,0,0,57344,486752,122455542,0,0,4083,235
0.263,0.263,99.474,0,0,0,0,484066,122452506,0,0,4068,222
0,0.265,99.735,0,0,0,0,479544,122454024,0,0,4051,207
