"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final3/iperf3-1573043775-100-macsec-chachapoly-e-1500-dstat.csv",,,,"Date:","06 Nov 2019 20:44:39 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.834,0.467,94.679,0.020,0,32391.105,100846.796,0,0,0,0,24915.378,1586.484
0.815,1.359,97.826,0,0,0,0,437357,114500485,0,0,3880,331
0,0.276,99.724,0,0,0,0,484950,122450988,0,0,4066,233
0,0.275,99.451,0.275,0,0,65536,485268,122454024,0,0,4059,218
0,0.274,99.726,0,0,0,8192,483890,122454024,0,0,4056,213
0,0,100,0,0,0,0,478766,122454024,0,0,4042,201
1.337,0.535,98.128,0,0,0,0,483466,122452616,0,0,4080,258
0.271,0.271,99.458,0,0,0,0,485162,122454024,0,0,4048,211
0,0.271,99.729,0,0,0,0,474456,122417592,0,0,4048,208
0,0.272,99.728,0,0,0,28672,479035,122455542,0,0,4059,227
0,0.272,99.728,0,0,0,0,478272,122452653,0,0,4068,223
1.072,1.340,97.587,0,0,0,0,385558,100664235,0,0,3499,588
0.275,0.275,99.449,0,0,0,0,483254,122450988,0,0,4053,212
0,0.542,99.458,0,0,0,0,479756,122455542,0,0,4055,211
0.271,0.271,99.458,0,0,0,0,477424,122454024,0,0,4078,235
3.150,0.262,96.588,0,0,0,45056,480050,122455542,0,0,4173,274
3.646,0.521,95.833,0,0,0,0,478166,122452506,0,0,4216,277
3.412,0,96.588,0,0,0,0,479756,122454024,0,0,4152,270
3.158,0.263,96.579,0,0,0,0,479756,122454024,0,0,4163,282
3.403,0.262,96.335,0,0,0,0,480286,122454024,0,0,4141,271
3.421,0,96.579,0,0,0,0,479862,122454024,0,0,4145,272
2.381,1.058,96.561,0,0,0,12288,383909,100703703,0,0,3540,618
0.275,0.549,99.176,0,0,0,0,481028,122454024,0,0,4084,270
0,0,100,0,0,0,0,481452,122450988,0,0,4055,209
0.539,0.539,98.922,0,0,0,2867200,480498,122454024,0,0,4072,235
0,0,100,0,0,0,0,476328,122454024,0,0,4051,202
0,0.271,99.729,0,0,0,57344,478696,122454024,0,0,4107,243
0,0.272,99.728,0,0,0,0,482512,122454024,0,0,4059,205
0,0.271,99.729,0,0,0,0,480604,122454024,0,0,4051,209
0,0,100,0,0,0,4096,483148,122454024,0,0,4051,208
0,0.271,99.458,0.271,0,0,0,482512,122454024,0,0,4069,223
2.111,1.583,96.306,0,0,0,0,388123,100775048,0,0,3519,600
0.546,0.546,98.907,0,0,0,45056,483996,122455542,0,0,4075,232
0,0.543,99.457,0,0,0,0,486964,122450988,0,0,4056,211
0.271,0.271,99.458,0,0,0,376832,486752,122454024,0,0,4157,254
0,0.272,99.728,0,0,0,0,486540,122452506,0,0,4054,197
0.270,0.539,99.191,0,0,0,0,478342,122455542,0,0,4078,217
0.271,0.271,99.458,0,0,0,32768,486010,122454024,0,0,4071,223
0.271,0.271,99.458,0,0,0,0,485374,122452506,0,0,4070,230
0,0.271,99.729,0,0,0,0,486964,122454024,0,0,4046,199
0,0.272,99.728,0,0,0,0,487070,122454024,0,0,4063,217
1.058,2.116,96.825,0,0,0,0,400351,100738102,0,0,3506,592
4.474,0,95.263,0.263,0,0,0,471928,122435914,0,0,4190,326
3.200,0.267,96.533,0,0,0,45056,474350,122457060,0,0,4158,287
4.462,0.525,95.013,0,0,0,0,473820,122452506,0,0,4153,299
3.457,0.266,96.277,0,0,0,4096,471252,122454024,0,0,4163,268
3.979,0,96.021,0,0,0,0,473502,122452506,0,0,4215,304
4.712,0.524,94.764,0,0,0,0,475516,122452506,0,0,4168,297
3.958,0.264,95.778,0,0,0,0,473608,122454024,0,0,4157,283
3.457,0.266,96.277,0,0,0,12288,474668,122457060,0,0,4152,288
3.979,0,96.021,0,0,0,0,473184,122452506,0,0,4164,313
3.175,0.265,96.561,0,0,0,0,422511,108617775,0,0,3735,534
1.084,1.626,97.290,0,0,0,0,445437,114808745,0,0,3916,323
0.275,0.275,99.451,0,0,0,0,489826,122452506,0,0,4044,205
0.539,0.539,98.922,0,0,0,0,488130,122454024,0,0,4075,251
0,0.272,99.728,0,0,0,45056,490038,122454024,0,0,4057,220
0.541,0.270,99.189,0,0,0,0,486410,122455542,0,0,4053,226
0,0,100,0,0,0,0,490144,122452506,0,0,4044,212
0,0.272,99.728,0,0,0,0,489932,122454024,0,0,4061,224
0,0.271,99.729,0,0,0,0,491204,122454024,0,0,4043,206
0.542,0,99.458,0,0,0,0,489402,122454024,0,0,4055,230
0,0.542,99.458,0,0,0,12288,487070,122455542,0,0,4065,232
4.651,1.292,94.057,0,0,0,0,392959,100454752,0,0,3604,678
3.467,0,96.533,0,0,0,0,481770,122452506,0,0,4139,269
3.457,0.266,96.277,0,0,0,0,483148,122452506,0,0,4158,280
3.979,0,96.021,0,0,0,8192,482830,122455542,0,0,4140,283
4.211,0.526,95.263,0,0,0,0,478134,122455542,0,0,4196,311
3.968,0.265,95.767,0,0,0,53248,482936,122452506,0,0,4217,297
4.462,0.262,95.276,0,0,0,0,479968,122451098,0,0,4168,304
4.222,0.264,95.515,0,0,0,0,475622,122429736,0,0,4146,282
3.968,0.265,95.767,0,0,0,49152,477742,122452506,0,0,4175,303
4.211,0.526,95.263,0,0,0,0,472124,122455542,0,0,4158,300
3.150,1.575,95.276,0,0,0,0,389673,100513952,0,0,3532,635
0,0.275,99.725,0,0,0,45056,484335,122452506,0,0,4073,233
0.822,0.274,98.904,0,0,0,0,484208,122455689,0,0,4083,256
0.275,0.275,99.449,0,0,0,294912,484779,122455542,0,0,4104,238
1.090,0.272,98.638,0,0,0,0,480886,122452506,0,0,4069,237
0.274,0.274,99.452,0,0,0,0,484526,122450988,0,0,4045,208
0.271,0.271,99.458,0,0,0,0,481452,122454024,0,0,4068,236
0,0,100,0,0,0,24576,481876,122454024,0,0,4056,214
0,0.541,99.189,0.270,0,0,0,481134,122454024,0,0,4059,212
0,0.272,99.728,0,0,0,0,475622,122454024,0,0,4051,215
1.326,1.592,97.082,0,0,0,0,390087,100475484,0,0,3496,602
0,0.276,99.724,0,0,0,0,488024,122449470,0,0,4045,205
0.271,0.271,99.458,0,0,0,0,486964,122455542,0,0,4064,223
0,0.272,99.728,0,0,0,45056,486752,122454024,0,0,4053,219
0.271,0.271,99.458,0,0,0,4096,485480,122454024,0,0,4079,238
0,0.271,99.729,0,0,0,0,478448,122454024,0,0,4046,210
0.542,0,99.458,0,0,0,0,486752,122454024,0,0,4060,218
0,0.542,99.458,0,0,0,0,486434,122454024,0,0,4047,205
0,0.271,99.729,0,0,0,0,485798,122454024,0,0,4066,231
0.271,0.271,99.458,0,0,0,12288,481240,122454024,0,0,4065,228
0.800,1.333,97.867,0,0,0,0,398363,100340901,0,0,3480,568
0.275,0.275,99.451,0,0,0,0,470466,122457060,0,0,4050,220
0,0,100,0,0,0,0,478060,122450988,0,0,4067,236
0,0.542,99.458,0,0,0,0,483996,122454024,0,0,4041,197
0.539,0.539,98.922,0,0,0,4096,479732,122454024,0,0,4065,217
0,0.270,99.459,0.270,0,0,45056,479756,122454024,0,0,4054,215
0,0.272,99.728,0,0,0,0,479226,122454024,0,0,4066,232
0,0.272,99.728,0,0,0,0,477106,122454024,0,0,4043,201
0.541,0.270,99.189,0,0,0,0,477000,122454024,0,0,4053,217
0.270,0.541,99.189,0,0,0,0,475940,122454024,0,0,4069,228
0.536,0.268,99.196,0,0,0,0,424312,108628400,0,0,3662,495
0.815,1.359,97.826,0,0,0,36864,442205,114529327,0,0,3887,324
0,0.276,99.724,0,0,0,0,482830,122454024,0,0,4056,217
0,0.272,99.728,0,0,0,0,479862,122454024,0,0,4042,199
0.271,0.271,99.458,0,0,0,12288,480286,122454024,0,0,4069,234
0,0.271,99.729,0,0,0,0,480686,122454024,0,0,4052,207
0.272,0,99.728,0,0,0,40960,480180,122454024,0,0,4080,228
0.271,0.271,99.458,0,0,0,0,480392,122454024,0,0,4049,202
0.539,0.270,99.191,0,0,0,0,479968,122454024,0,0,4063,233
0,0.272,99.728,0,0,0,0,466082,122452506,0,0,4054,218
0.806,0.269,98.656,0.269,0,0,0,479756,122454024,0,0,4073,243
1.596,1.596,96.809,0,0,0,0,391565,100844874,0,0,3513,581
0.275,0,99.725,0,0,0,45056,486434,122452506,0,0,4088,254
0.270,0.270,99.459,0,0,0,0,485692,122454024,0,0,4051,211
0.539,0.539,98.922,0,0,0,278528,486328,122455542,0,0,4107,240
0,0.272,99.728,0,0,0,0,479190,122452506,0,0,4051,202
1.072,0.536,98.391,0,0,0,0,483466,122454024,0,0,4129,252
3.412,0,96.588,0,0,0,0,486328,122452506,0,0,4146,263
2.910,0,97.090,0,0,0,24576,482724,122455542,0,0,4167,279
3.896,0.519,95.584,0,0,0,0,488024,122454024,0,0,4146,291
