"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final3/iperf3-1573043775-100-no-macsec-1464-dstat.csv",,,,"Date:","06 Nov 2019 13:37:06 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.170,0.956,96.782,0.092,0,394945.235,820465.169,0,0,0,0,11507.189,8578.049
1.005,0.754,98.241,0,0,0,0,319841,114356131,0,0,4696,592
0.748,0.499,98.753,0,0,0,0,333130,122712564,0,0,5025,569
0.503,0.251,99.246,0,0,0,0,279510,122728866,0,0,5016,579
0.995,0.498,98.507,0,0,0,0,279510,122721456,0,0,5025,578
1.493,0.249,98.259,0,0,0,61440,279510,122725902,0,0,5013,599
0.752,0.251,98.997,0,0,0,0,279510,122724420,0,0,5001,569
0.501,0.251,99.248,0,0,0,0,279510,122725902,0,0,5005,583
1.980,0.248,97.772,0,0,0,0,279510,122724420,0,0,5012,596
0,0.504,99.496,0,0,0,0,279580,122725902,0,0,4999,556
0.748,0.499,98.753,0,0,0,0,279510,122725902,0,0,5020,563
0.752,1.504,97.744,0,0,0,12288,233158,100878674,0,0,4184,1295
0.752,0,99.248,0,0,0,0,279440,122712564,0,0,4943,675
0.995,0.498,98.259,0.249,0,0,0,279510,122724420,0,0,4947,676
0.503,0,99.497,0,0,0,0,279707,122727384,0,0,4996,687
0.504,0,99.496,0,0,0,0,279510,122724420,0,0,4962,681
1.489,0.248,98.263,0,0,0,45056,279510,122725902,0,0,4963,701
0.504,0,99.496,0,0,0,0,279510,122724420,0,0,4959,668
1,0,99,0,0,0,0,279510,122724420,0,0,4938,663
1.247,0.249,98.504,0,0,0,0,279510,122725902,0,0,4950,692
