"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final3/ping-1573043775-macsec-aes-gcm-we-jumbo-Ethernet-9000-dstat.csv",,,,"Date:","06 Nov 2019 19:33:21 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.552,0.462,94.964,0.021,0,38246.661,111898.413,0,0,0,0,21106.840,1683.109
2.538,1.523,95.939,0,0,0,0,2201280,2201440,0,0,28563,27615
2.778,1.768,95.455,0,0,0,0,2197760,2197760,0,0,28513,27541
3.030,1.515,95.455,0,0,0,0,2203520,2203520,0,0,28591,27648
4.010,1.754,94.236,0,0,0,0,3125696,3125536,0,0,30277,29283
4.511,1.754,93.734,0,0,0,45056,4649760,4650048,0,0,33340,32403
3.741,2.993,93.267,0,0,0,0,4666385,4666080,0,0,33446,32491
2.799,2.290,94.911,0,0,0,0,5753843,5754240,0,0,33064,32074
3.500,3.250,93.250,0,0,0,0,8620768,8620224,0,0,32732,31773
4.229,2.985,92.786,0,0,0,0,8577248,8577792,0,0,32583,31637
2.519,3.526,93.955,0,0,0,28672,9186816,9187328,0,0,31983,30982
3.526,2.267,94.207,0,0,0,0,14787168,14786112,0,0,29047,28079
3.242,2.993,93.516,0.249,0,0,0,14851584,14851584,0,0,29175,28188
3.023,2.771,94.207,0,0,0,0,14782944,14782944,0,0,29035,28067
4.239,2.244,93.516,0,0,0,0,16340648,16342080,0,0,27310,26298
3.491,2.993,93.516,0,0,0,28672,17852744,17851312,0,0,25981,25047
3.980,2.488,93.532,0,0,0,0,17882816,17882816,0,0,26020,25063
4.198,2.963,92.840,0,0,0,0,17881384,17881384,0,0,26011,25052
2.519,2.519,94.962,0,0,0,0,16671466,16672984,0,0,23760,22754
3.741,1.746,94.514,0,0,0,0,15747732,15747732,0,0,21793,20851
2.771,1.763,95.466,0,0,0,28672,15694602,15694602,0,0,21724,20795
3.474,2.233,94.293,0,0,0,0,15717372,15717372,0,0,21746,20789
2.993,2.244,94.514,0.249,0,0,1495040,15697765,15697638,0,0,21989,20865
