"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final3/ping-1573043775-macsec-aesgcm-we-jumbo-2928-dstat.csv",,,,"Date:","06 Nov 2019 18:22:06 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.618,0.479,94.880,0.023,0,46671.539,128666.132,0,0,0,0,21008.909,1861.817
1.504,1.253,97.243,0,0,0,0,1127520,1127520,0,0,15135,14156
1.256,1.256,97.487,0,0,0,1396736,1125920,1125920,0,0,15380,14225
2.244,0.998,96.758,0,0,0,0,1124320,1124320,0,0,15093,14113
1.253,1.504,97.243,0,0,0,0,1123520,1123360,0,0,15076,14097
2.244,0.998,96.758,0,0,0,45056,1128000,1128110,0,0,15145,14155
1.759,0.754,97.487,0,0,0,0,1128049,1128082,0,0,15139,14152
1.741,1.493,96.766,0,0,0,0,1128000,1128147,0,0,15144,14163
1.741,1.990,96.269,0,0,0,0,1933843,1933536,0,0,15070,14071
2.941,1.716,95.098,0.245,0,0,0,2016864,2016864,0,0,15048,14075
1.990,1.741,96.269,0,0,0,24576,2012544,2012832,0,0,15015,14035
1.750,1.250,97,0,0,0,0,2014560,2014272,0,0,15026,14048
1.253,1.504,97.243,0,0,0,0,2019168,2019456,0,0,15060,14085
1.746,1.496,96.758,0,0,0,0,2019456,2019168,0,0,15064,14068
2.481,1.241,96.278,0,0,0,0,2017728,2018016,0,0,15050,14060
2.239,1.741,96.020,0,0,0,24576,3360672,3360928,0,0,14988,13999
1.013,0.759,98.228,0,0,0,0,3794944,3794944,0,0,14985,14013
1.754,1.253,96.992,0,0,0,0,3796032,3795488,0,0,14989,14012
1.259,1.008,97.733,0,0,0,0,3793312,3793856,0,0,14981,13985
2.261,0.503,97.236,0,0,0,0,3789504,3789504,0,0,14972,13991
1.013,0.506,98.228,0.253,0,0,12288,3795488,3795488,0,0,14992,14003
1.015,0.761,98.223,0,0,0,0,3794944,3794400,0,0,14985,14002
1.259,1.259,97.481,0,0,0,28672,5810431,5810304,0,0,14875,13859
2.015,0.756,97.229,0,0,0,0,7257888,7258145,0,0,14789,13835
1.015,0.761,98.223,0,0,0,0,7253811,7253664,0,0,14778,13820
2.985,0.746,96.269,0,0,0,73728,7257888,7258944,0,0,14787,13804
2.267,0.252,97.481,0,0,0,0,7257888,7256832,0,0,14779,13789
0.767,0.256,98.977,0,0,0,0,7258944,7260000,0,0,14790,13819
2.256,0.752,96.992,0,0,0,86016,7253664,7253664,0,0,14790,13807
2.261,1.005,96.734,0,0,0,0,7953608,7953984,0,0,14721,13701
1.511,1.008,97.481,0,0,0,24576,9729008,9727576,0,0,14625,13639
2.267,0.504,97.229,0,0,0,0,9726144,9727576,0,0,14628,13656
2.010,1.005,96.985,0,0,0,0,9727576,9726144,0,0,14619,13635
1.504,1.253,96.241,1.003,0,0,14012416,9542848,9544280,0,0,14377,13384
2.020,0.505,97.475,0,0,0,0,9730440,9730440,0,0,14626,13645
2.020,0.505,97.475,0,0,0,28672,9706096,9706096,0,0,14597,13619
1.754,1.504,96.742,0,0,0,0,9718984,9717552,0,0,14608,13629
1.015,1.269,97.716,0,0,0,0,10180356,10180356,0,0,14605,13599
1.990,1.741,96.269,0,0,0,299008,10289004,10289004,0,0,14650,13632
2.250,1.250,96.500,0,0,0,0,10289004,10290522,0,0,14595,13634
2.494,1.247,96.259,0,0,0,28672,10293558,10293558,0,0,14600,13638
2.475,1.980,95.545,0,0,0,0,10292040,10290522,0,0,14595,13632
1.754,1.504,96.742,0,0,0,0,10285968,10285968,0,0,14584,13604
1.746,1.746,96.509,0,0,0,0,10284450,10285968,0,0,14589,13613
