"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final3/ping-1573043775-macsec-morus640-e-frag-1500-dstat.csv",,,,"Date:","06 Nov 2019 18:03:18 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.611,0.482,94.883,0.023,0,49553.181,133423.625,0,0,0,0,21959.509,1892.049
0.758,1.263,97.980,0,0,0,40960,1125920,1126080,0,0,14406,14135
0.761,0.508,98.731,0,0,0,0,1128800,1128640,0,0,14449,14167
0.510,0.510,98.980,0,0,0,0,1129920,1129920,0,0,14464,14204
0.504,1.511,97.985,0,0,0,0,1129760,1129870,0,0,14462,14182
1.008,1.259,97.733,0,0,0,0,1129920,1129920,0,0,14466,14174
0.506,1.013,98.481,0,0,0,12288,1130609,1130482,0,0,14454,14184
0.254,1.269,98.477,0,0,0,0,1130400,1130547,0,0,14464,14185
4.640,5.104,90.023,0.232,0,0,0,1947571,1947712,0,0,14543,14096
5.023,6.393,88.584,0,0,0,0,2016576,2016576,0,0,14449,14085
4.481,4.009,91.509,0,0,0,0,2017728,2017728,0,0,14477,14083
3.555,4.739,91.706,0,0,0,24576,2017728,2017728,0,0,14419,14090
2.663,3.390,93.947,0,0,0,0,2017152,2017152,0,0,14431,14079
3.088,4.751,92.162,0,0,0,28672,2017728,2017440,0,0,14423,14090
0.995,2.488,96.517,0,0,0,0,2018304,2018592,0,0,14348,14056
5.938,2.375,91.686,0,0,0,0,3399616,3399872,0,0,14452,14144
5.251,2.148,92.601,0,0,0,57344,3804736,3804192,0,0,14445,14128
5.647,3.059,91.294,0,0,0,0,3797120,3797664,0,0,14415,14097
6.856,1.418,91.726,0,0,0,0,3805280,3805390,0,0,14465,14151
3.448,0.985,95.567,0,0,0,0,3792768,3792768,0,0,14377,14043
1.018,0.509,98.473,0,0,0,0,3791680,3791136,0,0,14273,14005
2.250,0.500,97,0.250,0,0,12288,3808000,3808000,0,0,14422,14093
0.763,1.018,98.219,0,0,0,0,5912191,5913120,0,0,14187,13847
1.259,1.259,97.481,0,0,0,12288,7277952,7277043,0,0,14165,13860
1.008,1.511,97.481,0,0,0,0,7270789,7270642,0,0,14135,13835
0.758,1.515,97.727,0,0,0,0,7295904,7295904,0,0,14182,13854
0.763,0.763,98.473,0,0,0,40960,7295904,7295904,0,0,14214,13871
0.761,1.015,98.223,0,0,0,0,7270560,7270560,0,0,14119,13820
1.005,1.759,97.236,0,0,0,4096,7291680,7291680,0,0,14169,13858
0.756,1.763,97.481,0,0,0,0,8090704,8090704,0,0,14058,13689
0.506,1.519,97.975,0,0,0,0,9633064,9634496,0,0,13787,13506
1.008,1.511,97.481,0,0,0,32768,9645952,9644520,0,0,13833,13549
1.010,1.263,97.727,0,0,0,0,9658840,9660272,0,0,13826,13545
1.013,1.013,97.975,0,0,0,0,9658840,9657408,0,0,13814,13533
1.005,1.508,96.482,1.005,0,0,14921728,9645952,9645952,0,0,13930,13574
0.759,1.266,97.975,0,0,0,0,9653112,9653112,0,0,13826,13536
0.759,1.266,97.975,0,0,0,32768,9647384,9647384,0,0,13798,13534
1.263,1.263,97.475,0,0,0,0,9913140,9914658,0,0,13545,13214
0.759,1.013,98.228,0,0,0,0,9982368,9982368,0,0,13475,13192
1.013,1.013,97.975,0,0,0,0,9997548,9996030,0,0,13487,13223
1.018,0.509,98.473,0,0,0,0,9988440,9988440,0,0,13489,13217
0.508,1.269,98.223,0,0,0,24576,9968706,9968706,0,0,13440,13175
0.758,1.515,97.727,0,0,0,0,9970224,9971742,0,0,13461,13174
0.506,1.266,98.228,0,0,0,0,9985404,9985404,0,0,13490,13217
