"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final3/ping-1573043775-no-macsec-1500-1500-dstat.csv",,,,"Date:","06 Nov 2019 13:54:14 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.710,0.791,97.431,0.068,0,272623.080,573131.619,0,0,0,0,9461.397,6110.880
0.504,1.259,98.237,0,0,0,0,912268,912144,0,0,15062,14773
0.252,1.511,98.237,0,0,0,0,911896,912020,0,0,15030,14744
0.505,1.010,98.485,0,0,0,0,911896,911772,0,0,15031,14753
0.508,0.508,98.985,0,0,0,0,912144,912268,0,0,15018,14741
0.759,0.759,98.481,0,0,0,36864,912020,912020,0,0,15066,14768
0.505,1.010,98.485,0,0,0,0,912084,912084,0,0,15066,14757
1.010,0.758,98.232,0,0,0,0,1106684,1106560,0,0,15066,14713
1.754,0.752,97.494,0,0,0,0,1822212,1822464,0,0,14765,14509
1.750,1,97.250,0,0,0,0,1822968,1822968,0,0,14779,14531
1.754,0.752,97.494,0,0,0,24576,1823220,1822968,0,0,14775,14528
1.259,0.756,97.985,0,0,0,86016,1828260,1828512,0,0,14888,14574
0.253,1.263,98.485,0,0,0,0,1849428,1849428,0,0,14980,14701
1.003,1.504,97.494,0,0,0,0,1829016,1828764,0,0,14829,14563
1.008,1.259,97.733,0,0,0,0,2404528,2405036,0,0,14812,14476
1.508,1.005,97.487,0,0,0,24576,3665220,3665220,0,0,14737,14497
1.515,0.505,97.980,0,0,0,8192,3675380,3675380,0,0,14804,14530
1.508,0.754,97.739,0,0,0,0,3676396,3675888,0,0,14780,14527
1.511,0.756,97.733,0,0,0,0,3661664,3662172,0,0,14717,14465
2.256,0.251,97.494,0,0,0,0,3662172,3662172,0,0,14723,14485
1.008,1.008,97.985,0,0,0,28672,3662680,3662680,0,0,14727,14474
1.995,1.496,96.509,0,0,0,0,5039752,5039244,0,0,14714,14389
2.481,1.489,96.030,0,0,0,0,7277700,7277700,0,0,14571,14320
1.256,1.256,97.487,0,0,0,0,7318500,7318500,0,0,14685,14406
1.754,1.003,97.243,0,0,0,0,7320540,7321560,0,0,14669,14392
1.511,0.756,97.733,0,0,0,24576,7316460,7316460,0,0,14664,14409
1.746,1.496,96.758,0,0,0,696320,7285860,7285860,0,0,14744,14390
1.754,1.003,97.243,0,0,0,0,7284840,7284840,0,0,14588,14336
1.750,1.500,96.750,0,0,0,0,8269244,8269620,0,0,14590,14269
1.750,1.250,97,0,0,0,0,9914456,9914456,0,0,14514,14260
1.263,0.758,97.980,0,0,0,49152,9899036,9899036,0,0,14492,14237
1.256,1.256,97.236,0.251,0,0,14733312,9668696,9668696,0,0,14184,13911
0.506,1.013,98.481,0,0,0,0,10044220,10042824,0,0,14690,14417
1.750,1.250,97,0,0,0,0,9977212,9977212,0,0,14609,14350
0.254,1.015,98.731,0,0,0,0,10026072,10026072,0,0,14666,14390
1.259,1.008,97.481,0.252,0,0,40960,10120460,10120460,0,0,14627,14313
1.259,1.008,97.733,0,0,0,0,10476258,10476258,0,0,14453,14199
1.511,0.756,97.733,0,0,0,0,10455510,10455510,0,0,14424,14165
2.250,0.750,97,0,0,0,0,10499970,10501452,0,0,14476,14223
2.233,1.489,96.278,0,0,0,0,10523682,10522200,0,0,14507,14262
1.754,1.003,97.243,0,0,0,20480,10520718,10522200,0,0,14504,14263
1.511,1.008,97.481,0,0,0,0,10486632,10486632,0,0,14466,14207
