"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final3/ping-1573043775-orig-we-1500-dstat.csv",,,,"Date:","06 Nov 2019 14:47:49 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.243,0.614,98.102,0.041,0,138481.661,308582.040,0,0,0,0,7259.289,3605.052
1.010,0.758,98.232,0,0,0,40960,1108692,1108536,0,0,14630,14296
1.508,1.256,97.236,0,0,0,28672,1107756,1107756,0,0,14745,14617
0.505,1.263,98.232,0,0,0,0,1108692,1108848,0,0,14641,14267
1.253,1.253,97.494,0,0,0,0,1109004,1109004,0,0,14693,14283
1.256,1.005,97.739,0,0,0,0,1109361,1109188,0,0,14695,14282
0.754,1.508,97.739,0,0,0,0,1108224,1108503,0,0,14619,14266
1.266,0.506,98.228,0,0,0,24576,1108211,1107912,0,0,14657,14292
0.758,1.263,97.980,0,0,0,0,1982056,1982483,0,0,14570,14179
0.508,0.761,98.731,0,0,0,0,2006460,2006460,0,0,14506,14177
1.263,1.010,97.727,0,0,0,0,1992828,1992828,0,0,14370,14095
1.005,1.508,97.487,0,0,0,0,2006176,2005892,0,0,14474,14185
1.259,0.756,97.733,0.252,0,0,24576,2003052,2003336,0,0,14523,14247
0.758,1.010,98.232,0,0,0,0,2009868,2009868,0,0,14540,14206
0,1.272,98.728,0,0,0,0,2010152,2010152,0,0,14521,14201
1.250,2,96.750,0,0,0,8192,3570156,3569872,0,0,14394,14033
1.737,1.985,96.278,0,0,0,0,3771360,3771900,0,0,14307,14026
0.998,2.244,96.758,0,0,0,36864,3788100,3787560,0,0,14377,14090
0.758,1.263,97.980,0,0,0,0,3782160,3782160,0,0,14370,14065
1.003,1.754,97.243,0,0,0,0,3789180,3789720,0,0,14384,14085
1.008,1.259,97.481,0.252,0,0,2154496,3789180,3789180,0,0,14786,14231
0.503,2.010,97.487,0,0,0,0,3788640,3788746,0,0,14384,14098
1.263,1.010,97.727,0,0,0,45056,6384055,6383515,0,0,14308,13946
1.018,0.509,98.473,0,0,0,0,7274723,7274580,0,0,14224,13897
1.013,1.013,97.975,0,0,0,0,7274658,7275853,0,0,14192,13896
1.010,1.010,97.980,0,0,0,16384,7289308,7288256,0,0,14225,13913
0.506,1.519,97.975,0,0,0,0,7288256,7289308,0,0,14231,13903
1.519,0.506,97.975,0,0,0,36864,7284048,7282996,0,0,14250,13927
1.010,1.010,97.980,0,0,0,0,7279840,7280892,0,0,14212,13889
0.763,1.018,98.219,0,0,0,0,8450288,8450664,0,0,14036,13674
0.505,1.515,97.727,0.253,0,0,4096,9609012,9607584,0,0,13774,13503
1.263,1.010,97.727,0,0,0,0,9604728,9606156,0,0,13804,13518
0.759,1.266,97.975,0,0,0,32768,9609012,9609012,0,0,13783,13522
1.508,1.256,97.236,0,0,0,0,9604728,9604728,0,0,13794,13506
0.759,1.266,97.975,0,0,0,0,9596160,9596160,0,0,13769,13492
1.015,1.015,97.716,0.254,0,0,15290368,9599016,9599016,0,0,13784,13504
1.500,1.750,96.750,0,0,0,0,9530202,9528774,0,0,13752,13389
0.761,1.269,97.970,0,0,0,40960,9907616,9907616,0,0,13415,13149
0.758,1.263,97.980,0,0,0,0,9919728,9921242,0,0,13432,13161
1.015,1.015,97.970,0,0,0,0,9939410,9937896,0,0,13455,13177
0.506,1.519,97.975,0,0,0,0,9931840,9931840,0,0,13444,13161
0.759,1.013,98.228,0,0,0,0,9893990,9893990,0,0,13397,13137
0.506,1.266,97.975,0.253,0,0,12288,9931840,9931840,0,0,13432,13169
1.266,0.759,97.975,0,0,0,0,9945466,9945466,0,0,13475,13193
