"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final4/iperf3-1573135332-100-macsec-morus640-we-1500-dstat.csv",,,,"Date:","07 Nov 2019 15:20:59 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.508,0.163,98.317,0.012,0,11469.222,109192.830,0,0,0,0,7628.937,550.010
2.584,1.292,96.124,0,0,0,0,460565,114770689,0,0,3997,359
0.265,0.265,99.469,0,0,0,0,497882,122454024,0,0,4082,224
0,0,100,0,0,0,0,496928,122454024,0,0,4057,207
0,0.266,99.734,0,0,0,61440,497034,122454024,0,0,4070,227
0,0.529,99.471,0,0,0,0,497352,122452506,0,0,4049,212
0,0.262,99.738,0,0,0,282624,494702,122406966,0,0,4103,234
0,0.263,99.737,0,0,0,0,491840,122455542,0,0,4070,275
0.262,0,99.738,0,0,0,0,493112,122454024,0,0,4068,220
0,0.262,99.738,0,0,0,0,494808,122454024,0,0,4051,216
0.261,0.522,99.217,0,0,0,16384,486292,122455542,0,0,4062,226
1.044,1.305,97.650,0,0,0,0,410996,101091795,0,0,3664,595
0.265,0.531,99.204,0,0,0,0,502440,122455542,0,0,4071,219
0,0,99.736,0.264,0,0,0,499831,122452506,0,0,4066,223
0.781,0.260,98.958,0,0,0,0,499366,122454024,0,0,4063,227
0,0,100,0,0,0,0,495208,122452506,0,0,4053,217
0,0.262,99.738,0,0,0,45056,498942,122455652,0,0,4080,231
0,0.524,99.476,0,0,0,0,499578,122455542,0,0,4053,213
0,0.262,99.738,0,0,0,0,499896,122452506,0,0,4059,211
0,0.262,99.738,0,0,0,0,497246,122454024,0,0,4052,213
0.262,0.262,99.476,0,0,0,0,498836,122454024,0,0,4056,212
3.308,1.018,95.674,0,0,0,4263936,406416,100787194,0,0,3583,657
2.850,0.259,96.891,0,0,0,53248,497564,122454024,0,0,4173,277
2.344,0,97.656,0,0,0,0,496610,122454024,0,0,4153,270
2.591,0.259,97.150,0,0,0,0,496292,122455542,0,0,4145,255
3.109,0,96.891,0,0,0,0,491498,122449470,0,0,4158,267
3.085,0.257,96.658,0,0,0,0,494172,122454024,0,0,4214,271
2.344,0.260,97.396,0,0,0,0,488448,122457060,0,0,4181,264
