"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final4/ping-1573135332-macsec-morus640-we-1500-1500-dstat.csv",,,,"Date:","07 Nov 2019 15:20:16 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.508,0.162,98.317,0.012,0,11474.455,109074.285,0,0,0,0,7625.931,543.903
1.500,1.500,97,0,0,0,40960,1128000,1128000,0,0,14477,14178
0.758,1.010,98.232,0,0,0,0,1133280,1133280,0,0,14548,14214
0.761,0.508,98.731,0,0,0,94208,1133120,1132960,0,0,14532,14214
0.754,1.759,97.487,0,0,0,0,1132960,1133120,0,0,14536,14218
1.005,1.256,97.739,0,0,0,0,1133440,1133280,0,0,14502,14219
0.758,1.010,98.232,0,0,0,36864,1133649,1133792,0,0,14544,14235
0.253,1.515,98.232,0,0,0,0,1133120,1133120,0,0,14500,14209
0.758,1.263,97.980,0,0,0,4096,1975443,1975136,0,0,14464,14106
0.759,1.013,98.228,0,0,0,0,2031552,2031552,0,0,14428,14155
1.511,0.756,97.733,0,0,0,0,2017728,2017728,0,0,14354,14078
0.761,0.761,98.477,0,0,0,24576,2028096,2028384,0,0,14409,14144
0.501,2.005,97.494,0,0,0,0,2030112,2029824,0,0,14445,14141
0.252,1.763,97.733,0.252,0,0,884736,2029536,2029824,0,0,14543,14201
0.758,1.263,97.980,0,0,0,0,2016864,2016576,0,0,14335,14065
1.005,1.759,97.236,0,0,0,0,3499392,3499936,0,0,14409,14032
1.253,1.504,97.243,0,0,0,28672,3813440,3812896,0,0,14345,14083
1.003,2.005,96.992,0,0,0,0,3793312,3793856,0,0,14299,14008
1.003,1.754,97.243,0,0,0,0,3805824,3805824,0,0,14359,14046
1.003,1.754,97.243,0,0,0,0,3807456,3807456,0,0,14336,14046
0.504,1.763,97.733,0,0,0,0,3809088,3809088,0,0,14347,14054
1.247,1.995,96.758,0,0,0,12288,3813440,3813440,0,0,14406,14087
1.256,1.508,97.236,0,0,0,0,6162751,6163136,0,0,14256,13897
1.266,0.759,97.975,0,0,0,0,7309632,7309632,0,0,14175,13904
1.256,1.508,97.236,0,0,0,12288,7320339,7319136,0,0,14230,13934
0.508,1.269,98.223,0,0,0,0,7309632,7310798,0,0,14180,13903
0.505,1.515,97.980,0,0,0,40960,7323360,7322304,0,0,14203,13935
0.254,1.523,98.223,0,0,0,0,7309632,7309632,0,0,14172,13890
1.013,1.013,97.975,0,0,0,0,7304352,7304352,0,0,14145,13885
1.754,1.504,96.742,0,0,0,4096,8352304,8353736,0,0,14119,13758
1.010,1.010,97.980,0,0,0,0,9803472,9802040,0,0,14008,13731
0.761,1.015,98.223,0,0,0,32768,9790666,9790666,0,0,14029,13748
0.508,1.269,98.223,0,0,0,0,9747624,9749056,0,0,13942,13655
1.005,1.508,97.487,0,0,0,0,9802040,9802040,0,0,14026,13735
0.506,1.519,97.722,0.253,0,0,14635008,9763376,9761944,0,0,13980,13690
1.266,0.506,98.228,0,0,0,0,9749056,9749056,0,0,13966,13668
1.010,1.515,97.475,0,0,0,36864,9790364,9791882,0,0,14032,13707
0.510,0.510,98.980,0,0,0,0,10279896,10279896,0,0,13882,13606
0.761,1.015,98.223,0,0,0,0,10258726,10258726,0,0,13855,13565
0.763,0.763,98.473,0,0,0,65536,10360350,10358832,0,0,14009,13708
0.254,1.018,98.728,0,0,0,0,10255608,10257126,0,0,13825,13556
0.253,1.772,97.975,0,0,0,20480,10272306,10270788,0,0,13865,13589
0.506,1.519,97.975,0,0,0,0,10364904,10364904,0,0,13993,13705
1.003,2.005,96.992,0,0,0,0,10269270,10270788,0,0,13867,13581
