"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/iperf3-1576678732-100-macsec-aegis128l-e-1500-dstat.csv",,,,"Date:","18 Dec 2019 22:57:39 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.339,0.033,99.622,0.006,0,4181.530,16259.333,0,0,0,0,2518.015,157.175
0.264,1.055,98.681,0,0,0,0,880807,114313877,0,0,3895,305
0.525,0.525,98.950,0,0,0,0,451984,122464650,0,0,4070,223
0.528,0,99.472,0,0,0,65536,441914,122457060,0,0,4067,225
0,0.264,99.472,0.264,0,0,0,445942,122454134,0,0,4093,240
0,0.522,99.478,0,0,0,0,442738,122450988,0,0,4056,201
0.518,0.259,99.223,0,0,0,0,456330,122452506,0,0,4062,217
0,0.260,99.740,0,0,0,0,444776,122450988,0,0,4050,207
0,0.260,99.740,0,0,0,0,441384,122458578,0,0,4075,230
0.775,0.258,98.966,0,0,0,12288,441384,122443398,0,0,4062,221
0,0.260,99.740,0,0,0,0,436720,122466168,0,0,4054,212
0.524,1.047,98.429,0,0,0,0,437248,100433496,0,0,3469,567
0,0.265,99.735,0,0,0,0,442273,122455689,0,0,4073,246
0.526,0.263,99.211,0,0,0,0,451878,122454024,0,0,4057,220
0,0.265,99.735,0,0,0,0,450182,122452506,0,0,4054,212
0,0.264,99.736,0,0,0,45056,450370,122446434,0,0,4057,219
0.260,0.260,99.219,0.260,0,0,0,445306,122450988,0,0,4072,236
0,0.260,99.740,0,0,0,0,444564,122464650,0,0,4043,201
0,0.260,99.740,0,0,0,5820416,439052,122454024,0,0,4068,218
0,0.260,99.740,0,0,0,0,438734,122454024,0,0,4047,203
0,0.260,99.740,0,0,0,0,444670,122454024,0,0,4063,229
0.781,1.302,97.917,0,0,0,20480,846655,99357237,0,0,3435,578
0.263,0.526,99.211,0,0,0,0,445942,122438844,0,0,4059,222
0.264,0,99.736,0,0,0,4096,443610,122464650,0,0,4053,207
0,0.525,99.475,0,0,0,0,444776,122443398,0,0,4088,235
0,0.260,99.740,0,0,0,0,437968,122464650,0,0,4046,201
0,0,100,0,0,0,45056,440642,122454024,0,0,4066,226
0,0.260,99.740,0,0,0,0,440324,122452506,0,0,4049,197
0,0,100,0,0,0,65536,438840,122455542,0,0,4076,229
0.259,0.518,99.223,0,0,0,0,437038,122454024,0,0,4048,204
0,0,100,0,0,0,0,440642,122452506,0,0,4058,217
1.790,1.535,96.675,0,0,0,0,825076,99903716,0,0,7001,574
0.525,0.262,98.950,0.262,0,0,45056,453468,122475276,0,0,4085,260
0,0.265,99.735,0,0,0,299008,444776,122450988,0,0,4100,225
0.785,0.524,98.691,0,0,0,0,442550,122450988,0,0,4061,228
0,0,100,0,0,0,0,443876,122443398,0,0,4040,197
0.525,0,99.475,0,0,0,0,446606,122458578,0,0,4075,247
0,0.518,99.482,0,0,0,0,443186,122454024,0,0,4044,199
0,0,100,0,0,0,40960,449652,122452506,0,0,4062,228
0,0.260,99.740,0,0,0,0,439476,122455542,0,0,4045,199
0,0.519,99.481,0,0,0,0,440854,122454024,0,0,4061,218
0.517,1.550,97.933,0,0,0,0,533340,99894609,0,0,3437,551
0.526,0.263,99.211,0,0,0,0,560094,122441880,0,0,4086,234
0.263,0.526,99.211,0,0,0,0,446154,122463132,0,0,4065,221
0.263,0.526,99.211,0,0,0,45056,437038,122437326,0,0,4074,238
0,0.264,99.472,0.264,0,0,0,445836,122460096,0,0,4051,204
0,0.264,99.736,0,0,0,0,452490,122457060,0,0,4059,212
0.263,0.526,99.211,0,0,0,0,444670,122452506,0,0,4055,208
0.262,0.262,99.476,0,0,0,0,442550,122455542,0,0,4063,230
0,0.260,99.740,0,0,0,0,452408,122444916,0,0,4054,212
0,0,100,0,0,0,12288,460252,122463132,0,0,4062,220
0,0.518,99.482,0,0,0,0,420999,112914122,0,0,3757,207
1.050,1.312,97.638,0,0,0,0,1479593,109436135,0,0,6535,601
