"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/iperf3-1576678732-100-macsec-aes-gcm-we-jumbo-MACsec-Ethernet-dstat.csv",,,,"Date:","18 Dec 2019 22:08:37 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.320,0.031,99.643,0.006,0,4208.941,16096.113,0,0,0,0,2397.486,152.186
8.209,0.746,91.045,0,0,0,0,2075703,115893229,0,0,49183,398
7.071,0,92.929,0,0,0,94208,2196744,123550224,0,0,53548,376
7.053,0,92.947,0,0,0,0,2196532,123556188,0,0,53661,334
7.769,0,92.231,0,0,0,0,2196320,123547242,0,0,52858,336
8,0,92,0,0,0,0,2196532,123553206,0,0,52675,344
6.835,0,93.165,0,0,0,0,2196320,123553206,0,0,52788,335
7.053,0,92.947,0,0,0,0,2193564,123553206,0,0,52770,329
7.538,0,92.462,0,0,0,12288,2196956,123553206,0,0,52223,344
7.769,0,92.231,0,0,0,0,2196214,123553206,0,0,53071,321
8.458,0,90.547,0.995,0,0,19230720,2196108,123553206,0,0,53224,379
7.692,0.993,91.315,0,0,0,0,1840142,101676102,0,0,44229,664
7.921,0.990,91.089,0,0,0,0,2196638,123550224,0,0,52710,352
7.940,0.248,91.563,0.248,0,0,0,2196320,123553206,0,0,52244,359
7.769,0,92.231,0,0,0,73728,2196638,123553206,0,0,52761,361
7.286,0,92.714,0,0,0,0,2196956,123553206,0,0,53674,349
7.769,0,92.231,0,0,0,0,2196002,123550224,0,0,53703,327
7.769,0,92.231,0,0,0,0,2196532,123553206,0,0,53488,316
7.053,0,92.947,0,0,0,0,2196214,123550224,0,0,52319,341
7.305,0,92.695,0,0,0,0,2191126,123553206,0,0,51704,342
7.071,0,92.929,0,0,0,12288,2196532,123554150,0,0,51870,322
6.030,1.508,92.462,0,0,0,0,1816599,100372966,0,0,43147,668
7.750,0,92.250,0,0,0,0,2196426,123550224,0,0,52048,363
7.305,0,92.695,0,0,0,0,2195790,123553206,0,0,52323,358
7.519,0,92.481,0,0,0,0,2195896,123553206,0,0,52378,353
7.519,0,92.481,0,0,0,0,2196214,123550334,0,0,52137,350
7.305,0,92.695,0,0,0,45056,2190808,123553206,0,0,52305,350
8.209,0,91.791,0,0,0,0,2196532,123553206,0,0,52485,351
8,0,92,0,0,0,0,2196638,123550224,0,0,52806,330
8.437,0,91.563,0,0,0,0,2196108,123556188,0,0,52586,340
7.538,0,92.462,0,0,0,0,2196129,123550224,0,0,52846,360
6.983,1.247,91.771,0,0,0,0,1833005,100948645,0,0,44031,686
7.481,0.499,92.020,0,0,0,45056,2196426,123550224,0,0,53017,325
7.692,0.993,91.315,0,0,0,0,2196532,123553206,0,0,53137,349
6.219,1.990,91.791,0,0,0,0,2195896,123550224,0,0,52941,313
6.931,1.980,91.089,0,0,0,114688,2196850,123556188,0,0,52245,338
7.692,0.744,91.563,0,0,0,0,2195896,123550224,0,0,52036,328
7.053,0.252,92.695,0,0,0,28672,2196320,123556188,0,0,54650,350
7.500,0.250,92.250,0,0,0,0,2197168,123550224,0,0,51809,328
7.305,0,92.695,0,0,0,0,2195790,123553206,0,0,52672,322
7.519,0,92.481,0,0,0,0,2196108,123550224,0,0,52521,324
7.214,1.244,91.542,0,0,0,0,1828325,100879913,0,0,43461,643
7.426,1.485,91.089,0,0,0,0,2196744,123556188,0,0,52577,356
7.519,0.251,92.231,0,0,0,45056,2196426,123547242,0,0,53264,370
7.053,0,92.947,0,0,0,0,2196956,123550224,0,0,52389,340
7.305,0,92.695,0,0,0,0,2196744,123553206,0,0,53402,341
8,0,92,0,0,0,233472,2196850,123553206,0,0,52722,363
7.519,0,92.481,0,0,0,0,2196320,123553206,0,0,51985,344
6.835,0,93.165,0,0,0,0,2196320,123550224,0,0,52315,330
7.053,0,92.947,0,0,0,16384,2196426,123556188,0,0,52782,370
8,0,92,0,0,0,0,2198970,123548536,0,0,53185,316
6.107,0.254,93.639,0,0,0,0,2114119,117921340,0,0,51182,294
7,1,92,0,0,0,0,1935879,107989057,0,0,45733,693
7.769,0,92.231,0,0,0,0,2195790,123553206,0,0,52307,332
7.750,0,92.250,0,0,0,0,2196002,123550224,0,0,53166,348
8,0,92,0,0,0,45056,2196108,123553206,0,0,52302,363
6.818,0,93.182,0,0,0,0,2196002,123553206,0,0,52241,320
7.286,0,92.462,0.251,0,0,0,2193564,123553206,0,0,51925,339
8.437,0,91.563,0,0,0,0,2198334,123553206,0,0,51080,325
7.538,0,92.462,0,0,0,0,2196320,123550224,0,0,52452,341
7.519,0,92.481,0,0,0,0,2196002,123553206,0,0,52266,334
7.921,0.990,91.089,0,0,0,12288,2195684,123553206,0,0,52580,358
6.500,1.500,92,0,0,0,0,1834524,101285465,0,0,44086,666
7.305,0,92.695,0,0,0,0,2196320,123550224,0,0,52371,355
6.818,0,93.182,0,0,0,0,2196426,123553206,0,0,52320,342
7.305,0,92.695,0,0,0,0,2196002,123553206,0,0,52301,330
7.750,0,92.250,0,0,0,8192,2196320,123553206,0,0,52416,340
8.229,0,91.771,0,0,0,53248,2196638,123550224,0,0,52395,356
7.980,0,92.020,0,0,0,0,2196320,123553206,0,0,51924,334
7.286,0,92.462,0.251,0,0,0,2196956,123553206,0,0,52714,339
8,0,92,0,0,0,0,2196638,123553206,0,0,53621,352
8.209,0,91.791,0,0,0,49152,2195684,123553206,0,0,53289,348
6.750,1.500,91.750,0,0,0,0,1828390,101697715,0,0,43356,657
7.750,0,92.250,0,0,0,45056,2197486,123553206,0,0,47888,377
8.458,0.995,90.547,0,0,0,0,2196638,123550224,0,0,50094,424
7.843,1.716,90.441,0,0,0,0,2196532,123550224,0,0,52733,365
7.389,1.970,90.640,0,0,0,36864,2196002,123556188,0,0,52053,328
7.426,1.238,91.337,0,0,0,0,2193352,123550224,0,0,52431,328
7.286,0.251,92.462,0,0,0,0,2196320,123553206,0,0,52024,338
7.692,0.744,91.563,0,0,0,20480,2196108,123553206,0,0,52090,358
8,0,92,0,0,0,0,2190384,123550224,0,0,52282,328
7.980,0,92.020,0,0,0,0,2196214,123556188,0,0,52567,335
6.767,1.003,92.231,0,0,0,0,1828431,100879911,0,0,43278,679
8.458,0,91.542,0,0,0,0,2196744,123553206,0,0,52406,368
7.750,0,92.250,0,0,0,0,2196002,123550224,0,0,52239,343
6.582,0,93.165,0.253,0,0,45056,2192080,123553206,0,0,52131,347
7.750,0,92.250,0,0,0,0,2195896,123553316,0,0,52017,347
7.071,0,92.929,0,0,0,225280,2190914,123553206,0,0,52609,360
8.437,0,91.563,0,0,0,0,2195472,123553206,0,0,52985,314
8,0,92,0,0,0,0,2196320,123550224,0,0,52400,347
7.519,0,92.481,0,0,0,0,2196532,123553206,0,0,52331,330
8,0,92,0,0,0,16384,2196002,123553206,0,0,52971,358
6.045,1.259,92.695,0,0,0,0,1845764,101932557,0,0,43245,632
7.519,0,92.481,0,0,0,0,2197062,123553206,0,0,51459,395
7.980,0.249,91.771,0,0,0,0,2196341,123553206,0,0,52187,346
7.617,1.720,90.663,0,0,0,0,2196108,123553353,0,0,52262,334
7.598,1.961,90.441,0,0,0,0,2198122,123550224,0,0,51336,322
7.843,1.961,90.196,0,0,0,49152,2196850,123556188,0,0,52236,390
8.148,0.988,90.864,0,0,0,0,2196532,123550224,0,0,52869,346
8.168,0.495,91.337,0,0,0,0,2196532,123553206,0,0,52705,343
7.286,0.251,92.462,0,0,0,0,2196426,123553206,0,0,53163,323
7.305,0,92.695,0,0,0,0,2197698,123551120,0,0,53751,311
7.250,1,91.750,0,0,0,0,2203437,122878737,0,0,53903,318
6.716,1.493,91.791,0,0,0,262144,1831262,102058263,0,0,40729,771
6.801,0.252,92.947,0,0,0,0,2196532,123583026,0,0,52219,351
7.305,0,92.695,0,0,0,0,2195578,123511458,0,0,52514,342
7.053,0,92.947,0,0,0,0,2195896,123505600,0,0,52368,323
7.538,0,92.462,0,0,0,40960,2195472,123505494,0,0,52458,346
7.901,0.988,91.111,0,0,0,0,2196426,123547242,0,0,52594,327
7.731,0.499,91.771,0,0,0,12288,2195578,123508476,0,0,52823,346
7.538,0,92.462,0,0,0,0,2195578,123508476,0,0,52822,324
8.437,0,91.563,0,0,0,0,2195896,123520404,0,0,52421,350
7.071,0,92.929,0,0,0,0,2196426,123544260,0,0,53466,323
6.500,1.750,91.750,0,0,0,40960,1811116,100752422,0,0,43442,696
7.731,0.249,92.020,0,0,0,0,2196426,123553206,0,0,52120,338
7.071,0,92.929,0,0,0,0,2194942,123541278,0,0,54136,353
8.209,0,91.791,0,0,0,0,2196320,123574080,0,0,53424,339
7.538,0,92.462,0,0,0,204800,2196108,123541278,0,0,51799,337
8.209,0,91.791,0,0,0,0,2196320,123550224,0,0,51024,345
7.980,0,92.020,0,0,0,57344,2196320,123553206,0,0,50846,334
7.286,0,92.714,0,0,0,0,2196426,123553206,0,0,50549,333
7.071,0,92.929,0,0,0,0,2196108,123553206,0,0,50428,327
7.750,0,92.250,0,0,0,0,2196426,123550224,0,0,50658,319
5.793,1.511,92.695,0,0,0,0,1838927,101360015,0,0,42377,680
7.286,0,92.714,0,0,0,0,2196214,123556188,0,0,50405,351
7.519,0,92.481,0,0,0,45056,2196320,123544260,0,0,50539,350
7.519,0,92.481,0,0,0,0,2196426,123550224,0,0,50976,336
7.750,0,92.250,0,0,0,0,2196320,123550224,0,0,51007,325
7.286,0,92.714,0,0,0,0,2197274,123553206,0,0,50252,332
7.921,0.743,91.337,0,0,0,0,2196638,123553206,0,0,50273,335
7.371,1.966,90.663,0,0,0,0,2197062,123550224,0,0,50276,333
7.125,2.211,90.418,0.246,0,0,12288,2196426,123559170,0,0,50606,361
7.617,1.720,90.663,0,0,0,0,2196214,123550224,0,0,51308,330
6.965,1.741,91.294,0,0,0,0,1825193,101527007,0,0,44327,661
7.286,0,92.714,0,0,0,0,2196956,123541278,0,0,52294,343
7.750,0,92.250,0,0,0,0,2196426,123553206,0,0,51847,349
7.305,0,92.695,0,0,0,0,2191762,123550224,0,0,51660,316
7.750,0,92.250,0,0,0,45056,2197592,123565134,0,0,48652,348
7.750,0,92.250,0,0,0,253952,2196214,123541278,0,0,50294,346
7.286,0,92.714,0,0,0,0,2196956,123553206,0,0,52005,335
