"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/iperf3-1576678732-100-macsec-aesgcm-e-frag-dstat.csv",,,,"Date:","18 Dec 2019 18:35:07 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.127,0.020,99.847,0.006,0,4331.607,15581.543,0,0,0,0,1750.153,128.548
7.519,1.253,91.228,0,0,0,0,1858001,112863949,0,0,17522,396
8.458,0.249,91.294,0,0,0,0,1997040,120650750,0,0,18625,379
7.750,0.500,91.750,0,0,0,0,2001088,120644326,0,0,18623,367
7.809,0,92.191,0,0,0,65536,1996404,120657174,0,0,18639,368
8.685,0.248,91.067,0,0,0,0,2042508,120572056,0,0,18625,377
8.911,0.248,90.842,0,0,0,98304,2049298,120658780,0,0,18644,379
9.136,0.247,90.617,0,0,0,0,1988884,120655568,0,0,18664,433
8.271,0,91.729,0,0,0,0,2070548,120649166,0,0,18656,381
8.229,0.249,91.521,0,0,0,0,1996722,120610600,0,0,18628,368
8.416,0.495,90.842,0.248,0,0,12288,1980871,120615418,0,0,18660,385
6.281,1.256,92.462,0,0,0,0,1705982,99267927,0,0,15467,680
7.557,0.252,92.191,0,0,0,0,2059621,120562567,0,0,18624,376
8.229,0.249,91.521,0,0,0,0,2075156,120636208,0,0,18638,377
8.437,0.496,91.067,0,0,0,0,2003638,120658780,0,0,18645,370
8.209,0.498,91.294,0,0,0,0,2005732,120445182,0,0,18612,370
8.189,0.744,91.067,0,0,0,45056,2036758,120645932,0,0,18656,382
7.557,0,92.443,0,0,0,0,2057036,120637902,0,0,18608,349
8.250,0,91.750,0,0,0,0,2018478,120660386,0,0,18637,362
7.769,0.501,91.729,0,0,0,0,2053750,120652356,0,0,18641,361
8.437,0.248,91.315,0,0,0,0,2025592,120655568,0,0,18645,368
6.313,1.010,92.677,0,0,0,4063232,1667729,99394802,0,0,15501,680
8.229,0.499,91.272,0,0,0,57344,2013788,120552784,0,0,18630,377
8.458,0.249,91.294,0,0,0,0,2087346,120641114,0,0,18644,384
8.706,0,91.294,0,0,0,0,2039336,120655568,0,0,18634,379
8.663,0.495,90.842,0,0,0,0,2013788,120653962,0,0,18634,379
8.229,0.249,91.521,0,0,0,0,2013516,120584904,0,0,18607,361
8.933,0.248,90.819,0,0,0,286720,2004778,120657086,0,0,18685,399
7.557,0,92.443,0,0,0,16384,1982712,120655656,0,0,18639,372
8.229,0.249,91.521,0,0,0,0,2011774,120652356,0,0,18614,369
7.769,0.251,91.980,0,0,0,0,2041220,120658780,0,0,18645,352
6.061,1.010,92.677,0.253,0,0,0,1662499,98790891,0,0,15413,668
7.789,0.251,91.960,0,0,0,28672,2029794,120615418,0,0,18645,365
8.020,0,91.980,0,0,0,0,2034652,120653962,0,0,18648,367
7.538,0.251,92.211,0,0,0,53248,1988246,120617024,0,0,18639,367
8.663,0.495,90.842,0,0,0,0,2025674,120655568,0,0,18665,379
8,0.250,91.750,0,0,0,0,1973764,120628266,0,0,18628,367
8.250,0,91.750,0,0,0,0,2039970,120607388,0,0,18614,358
7.980,0.499,91.521,0,0,0,0,1999584,120650662,0,0,18629,361
8.209,0.498,91.294,0,0,0,0,2070106,120649232,0,0,18636,377
8,0.250,91.750,0,0,0,12288,2016862,120655568,0,0,18643,372
5.823,1.266,92.911,0,0,0,0,1668999,99635648,0,0,15536,672
8.458,0.249,91.294,0,0,0,24576,2008382,120649144,0,0,18628,384
8.020,0.251,91.729,0,0,0,0,2047740,120652356,0,0,18638,377
8.479,0,91.521,0,0,0,0,1960152,120653962,0,0,18615,370
7.769,0.251,91.980,0,0,0,0,2045158,120653962,0,0,18642,355
8.458,0.249,91.294,0,0,0,45056,1995450,120618630,0,0,18617,381
8.209,0.498,91.294,0,0,0,0,2013630,120655568,0,0,18649,391
8.229,0.249,91.521,0,0,0,0,2018028,120655568,0,0,18633,365
7.305,0.252,92.443,0,0,0,0,2051930,120581692,0,0,18638,353
8,0.250,91.750,0,0,0,0,1985062,120657174,0,0,18627,357
7.232,0.998,91.771,0,0,0,0,1673839,99759095,0,0,15536,662
8.458,0.498,91.045,0,0,0,45056,2039888,120143466,0,0,18614,457
7.519,0.501,91.980,0,0,0,0,2045794,120562420,0,0,18639,361
8.911,0.495,90.594,0,0,0,0,2077070,120645844,0,0,18632,381
7.789,0,92.211,0,0,0,0,2089716,120652356,0,0,18643,373
8.437,0.496,91.067,0,0,0,0,2083006,120654050,0,0,18629,383
8.685,0.248,91.067,0,0,0,0,1981296,120522270,0,0,18622,372
7.500,0.500,91.750,0.250,0,0,20480,2063290,120658780,0,0,18645,368
8.020,0.251,91.729,0,0,0,0,2006262,120657086,0,0,18635,368
8.479,0,91.521,0,0,0,0,2096264,120654050,0,0,18644,374
7.960,0.746,91.294,0,0,0,0,2058308,120617024,0,0,18627,368
7.232,1.247,91.521,0,0,0,245760,1665026,99536075,0,0,15580,723
8,0.250,91.750,0,0,0,0,2064644,120634690,0,0,18660,383
8.209,0.498,91.294,0,0,0,61440,2047284,120637902,0,0,18624,396
8.416,0.743,90.842,0,0,0,0,2007746,120046894,0,0,18543,366
8,0.250,91.750,0,0,0,0,2054368,120657174,0,0,18630,361
7.980,0.499,91.521,0,0,0,0,2038380,120653962,0,0,18632,360
7.750,0.500,91.750,0,0,0,8192,2017610,120658692,0,0,18650,369
7.769,0.501,91.729,0,0,0,0,2039498,120655656,0,0,18642,366
7.557,0,92.443,0,0,0,20480,2031384,120655568,0,0,18624,357
8.437,0.496,91.067,0,0,0,0,2033934,120647538,0,0,18642,383
6.750,1.500,91.750,0,0,0,0,1631285,98866375,0,0,15432,767
8.229,0.249,91.521,0,0,0,32768,2011056,120588226,0,0,18635,388
7.538,0.251,92.211,0,0,0,0,2043277,120655480,0,0,18628,366
8.458,0.249,91.294,0,0,0,0,2002674,120642808,0,0,18636,385
7.769,0.251,91.980,0,0,0,53248,2059091,120655715,0,0,18625,387
7.769,0.251,91.980,0,0,0,0,2047432,120655568,0,0,18655,362
8.933,0.248,90.819,0,0,0,61440,2095614,120618542,0,0,18651,370
8.189,0.744,91.067,0,0,0,0,2070506,120448482,0,0,18644,395
8.685,0.248,91.067,0,0,0,0,2028416,120653962,0,0,18627,372
7.750,0.500,91.750,0,0,0,0,1985798,120633084,0,0,18636,353
