"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/iperf3-1576678732-100-macsec-aesgcm-e-jumbo-dstat.csv",,,,"Date:","18 Dec 2019 20:04:33 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.226,0.025,99.743,0.006,0,4279.943,15808.453,0,0,0,0,1938.908,139.079
6.618,0.980,92.402,0,0,0,0,481993,114019315,0,0,4762,354
3.553,0.254,96.193,0,0,0,73728,517174,122814174,0,0,5032,281
5.211,0.496,94.293,0,0,0,0,516750,122815728,0,0,5026,299
5.459,0.248,94.293,0,0,0,0,518552,122815728,0,0,5030,273
3.299,0.254,96.447,0,0,0,0,517810,122814174,0,0,5026,247
4.523,0.251,95.226,0,0,0,0,526820,122817282,0,0,5028,274
5.926,0.247,93.827,0,0,0,0,531378,122817282,0,0,5026,312
3.788,0.253,95.960,0,0,0,12288,522002,122783200,0,0,5032,281
6.618,0.245,93.137,0,0,0,282624,518446,122815728,0,0,5082,350
3.553,0.254,96.193,0,0,0,0,517725,122815838,0,0,5033,277
5.707,0.993,93.300,0,0,0,0,1628705,100866650,0,0,4347,655
4.545,0.253,95.202,0,0,0,0,2146011,122817282,0,0,5031,285
7.299,0.487,92.214,0,0,0,0,1237338,122815728,0,0,5026,314
3.291,0.253,96.203,0.253,0,0,49152,526184,122815728,0,0,5032,275
7.317,0.244,92.439,0,0,0,0,543356,122814174,0,0,5028,306
3.778,0.504,95.718,0,0,0,0,544574,122686958,0,0,5029,258
4.040,0.253,95.707,0,0,0,0,538056,122817282,0,0,5027,305
5.459,0.248,94.293,0,0,0,0,540706,122815728,0,0,5038,331
4.774,0,95.226,0,0,0,5238784,545476,122817282,0,0,5033,298
4.040,0.253,95.707,0,0,0,20480,534876,122814174,0,0,5033,267
4.051,1.772,94.177,0,0,0,0,1293699,100265145,0,0,4329,632
4.822,0,95.178,0,0,0,0,1284826,122812620,0,0,5029,260
4.511,0.251,95.238,0,0,0,0,535088,122814174,0,0,5026,284
5.459,0.248,94.293,0,0,0,45056,533710,122817282,0,0,5035,277
3.308,0.254,96.438,0,0,0,0,532968,122814174,0,0,5026,255
5.459,0.248,94.293,0,0,0,45056,533816,122817282,0,0,5032,302
4.282,0,95.718,0,0,0,0,532968,122815728,0,0,5027,285
3.788,0.253,95.960,0,0,0,0,536148,122817282,0,0,5030,263
4.282,0.252,95.466,0,0,0,0,525018,122814280,0,0,5027,261
6.404,0,93.596,0,0,0,0,525442,122815728,0,0,5028,317
3.535,1.263,95.202,0,0,0,0,572184,100436189,0,0,4331,612
5.955,0,94.045,0,0,0,45056,532438,122814174,0,0,5034,305
7.073,0.244,92.683,0,0,0,0,535088,122812620,0,0,5027,312
5.473,0.249,94.279,0,0,0,32768,531060,122817282,0,0,5031,298
4.030,0.252,95.718,0,0,0,0,535088,122815728,0,0,5029,262
3.053,0.509,96.438,0,0,0,0,537738,122815728,0,0,5029,242
4.523,0.251,95.226,0,0,0,28672,541236,122817282,0,0,5032,293
3.788,0.253,95.960,0,0,0,0,529694,122697836,0,0,5025,279
3.797,0,96.203,0,0,0,0,531166,122815728,0,0,5028,265
6.388,0.246,93.120,0.246,0,0,0,529046,122817282,0,0,5032,293
4.010,1.253,94.737,0,0,0,0,643664,100263590,0,0,4325,636
8.273,0,91.727,0,0,0,0,2148726,122812620,0,0,5034,336
6.452,0,93.548,0,0,0,45056,2147560,122817282,0,0,5034,323
5,0.250,94.750,0,0,0,0,834326,122815728,0,0,5031,273
4.030,0.252,95.718,0,0,0,225280,536466,122815728,0,0,5072,289
5.941,0.248,93.812,0,0,0,0,538268,122815728,0,0,5030,284
6.404,0,93.596,0,0,0,0,534890,122814386,0,0,5028,309
5.473,0.249,94.279,0,0,0,0,518658,122815728,0,0,5031,273
5.459,0.248,94.293,0,0,0,16384,517280,122817282,0,0,5031,293
5.224,0.249,94.279,0.249,0,0,0,521838,122815728,0,0,5030,290
4.500,0.250,95.250,0,0,0,0,472675,109383236,0,0,4608,577
4.030,1.259,94.710,0,0,0,0,1283777,113660447,0,0,4751,305
4.523,0.251,95.226,0,0,0,0,536148,122811066,0,0,5027,281
5.693,0.248,94.059,0,0,0,0,542690,122818942,0,0,5028,299
4.030,0.252,95.718,0,0,0,45056,533286,122812620,0,0,5031,287
5.473,0.249,94.279,0,0,0,0,535618,122817282,0,0,5033,298
3.053,0.254,96.692,0,0,0,0,529894,122815728,0,0,5026,250
4.051,0,95.949,0,0,0,0,531378,122815728,0,0,5030,256
4.523,0.251,95.226,0,0,0,0,526502,122817282,0,0,5027,279
3.788,0.253,95.960,0,0,0,45056,528782,122738134,0,0,5038,265
4.523,0.251,95.226,0,0,0,12288,528092,122817282,0,0,5031,291
3.053,1.018,95.674,0.254,0,0,0,1626816,101267560,0,0,4368,609
5.250,0,94.750,0,0,0,0,1087666,122812620,0,0,5026,290
5.459,0.248,94.293,0,0,0,0,521944,122817282,0,0,5030,275
4.762,0.251,94.987,0,0,0,8192,552038,122755334,0,0,5025,268
4.030,0.252,95.718,0,0,0,0,556394,122814174,0,0,5030,270
4.762,0.251,94.987,0,0,0,49152,525230,122815728,0,0,5033,304
6.404,0.246,93.350,0,0,0,0,527138,122815728,0,0,5032,309
4.282,0.252,95.466,0,0,0,0,521838,122815728,0,0,5030,259
3.291,0.506,96.203,0,0,0,0,520248,122815728,0,0,5029,251
5.721,0,94.279,0,0,0,0,523534,122815728,0,0,5030,289
5.459,0.993,93.548,0,0,0,0,667464,100405105,0,0,4338,638
5.459,0.248,94.293,0,0,0,45056,529258,122814174,0,0,5031,300
3.807,0,96.193,0,0,0,0,537335,122815728,0,0,5037,285
5.250,0,94.750,0,0,0,40960,537420,122815728,0,0,5031,293
6.373,0.490,92.892,0.245,0,0,0,531419,122817282,0,0,5042,344
4.750,0.250,95,0,0,0,0,523958,122814174,0,0,5028,288
6.173,0.247,93.580,0,0,0,0,527668,122815838,0,0,5030,320
3.061,0.255,96.684,0,0,0,36864,526608,122815728,0,0,5030,271
6.404,0.246,93.350,0,0,0,0,526714,122817282,0,0,5029,301
5.250,0,94.750,0,0,0,0,526926,122814174,0,0,5028,271
5.224,1.244,93.532,0,0,0,0,956256,100627333,0,0,4340,649
6.897,0.246,92.857,0,0,0,0,1273908,122812620,0,0,5027,351
