"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/iperf3-1576678732-100-macsec-aesgcm-we-jumbo-dstat.csv",,,,"Date:","18 Dec 2019 20:22:27 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.237,0.026,99.731,0.006,0,4269.554,15853.101,0,0,0,0,1947.134,140.843
7.882,0.985,91.133,0,0,0,0,481039,113685205,0,0,4755,344
5.556,0,94.444,0,0,0,61440,517280,122812620,0,0,5033,297
4.523,0.503,94.975,0,0,0,0,518340,122815728,0,0,5028,295
6.667,0,93.333,0,0,0,0,518128,122812620,0,0,5028,301
3.807,0.254,95.939,0,0,0,0,519082,122815728,0,0,5027,250
6.188,0.248,93.564,0,0,0,0,518976,122815728,0,0,5030,301
5.013,0.251,94.737,0,0,0,0,528410,122817282,0,0,5032,282
6.420,0.247,93.086,0.247,0,0,12288,522050,122818836,0,0,5034,351
4.061,0,95.939,0,0,0,0,521202,122814284,0,0,5025,267
7.108,0.245,92.647,0,0,0,0,520587,122817282,0,0,5031,309
6.452,1.241,92.308,0,0,0,0,653621,98952120,0,0,4289,630
5.486,0.249,94.264,0,0,0,0,545368,122687105,0,0,5027,291
6.420,0.247,93.333,0,0,0,0,529258,122814174,0,0,5025,318
4.798,0,95.202,0,0,0,45056,518552,122815728,0,0,5038,286
6.634,0.491,92.875,0,0,0,0,521732,122817282,0,0,5031,300
6.188,0.248,93.564,0,0,0,368640,519082,122815728,0,0,5097,331
5.500,0.250,94.250,0,0,0,0,518128,122817282,0,0,5026,267
4.293,0.253,95.455,0,0,0,0,518870,122814174,0,0,5028,275
6.203,0.248,93.548,0,0,0,0,526290,122815728,0,0,5029,301
6.650,0.246,93.103,0,0,0,16384,518658,122815728,0,0,5033,329
5.038,1.259,93.703,0,0,0,4378624,1237555,99280015,0,0,4299,584
5.970,0.249,93.781,0,0,0,0,1001700,122814174,0,0,5028,307
3.562,0.254,96.183,0,0,0,0,532968,122815728,0,0,5031,271
6.420,0.247,93.333,0,0,0,0,539858,122815728,0,0,5028,313
5.250,0.250,94.500,0,0,0,0,531272,122815728,0,0,5029,293
6.188,0.248,93.564,0,0,0,61440,531802,122815834,0,0,5032,314
5.263,0.251,94.486,0,0,0,0,534240,122815728,0,0,5031,315
5.250,0.250,94.500,0,0,0,0,540070,122815728,0,0,5025,311
3.807,0.254,95.939,0,0,0,0,545736,122685404,0,0,5024,259
5.736,0.249,94.015,0,0,0,0,528622,122814174,0,0,5026,289
4.523,1.256,94.221,0,0,0,40960,627598,100830801,0,0,4357,610
6.914,0,93.086,0,0,0,0,533498,122809512,0,0,5025,304
5.736,0.249,94.015,0,0,0,0,537632,122817282,0,0,5028,301
5.013,0.251,94.737,0,0,0,0,536678,122815728,0,0,5028,295
5.941,0.248,93.564,0.248,0,0,0,549316,122680742,0,0,5028,301
5.970,0,94.030,0,0,0,53248,536678,122812620,0,0,5030,326
5.500,0.250,94.250,0,0,0,0,528622,122815728,0,0,5029,273
4.774,0.251,94.975,0,0,0,0,531272,122815728,0,0,5026,279
5.736,0.249,94.015,0,0,0,0,538692,122817282,0,0,5029,279
1.813,0.259,97.927,0,0,0,0,527668,122815728,0,0,5025,240
2.314,1.285,96.401,0,0,0,0,582354,100420650,0,0,4328,538
7.463,0.249,92.289,0,0,0,45056,1304224,122815728,0,0,5033,326
5.823,0,94.177,0,0,0,0,525442,122818836,0,0,5027,292
7.143,0.246,92.611,0,0,0,0,525018,122812620,0,0,5025,331
6.452,0,93.548,0,0,0,0,526078,122817282,0,0,5029,321
6.188,0.248,93.564,0,0,0,0,525018,122814174,0,0,5026,323
6.420,0.247,93.333,0,0,0,20480,526926,122817282,0,0,5032,351
5.721,0.249,94.030,0,0,0,0,529682,122814174,0,0,5027,294
5.263,0.251,94.486,0,0,0,0,532014,122817282,0,0,5028,277
6.188,0.248,93.564,0,0,0,0,526184,122815728,0,0,5029,306
3.797,0.253,95.949,0,0,0,0,494919,114168445,0,0,4751,246
4.774,1.508,93.719,0,0,0,241664,1278786,108570653,0,0,4631,645
7.543,0.243,91.971,0.243,0,0,65536,524064,122814174,0,0,5041,367
6.420,0.247,93.333,0,0,0,0,531378,122815728,0,0,5029,303
5.750,0,94.250,0,0,0,0,536996,122817282,0,0,5029,308
6.650,0.246,93.103,0,0,0,0,543322,122671418,0,0,5022,321
5.013,0.251,94.737,0,0,0,0,545794,122814174,0,0,5030,280
3.817,0.254,95.929,0,0,0,0,541342,122817282,0,0,5027,262
7.335,0.244,92.421,0,0,0,12288,533498,122815728,0,0,5035,332
3.827,0,96.173,0,0,0,0,534134,122815728,0,0,5026,269
5.473,0.498,94.030,0,0,0,0,533498,122815728,0,0,5029,285
4.282,1.511,94.207,0,0,0,53248,534330,100739203,0,0,4350,608
3.085,0,96.915,0,0,0,0,546112,122814174,0,0,5032,289
5.721,0.249,94.030,0,0,0,0,531568,122727362,0,0,5023,306
5.721,0.249,94.030,0,0,0,0,526290,122817282,0,0,5027,288
6.420,0.247,93.333,0,0,0,0,529152,122815728,0,0,5028,292
7.353,0.245,92.402,0,0,0,57344,526396,122817282,0,0,5031,328
5.263,0,94.737,0,0,0,0,528410,122790864,0,0,5042,351
4.293,0.505,95.202,0,0,0,0,530636,122815728,0,0,5030,265
3.562,0.254,96.183,0,0,0,0,527562,122814174,0,0,5027,259
5.025,0.251,94.724,0,0,0,0,532014,122817282,0,0,5027,293
4.030,1.511,94.458,0,0,0,36864,1216798,100349167,0,0,4334,608
4.326,0,95.674,0,0,0,53248,1597738,122812730,0,0,5032,313
6.650,0.246,93.103,0,0,0,0,531293,122818836,0,0,5029,314
4.293,0.253,95.455,0,0,0,0,534916,122683850,0,0,5026,270
6.667,0.247,93.086,0,0,0,0,525442,122814321,0,0,5028,316
5.955,0.248,93.797,0,0,0,0,525124,122815728,0,0,5027,292
5.486,0.249,94.264,0,0,0,0,528940,122815728,0,0,5026,281
5.970,0.249,93.781,0,0,0,12288,526502,122817282,0,0,5031,303
5.955,0.248,93.797,0,0,0,0,536678,122815728,0,0,5026,307
3.817,0.254,95.929,0,0,0,0,531378,122815728,0,0,5027,251
4.293,1.263,94.444,0,0,0,217088,536978,101384024,0,0,4413,639
4.604,0,95.396,0,0,0,0,522156,122817282,0,0,5029,286
5.736,0.249,94.015,0,0,0,0,533286,122811066,0,0,5025,309
4.051,0.506,95.443,0,0,0,49152,526502,122817282,0,0,5031,263
5.013,0.251,94.737,0,0,0,0,529576,122815728,0,0,5026,276
6.203,0.248,93.548,0,0,0,77824,531060,122815728,0,0,5043,306
6.188,0.248,93.564,0,0,0,0,561286,122815940,0,0,5024,296
5.263,0.251,94.486,0,0,0,0,564768,122815728,0,0,5027,285
5.025,0,94.975,0,0,0,0,537102,122815728,0,0,5026,289
6.219,0,93.781,0,0,0,20480,537738,122818836,0,0,5031,295
2.551,1.531,95.918,0,0,0,0,566558,100281001,0,0,4326,582
7.635,0.493,91.872,0,0,0,0,1125190,122815728,0,0,5030,334
3.817,0,96.183,0,0,0,0,520142,122815728,0,0,5026,259
3.316,0.510,96.173,0,0,0,0,521520,122820390,0,0,5028,273
4.774,0.251,94.975,0,0,0,0,525548,122814174,0,0,5025,281
3.817,0.254,95.929,0,0,0,45056,521202,122817282,0,0,5030,270
6.203,0,93.797,0,0,0,225280,531696,122815728,0,0,5073,319
5.707,0.496,93.797,0,0,0,0,531186,122675868,0,0,5024,289
3.827,0,96.173,0,0,0,0,524594,122812620,0,0,5025,264
5.473,0.498,94.030,0,0,0,0,526396,122817282,0,0,5028,285
