"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/iperf3-1576678732-100-macsec-morus640-e-frag-dstat.csv",,,,"Date:","18 Dec 2019 19:46:38 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.207,0.024,99.763,0.006,0,4290.390,15760.115,0,0,0,0,1899.297,136.958
7.769,1.253,90.977,0,0,0,0,1946067,112727581,0,0,17954,663
9.136,0.494,90.370,0,0,0,380928,2101250,120647538,0,0,19085,610
8.750,0,91.250,0,0,0,0,2101344,120660386,0,0,18636,482
8.479,0.249,91.272,0,0,0,0,2102324,120657174,0,0,18735,405
8.209,0.746,91.045,0,0,0,0,2088886,120594650,0,0,18671,409
8.209,0.498,91.045,0.249,0,0,0,2101392,120649056,0,0,19018,394
8.291,0,91.709,0,0,0,12288,2102184,120655656,0,0,18880,429
8,0.500,91.500,0,0,0,0,2099438,120653962,0,0,18778,385
8.458,0.498,91.045,0,0,0,0,2099422,120655568,0,0,18670,405
8.685,0.496,90.819,0,0,0,0,2091655,120655568,0,0,18680,417
6.313,1.263,92.424,0,0,0,0,1713858,98524498,0,0,15685,801
8.479,0.249,91.272,0,0,0,0,2102435,120637902,0,0,19100,593
8.479,0.499,91.022,0,0,0,167936,2102850,120655568,0,0,18888,590
7.769,0.501,91.729,0,0,0,0,2095884,120655568,0,0,18789,529
7.809,0,92.191,0,0,0,0,2087726,120647538,0,0,18729,487
8.250,0.250,91.500,0,0,0,0,2083380,120450000,0,0,18709,454
8.271,0.251,91.479,0,0,0,0,2101244,120652356,0,0,18997,461
8.479,0.249,91.272,0,0,0,5668864,2097884,120657174,0,0,18686,467
8.229,0.499,91.272,0,0,0,20480,2068068,120657086,0,0,18670,469
8.479,0.249,91.272,0,0,0,0,2097364,120654050,0,0,18781,461
6.566,1.010,92.424,0,0,0,0,1713771,98439178,0,0,15414,667
8.728,0.249,91.022,0,0,0,0,2104542,120655568,0,0,18666,387
8.706,0.249,91.045,0,0,0,0,2079680,120379248,0,0,19012,387
8.521,0,91.479,0,0,0,0,2099000,120654050,0,0,18894,368
7.809,0,92.191,0,0,0,45056,2102070,120657174,0,0,18900,380
8.933,0.496,90.571,0,0,0,0,2098452,120655480,0,0,18716,383
8.706,0.249,91.045,0,0,0,0,2086970,120642808,0,0,18674,375
8.229,0.249,91.272,0.249,0,0,0,2096028,120655568,0,0,18801,369
8.479,0.249,91.272,0,0,0,0,2089702,120655568,0,0,18646,370
8.500,0.250,91.250,0,0,0,0,2097004,120658692,0,0,18650,378
7.444,1.489,91.067,0,0,0,12288,1731653,99174868,0,0,15561,749
8.250,0.500,91.250,0,0,0,0,2078352,120464454,0,0,18981,492
8.458,0.498,91.045,0,0,0,28672,2057080,120655568,0,0,18823,464
8.500,0.250,91.250,0,0,0,0,2105016,120657174,0,0,18653,447
8.479,0.249,91.272,0,0,0,0,2097204,120655568,0,0,18761,415
8.458,0.498,91.045,0,0,0,0,2097450,120655568,0,0,18875,416
8.229,0.499,91.272,0,0,0,49152,2102354,120655480,0,0,18705,417
8.955,0.249,90.796,0,0,0,0,2094102,120655656,0,0,18924,426
8.020,0.251,91.729,0,0,0,0,2099120,120657086,0,0,18718,398
7.769,0.501,91.729,0,0,0,0,2106754,120654050,0,0,18946,391
5.838,1.269,92.893,0,0,0,0,1720065,98814983,0,0,15553,740
8.500,0.250,91.250,0,0,0,0,2100762,120650750,0,0,18864,555
9.360,0.493,90.148,0,0,0,274432,2097484,120657174,0,0,19049,569
8.040,0.251,91.709,0,0,0,0,2105810,120653962,0,0,18863,501
8,0.500,91.500,0,0,0,0,2103454,120655568,0,0,18864,510
8.229,0.499,91.272,0,0,0,0,2100032,120655568,0,0,18905,505
8.479,0.249,91.272,0,0,0,0,2099264,120657174,0,0,18730,510
7.769,0.752,91.479,0,0,0,16384,2092196,120658780,0,0,18663,495
8.479,0.249,91.272,0,0,0,0,2098752,120531906,0,0,18968,476
8,0.500,91.250,0.250,0,0,0,2104618,120650750,0,0,19094,453
7.463,1.244,91.294,0,0,0,0,1723663,99354707,0,0,15660,713
8.040,0.251,91.709,0,0,0,0,2102364,120642720,0,0,19208,639
8.933,0.496,90.571,0,0,0,0,2102844,120655568,0,0,18850,560
8.728,0,91.272,0,0,0,98304,2095774,120645932,0,0,18814,512
8,0.500,91.500,0,0,0,0,2101302,120652356,0,0,18784,486
8.291,0,91.709,0,0,0,0,2080900,120657174,0,0,18649,475
8.706,0.249,91.045,0,0,0,0,2104076,120655568,0,0,18894,471
8.479,0.249,91.272,0,0,0,0,2105256,120653962,0,0,18988,461
8.250,0.250,91.500,0,0,0,0,2095556,120501304,0,0,18822,469
8.479,0.249,91.272,0,0,0,12288,2095000,120650948,0,0,19029,485
8.685,0.496,90.819,0,0,0,0,2082811,119737259,0,0,18744,476
5.128,1.026,93.846,0,0,0,0,1736819,99811985,0,0,15600,816
8.479,0.499,91.022,0,0,0,245760,2091670,120144860,0,0,19135,555
8.040,0,91.960,0,0,0,8192,2098606,120615418,0,0,19191,483
8.706,0.249,91.045,0,0,0,0,2063934,120658780,0,0,18654,499
7.305,0.504,92.191,0,0,0,0,2093190,120592846,0,0,18718,447
8.685,0.496,90.819,0,0,0,0,2102690,120655656,0,0,18648,446
8.500,0.250,91.250,0,0,0,0,2103252,120658780,0,0,18637,437
8.250,0.250,91.500,0,0,0,20480,2103464,120657174,0,0,18635,403
8.500,0.250,91.250,0,0,0,0,2106514,120655568,0,0,18832,365
8.229,0.499,91.272,0,0,0,0,2105652,120655568,0,0,18846,369
6.549,1.259,92.191,0,0,0,40960,1724703,99015698,0,0,15421,466
7.557,0.252,92.191,0,0,0,0,2105242,120653962,0,0,18541,386
8.521,0,91.479,0,0,0,36864,2086871,120657174,0,0,18724,419
8.250,0.250,91.500,0,0,0,0,2100048,120654109,0,0,18992,374
8.250,0.250,91.500,0,0,0,0,2088673,120657174,0,0,18755,378
8.521,0,91.479,0,0,0,0,2105178,120653962,0,0,18645,373
8.685,0.744,90.571,0,0,0,49152,2081968,120313490,0,0,19155,387
8.040,0,91.960,0,0,0,0,2105540,120655568,0,0,18815,367
8.728,0.249,91.022,0,0,0,0,2092354,120655568,0,0,18898,384
8.479,0.249,91.272,0,0,0,0,2075894,120551178,0,0,18961,388
7.750,0.750,91.500,0,0,0,0,1734041,99317657,0,0,15984,855
8.040,0,91.960,0,0,0,0,2099882,120649144,0,0,18780,587
8.458,0.498,90.796,0.249,0,0,237568,2099022,120657174,0,0,18935,608
8.500,0,91.500,0,0,0,0,2095706,120610600,0,0,19175,579
7.789,0.503,91.709,0,0,0,0,2095358,120580086,0,0,18927,560
8.479,0.249,91.272,0,0,0,0,2100016,120657086,0,0,19051,555
8.500,0.250,91.250,0,0,0,0,2097570,120647626,0,0,18943,539
8.250,0.250,91.500,0,0,0,0,2100930,120649144,0,0,18832,503
8.040,0.251,91.709,0,0,0,32768,2099400,120657174,0,0,18857,521
9.181,0,90.819,0,0,0,0,2090166,120660386,0,0,18852,495
7.481,0.998,91.521,0,0,0,0,1719239,99043034,0,0,15628,761
7.769,0.501,91.729,0,0,0,0,2107146,120645844,0,0,18812,547
8,0.500,91.500,0,0,0,0,2101586,120654050,0,0,18772,525
7.809,0,92.191,0,0,0,24576,2104044,120658780,0,0,18847,509
7.789,0.251,91.960,0,0,0,45056,2097648,120655568,0,0,18708,512
8.663,0.743,90.594,0,0,0,0,2089664,120657174,0,0,18653,486
7.789,0.251,91.960,0,0,0,0,2092222,120657174,0,0,18639,434
8.271,0.251,91.479,0,0,0,0,2097908,120414668,0,0,19306,410
8.479,0.249,91.272,0,0,0,0,2103062,120653962,0,0,18728,420
8.250,0.250,91.500,0,0,0,0,2102482,120657174,0,0,18690,419
7.268,1.003,91.729,0,0,0,12288,1731887,99301654,0,0,15752,722
8.955,0.249,90.796,0,0,0,0,2099208,120649144,0,0,18896,581
8.020,0.251,91.729,0,0,0,0,2100518,120653962,0,0,18755,541
8.458,0.746,90.796,0,0,0,0,2097934,120639508,0,0,18905,542
8.500,0,91.500,0,0,0,0,2102770,120657174,0,0,18845,533
8.458,0.498,91.045,0,0,0,0,2100496,120661992,0,0,18637,461
8.500,0.250,91.250,0,0,0,45056,2097120,120655568,0,0,18759,413
7.557,0.504,91.940,0,0,0,0,2095638,120512634,0,0,19166,372
8.229,0.499,91.022,0.249,0,0,0,2101884,120589722,0,0,19138,394
8.458,0.498,91.045,0,0,0,0,2109032,120591328,0,0,19253,398
7.538,0,92.462,0,0,0,0,1870801,108414869,0,0,17011,423
