"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/iperf3-1576678732-100-orig-jumbo-dstat.csv",,,,"Date:","18 Dec 2019 16:48:45 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.040,0.014,99.940,0.006,0,4395.972,15259.978,0,0,0,0,1141.734,116.534
10.174,1.241,88.586,0,0,0,0,3782722,114541230,0,0,68277,501
10.891,0.248,88.861,0,0,0,0,4030734,122498193,0,0,72691,470
11.111,0.494,88.395,0,0,0,0,4030734,122498050,0,0,72683,450
10,0.250,89.750,0,0,0,94208,4030836,122502700,0,0,72944,460
10.025,0,89.975,0,0,0,4096,4016964,122499702,0,0,72874,443
10.448,0.498,89.055,0,0,0,0,4031142,122499600,0,0,72264,433
10.025,0,89.975,0,0,0,0,4030632,122499600,0,0,72776,418
10.891,0.495,88.614,0,0,0,0,4030326,122501150,0,0,73550,432
10.891,0.248,88.861,0,0,0,0,4030632,122499600,0,0,73364,435
9.799,0.251,89.950,0,0,0,24576,4030326,122484100,0,0,72929,432
8.728,1.496,88.778,0.998,0,0,18890752,3352014,100623888,0,0,60158,827
10.697,0,89.303,0,0,0,0,4030530,122498050,0,0,72536,428
10.224,0.499,89.277,0,0,0,0,4030632,122498050,0,0,72424,425
10.474,0,89.526,0,0,0,0,4030836,122502700,0,0,72392,428
11.330,0.246,88.424,0,0,0,0,4030530,122499600,0,0,72626,450
10.670,0.248,89.082,0,0,0,73728,4030632,122501150,0,0,72180,441
10.891,0.495,88.614,0,0,0,0,4030734,122496500,0,0,72219,458
10.474,0,89.526,0,0,0,0,4030734,122499600,0,0,72303,443
9.975,0.499,89.526,0,0,0,0,4030836,122499600,0,0,72343,410
9.799,0.251,89.950,0,0,0,0,4030632,122499600,0,0,73019,403
8.250,1.500,90.250,0,0,0,16384,3345107,100459689,0,0,60376,848
9.799,0.251,89.950,0,0,0,0,4030020,122498050,0,0,72913,421
8.838,0.505,90.657,0,0,0,0,4030530,122498050,0,0,72453,383
10.025,0,89.975,0,0,0,0,4030530,122501150,0,0,73039,410
9.572,0.252,90.176,0,0,0,0,4030938,122499600,0,0,73299,412
9.114,0.253,90.633,0,0,0,102400,4031142,122502700,0,0,73295,423
10,0.250,89.750,0,0,0,0,4030836,122498156,0,0,72906,421
10.025,0.251,89.724,0,0,0,0,4030938,122498050,0,0,73312,412
10.864,0.494,88.642,0,0,0,0,4030938,122501150,0,0,73267,445
10.500,0,89.500,0,0,0,0,4030632,122499600,0,0,72831,433
8.706,1.493,89.552,0.249,0,0,266240,3350689,100574288,0,0,59862,849
10.697,0,89.303,0,0,0,61440,4030959,122498050,0,0,72303,442
10.224,0.499,89.277,0,0,0,0,4030979,122501273,0,0,73014,433
9.799,0,90.201,0,0,0,0,4030632,122498193,0,0,72971,437
9.799,0.251,89.950,0,0,0,0,4030632,122501150,0,0,72938,417
