"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/ping-1576678732-macsec-aegis128l-we-1500-1500-dstat.csv",,,,"Date:","18 Dec 2019 23:14:49 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.339,0.034,99.620,0.006,0,4172.014,16271.252,0,0,0,0,2521.456,157.412
0.759,1.013,98.228,0,0,0,73728,1118240,1118240,0,0,14318,14059
0.255,0.510,99.235,0,0,0,0,1120320,1120480,0,0,14426,14083
0.509,0.509,98.982,0,0,0,0,1122560,1122400,0,0,14373,14083
0.254,1.015,98.731,0,0,0,0,1123040,1123040,0,0,14360,14081
0.761,0.508,98.731,0,0,0,0,1125440,1125710,0,0,14413,14114
0.510,0.510,98.980,0,0,0,12288,1131889,1131762,0,0,14484,14209
0.254,0.763,98.982,0,0,0,0,1129440,1129280,0,0,14463,14169
0.759,1.013,98.228,0,0,0,0,1915603,1915891,0,0,14376,14017
0.506,1.013,98.481,0,0,0,90112,2010816,2010816,0,0,14292,13999
1.263,0.505,98.232,0,0,0,0,2019456,2019456,0,0,14400,14111
0.758,1.263,97.980,0,0,0,24576,2015424,2015136,0,0,14327,14053
1.241,1.985,96.526,0.248,0,0,0,2014848,2015136,0,0,14360,14047
0.253,1.519,98.228,0,0,0,0,2016576,2016576,0,0,14336,14046
0.504,1.511,97.985,0,0,0,0,2015424,2015136,0,0,14348,14046
0.761,0.761,98.477,0,0,0,0,3336288,3336288,0,0,14349,14008
0.513,0,99.487,0,0,0,24576,3804192,3804736,0,0,14320,14030
0,0.257,99.743,0,0,0,0,3804192,3803648,0,0,14291,14022
0.759,0.759,98.481,0,0,0,0,3785696,3786240,0,0,14238,13964
0.509,0.763,98.728,0,0,0,0,3778080,3778080,0,0,14219,13945
0.508,0.761,98.731,0,0,0,0,3793312,3793312,0,0,14265,13986
0.255,0.765,98.980,0,0,0,12288,3799296,3799296,0,0,14284,14024
0.998,2.244,96.509,0.249,0,0,0,5804415,5804910,0,0,14346,13981
0.758,1.263,97.980,0,0,0,0,7315968,7314912,0,0,14195,13913
1.018,0.509,98.473,0,0,0,1253376,7306611,7307667,0,0,14429,13986
1.005,1.508,97.487,0,0,0,0,7315968,7314912,0,0,14189,13895
0.756,1.511,97.733,0,0,0,57344,7301184,7301184,0,0,14162,13890
0.761,1.015,98.223,0,0,0,0,7291680,7291680,0,0,14168,13872
0.758,1.263,97.980,0,0,0,0,7310688,7311744,0,0,14197,13900
0.510,0.765,98.724,0,0,0,4096,8114712,8115088,0,0,14171,13805
0.756,1.511,97.733,0,0,0,0,9750570,9750570,0,0,13937,13667
0.761,0.761,98.223,0.254,0,0,32768,9729008,9729008,0,0,13913,13662
0.508,1.015,98.477,0,0,0,0,9757648,9757648,0,0,13951,13665
1.263,1.010,97.727,0,0,0,0,9780560,9780560,0,0,13965,13715
0.759,1.266,97.722,0.253,0,0,14782464,9822088,9820656,0,0,14076,13778
0,1.527,98.473,0,0,0,0,9744760,9744760,0,0,13947,13657
1.263,0.758,97.727,0.253,0,0,28672,9651680,9651680,0,0,13872,13563
1.259,1.008,97.733,0,0,0,0,10062904,10064422,0,0,13659,13342
1.010,1.263,97.727,0,0,0,0,10129614,10128096,0,0,13670,13389
0.758,1.263,97.980,0,0,0,0,10175154,10176672,0,0,13728,13465
1.008,1.259,97.733,0,0,0,0,10194888,10193370,0,0,13750,13476
1.010,1.263,97.727,0,0,0,24576,10196406,10196406,0,0,13753,13491
0.508,1.269,98.223,0,0,0,0,10272306,10273824,0,0,13887,13604
1.008,1.259,97.733,0,0,0,0,10143276,10143276,0,0,13707,13426
