"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/ping-1576678732-macsec-aes-gcm-we-jumbo-MACsec-Ethernet-9000-dstat.csv",,,,"Date:","18 Dec 2019 22:08:13 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.320,0.031,99.643,0.006,0,4209.171,16093.825,0,0,0,0,2396.222,150.852
3.258,2.256,94.486,0,0,0,0,2228800,2228800,0,0,28904,27922
3,2.500,94.500,0,0,0,0,2230400,2230400,0,0,28916,27947
3.275,1.511,94.962,0.252,0,0,0,2222720,2222560,0,0,28828,27846
3.291,1.519,95.190,0,0,0,1204224,3195968,3196366,0,0,30596,29456
3.509,2.757,93.734,0,0,0,61440,4554802,4554802,0,0,32675,31711
3.283,2.273,94.444,0,0,0,0,4552831,4552416,0,0,32662,31685
4.218,2.978,92.804,0,0,0,0,5558592,5558592,0,0,32581,31566
4.239,2.743,93.017,0,0,0,0,8668640,8668787,0,0,32916,31932
4.261,2.506,93.233,0,0,0,4096,8622400,8622944,0,0,32747,31779
5.211,2.233,92.556,0,0,0,24576,9102176,9102688,0,0,32135,31140
3.980,2.239,93.532,0.249,0,0,0,13006752,13006752,0,0,25682,24695
2.538,1.777,95.685,0,0,0,0,12616032,12616032,0,0,24928,23945
3.474,2.978,93.548,0,0,0,0,12921216,12921216,0,0,25516,24523
4.467,1.737,93.797,0,0,0,0,12451296,12451296,0,0,24630,23649
1.538,1.026,97.436,0,0,0,24576,14225824,14224768,0,0,21217,20223
2.757,1.754,95.489,0,0,0,0,13625480,13625480,0,0,20068,19089
2.296,0.765,96.939,0,0,0,0,14358664,14360096,0,0,21099,20116
3.275,1.259,95.466,0,0,0,0,14904256,14904366,0,0,21851,20902
3.750,1.500,94.750,0,0,0,0,15300282,15300368,0,0,22475,21471
2.030,1.269,96.701,0,0,0,24576,13696914,13695396,0,0,19093,18131
2.963,2.716,94.321,0,0,0,0,13662000,13663518,0,0,19037,18066
2.519,1.511,95.970,0,0,0,0,13703113,13702986,0,0,19097,18130
2.500,1.750,95.500,0.250,0,0,0,13824426,13824426,0,0,19260,18282
3.686,2.703,93.612,0,0,0,77824,13944348,13942977,0,0,19428,18417
