"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/ping-1576678732-macsec-aesgcm-e-1500-dstat.csv",,,,"Date:","18 Dec 2019 17:58:33 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.124,0.018,99.853,0.006,0,4353.519,15451.155,0,0,0,0,1735.761,123.741
1.225,3.431,95.343,0,0,0,0,1122240,1122400,0,0,14415,14115
0.505,1.515,97.980,0,0,0,0,1120640,1120480,0,0,14317,14051
1.253,1.253,97.494,0,0,0,0,1126720,1126720,0,0,14453,14159
1.256,1.256,97.487,0,0,0,4096,1119040,1119200,0,0,14326,14046
0.756,1.259,97.733,0.252,0,0,40960,1124640,1124480,0,0,14415,14117
0.508,1.015,98.477,0,0,0,0,1123729,1123712,0,0,14411,14118
0.500,2.250,97.250,0,0,0,0,1123187,1123040,0,0,14381,14102
1.750,1.500,96.750,0,0,0,0,1907040,1907475,0,0,14357,14027
1.259,1.008,97.733,0,0,0,106496,2015424,2015424,0,0,14351,14066
1.015,0.508,98.477,0,0,0,24576,2010528,2010240,0,0,14305,14037
1.259,1.008,97.733,0,0,0,0,2018592,2018880,0,0,14347,14073
0,1.020,98.980,0,0,0,0,2009952,2009664,0,0,14275,13995
0.756,1.259,97.985,0,0,0,0,2017728,2018016,0,0,14346,14051
0.255,0.765,98.980,0,0,0,0,2019168,2019168,0,0,14352,14065
1.010,1.263,97.727,0,0,0,24576,3306688,3306400,0,0,14337,13976
0.761,0.761,98.477,0,0,0,0,3793856,3794400,0,0,14312,14032
0.510,0.510,98.980,0,0,0,0,3782432,3782432,0,0,14240,13961
0.512,0.256,99.233,0,0,0,0,3797120,3796576,0,0,14332,14006
0.509,0.763,98.473,0.254,0,0,1277952,3791136,3791136,0,0,14474,14067
0,1.020,98.980,0,0,0,32768,3772640,3772640,0,0,14203,13922
0.506,1.266,98.228,0,0,0,0,3776448,3776448,0,0,14254,13923
1.256,1.508,97.236,0,0,0,0,5620479,5621408,0,0,14118,13797
0.254,1.272,98.473,0,0,0,0,7232691,7232544,0,0,14039,13755
0.756,1.511,97.733,0,0,0,24576,7240992,7241139,0,0,14051,13763
0.759,1.266,97.975,0,0,0,65536,7204032,7204142,0,0,13995,13707
1.010,1.263,97.727,0,0,0,0,7205170,7205170,0,0,13979,13697
1.256,1.508,97.236,0,0,0,0,7256832,7255776,0,0,14111,13812
1.015,0.508,98.477,0,0,0,0,7226208,7227264,0,0,14008,13723
0.506,1.519,97.722,0.253,0,0,4096,7749104,7749480,0,0,14042,13670
0.255,1.020,98.724,0,0,0,32768,9531392,9531392,0,0,13640,13374
1.015,0.761,98.223,0,0,0,0,9567274,9565842,0,0,13730,13421
0.761,1.269,97.970,0,0,0,0,9565760,9567192,0,0,13678,13408
0.763,0.763,98.473,0,0,0,0,9581512,9581512,0,0,13710,13433
0.754,2.010,97.236,0,0,0,0,9544280,9542848,0,0,13654,13370
0.257,0.257,98.715,0.771,0,0,14811136,9326616,9328048,0,0,13383,13094
0.761,1.015,98.223,0,0,0,0,9535688,9534256,0,0,13650,13368
1.259,1.511,97.229,0,0,0,0,9778584,9780102,0,0,13569,13204
0.256,0.767,98.977,0,0,0,0,9945936,9944418,0,0,13422,13146
1.015,0.761,98.223,0,0,0,0,9924684,9924684,0,0,13427,13136
1.015,0.761,98.223,0,0,0,24576,9961116,9962634,0,0,13458,13186
1.008,1.511,97.481,0,0,0,0,9964152,9964152,0,0,13469,13170
1.013,1.013,97.975,0,0,0,0,9974778,9974778,0,0,13463,13183
1.015,0.761,98.223,0,0,0,0,9953526,9953526,0,0,13439,13163
