"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/ping-1576678732-macsec-aesgcm-e-frag-1500-dstat.csv",,,,"Date:","18 Dec 2019 18:34:23 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.127,0.020,99.848,0.006,0,4332.044,15547.433,0,0,0,0,1748.917,127.177
0.251,2.261,97.487,0,0,0,73728,1127680,1127680,0,0,14433,14153
0.508,0.761,98.731,0,0,0,0,1127360,1127360,0,0,14430,14147
2.963,1.235,95.802,0,0,0,0,1125600,1125600,0,0,14438,14166
1.493,1.741,96.766,0,0,0,0,1125920,1125870,0,0,14429,14140
0.508,0.761,98.731,0,0,0,0,1122880,1122880,0,0,14369,14079
0.504,1.763,97.733,0,0,0,12288,1125169,1125042,0,0,14400,14129
0.508,1.015,98.477,0,0,0,0,1124960,1125120,0,0,14393,14111
0.752,2.005,97.243,0,0,0,0,1929491,1929331,0,0,14423,14063
0.503,2.010,97.487,0,0,0,0,2009952,2010240,0,0,14297,14001
0.998,1.995,97.007,0,0,0,0,2010528,2010240,0,0,14300,14022
0.254,1.018,98.728,0,0,0,24576,2019456,2019744,0,0,14355,14080
1.489,1.985,96.526,0,0,0,0,2012832,2012832,0,0,14332,14031
0.758,1.263,97.980,0,0,0,0,2016864,2016576,0,0,14331,14042
0.254,0.763,98.982,0,0,0,131072,2017440,2017728,0,0,14381,14058
1.263,1.010,97.727,0,0,0,0,3343648,3343360,0,0,14339,13969
0,1.272,98.728,0,0,0,24576,3787872,3788416,0,0,14270,13995
0.758,1.263,97.980,0,0,0,0,3775904,3775904,0,0,14228,13931
1.010,1.010,97.980,0,0,0,0,3775904,3775360,0,0,14208,13928
0.254,1.015,98.731,0,0,0,0,3792224,3792768,0,0,14273,13992
1,2,97,0,0,0,0,3782976,3783086,0,0,14258,13962
0.509,0.763,98.728,0,0,0,12288,3799840,3799296,0,0,14331,14021
1.010,1.263,97.727,0,0,0,0,5676799,5677728,0,0,14121,13747
0,1.527,98.473,0,0,0,0,7216704,7215648,0,0,14002,13710
0.759,1.266,97.975,0,0,0,16384,7237971,7237971,0,0,14065,13771
1.256,1.508,97.236,0,0,0,0,7209312,7210368,0,0,14011,13713
1.003,1.754,97.243,0,0,0,53248,7230514,7229458,0,0,14053,13783
1.008,1.511,97.481,0,0,0,0,7234656,7235712,0,0,14037,13755
0.253,1.772,97.975,0,0,0,0,7262112,7261056,0,0,14112,13824
1.003,2.005,96.992,0,0,0,0,7798720,7800152,0,0,14017,13659
1.010,1.263,97.475,0.253,0,0,4096,9528528,9528528,0,0,13644,13354
0.254,1.523,98.223,0,0,0,32768,9528528,9527096,0,0,13634,13365
1.263,1.010,97.727,0,0,0,0,9550008,9550008,0,0,13667,13384
0.509,1.018,98.473,0,0,0,0,9557168,9558600,0,0,13673,13385
0.509,1.018,98.473,0,0,0,0,9558600,9558600,0,0,13684,13391
0.510,1.020,98.469,0,0,0,15097856,9515640,9514208,0,0,13729,13371
1.008,1.511,97.481,0,0,0,45056,9574434,9575866,0,0,13720,13444
1.266,1.013,97.722,0,0,0,0,9776484,9776570,0,0,13539,13186
0.508,1.269,98.223,0,0,0,0,9927720,9927720,0,0,13404,13130
0.758,1.263,97.980,0,0,0,0,9914058,9914058,0,0,13399,13120
0.254,1.272,98.473,0,0,0,0,9921648,9920130,0,0,13413,13139
0.763,0.763,98.473,0,0,0,24576,9923166,9923166,0,0,13398,13129
0.506,1.519,97.975,0,0,0,0,9904950,9906468,0,0,13386,13101
0.505,1.768,97.727,0,0,0,0,9889770,9888252,0,0,13352,13068
