"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/ping-1576678732-macsec-aesgcm-e-frag-jumbo-1500-dstat.csv",,,,"Date:","18 Dec 2019 20:39:39 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.249,0.026,99.719,0.006,0,4259.616,15868.764,0,0,0,0,1954.031,141.279
0.759,0.759,98.481,0,0,0,0,1118080,1117920,0,0,14329,14034
0.253,1.515,98.232,0,0,0,0,1117440,1117440,0,0,14288,14007
0.253,1.519,98.228,0,0,0,0,1119520,1119520,0,0,14343,14050
0.252,1.763,97.985,0,0,0,0,1125600,1125760,0,0,14405,14133
0.509,0.763,98.728,0,0,0,45056,1127680,1127790,0,0,14441,14159
0.505,1.263,98.232,0,0,0,0,1117969,1117842,0,0,14306,14018
0.253,1.266,98.481,0,0,0,0,1118880,1119027,0,0,14312,14037
0.758,1.515,97.727,0,0,0,0,1882496,1882336,0,0,14269,13928
0.759,1.013,98.228,0,0,0,126976,1999296,1999584,0,0,14257,13940
0.506,1.266,98.228,0,0,0,24576,2007360,2007360,0,0,14261,13989
0.509,0.763,98.728,0,0,0,0,2019744,2019744,0,0,14379,14103
1.786,0.255,97.959,0,0,0,0,2020608,2020608,0,0,14415,14141
0,1.269,98.731,0,0,0,0,2016576,2016576,0,0,14342,14053
0.759,1.013,98.228,0,0,0,0,1999872,1999584,0,0,14225,13934
0.759,1.266,97.975,0,0,0,24576,3238912,3239456,0,0,14297,13958
0.505,1.515,97.980,0,0,0,0,3768832,3768288,0,0,14188,13907
0.253,1.266,98.228,0.253,0,0,0,3765568,3766112,0,0,14196,13892
0,1.523,98.477,0,0,0,0,3771008,3771008,0,0,14188,13903
0.254,1.018,98.728,0,0,0,0,3770464,3770464,0,0,14197,13921
1.266,0.506,98.228,0,0,0,12288,3767744,3767200,0,0,14218,13926
1.263,0.758,97.980,0,0,0,0,3769376,3769376,0,0,14222,13913
1.259,1.259,97.481,0,0,0,0,5379263,5380192,0,0,14111,13762
0.505,1.515,97.980,0,0,0,0,7207200,7207347,0,0,14000,13704
0.509,1.018,98.473,0,0,0,16384,7280064,7280174,0,0,14150,13855
0.763,0.763,98.473,0,0,0,53248,7264224,7263168,0,0,14115,13812
0.503,2.010,97.487,0,0,0,0,7206144,7207200,0,0,13986,13687
0.509,1.018,98.473,0,0,0,0,7205088,7204032,0,0,13984,13696
0.256,0.513,99.231,0,0,0,0,7191360,7192416,0,0,13954,13677
1.005,1.759,96.985,0.251,0,0,4096,7534920,7535296,0,0,14005,13624
1.504,1.504,96.992,0,0,0,32768,9548576,9547144,0,0,13701,13394
1.015,0.761,98.223,0,0,0,0,9548576,9548576,0,0,13712,13409
1.005,1.759,97.236,0,0,0,0,9529960,9531392,0,0,13638,13362
1.013,1.013,97.975,0,0,0,0,9539984,9539984,0,0,13654,13371
0.505,2.020,97.222,0.253,0,0,14921728,9521368,9519936,0,0,13690,13370
1.005,1.508,97.236,0.251,0,0,32768,9537120,9538552,0,0,13667,13382
0.254,1.272,98.473,0,0,0,0,9561464,9560032,0,0,13704,13399
1.511,1.008,97.481,0,0,0,0,9779356,9780874,0,0,13607,13265
0.509,1.018,98.473,0,0,0,0,9942900,9941382,0,0,13422,13139
0.508,1.269,98.223,0,0,0,0,9953526,9953526,0,0,13437,13178
1.010,1.010,97.980,0,0,0,24576,9964234,9964234,0,0,13472,13194
1.259,1.259,97.481,0,0,0,0,9944418,9945936,0,0,13471,13170
1.010,1.263,97.727,0,0,0,0,9962634,9961116,0,0,13442,13168
1.013,1.013,97.975,0,0,0,0,9962634,9964152,0,0,13458,13190
