"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/ping-1576678732-macsec-aesgcm-e-jumbo-2928-dstat.csv",,,,"Date:","18 Dec 2019 20:03:49 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.226,0.025,99.743,0.006,0,4280.370,15775.069,0,0,0,0,1937.637,137.725
1.990,1.493,96.517,0,0,0,0,1105600,1105440,0,0,14861,13886
2.005,0.752,97.243,0,0,0,40960,1110240,1110400,0,0,14920,13943
0.761,0.761,98.477,0,0,0,0,1109280,1109280,0,0,14906,13921
1.008,1.008,97.985,0,0,0,0,1109440,1109280,0,0,14901,13905
2.244,0.998,96.758,0,0,0,61440,1113280,1113280,0,0,14955,13980
1.995,1.247,96.758,0,0,0,0,1122609,1122752,0,0,15066,14101
2.005,0.752,97.243,0,0,0,0,1113600,1113600,0,0,14958,13979
1.266,0.506,98.228,0,0,0,0,1837331,1837312,0,0,14963,13948
1.763,0.756,97.481,0,0,0,0,1994400,1994400,0,0,14889,13889
1.256,1.256,97.487,0,0,0,24576,1995552,1995552,0,0,14901,13949
2.239,0.995,96.517,0.249,0,0,0,1997856,1997856,0,0,14915,13932
1.511,0.756,97.733,0,0,0,0,1986624,1986624,0,0,14836,13851
1.508,1.005,97.487,0,0,0,0,1994400,1994400,0,0,14887,13902
2.005,0.752,97.243,0,0,0,0,1990656,1990656,0,0,14863,13871
1.259,1.259,97.481,0,0,0,24576,3042784,3042496,0,0,14924,13928
1.508,1.005,97.487,0,0,0,0,3748704,3748704,0,0,14817,13825
2.469,1.728,95.802,0,0,0,0,3747072,3747616,0,0,14818,13833
1.504,1.504,96.992,0,0,0,0,3756864,3756864,0,0,14843,13850
1.256,1.256,97.487,0,0,0,0,3753600,3753600,0,0,14837,13846
1.741,1.741,96.517,0,0,0,12288,3744896,3744352,0,0,14806,13807
1.511,1.008,97.481,0,0,0,0,3738368,3738478,0,0,14779,13811
1.995,1.496,96.509,0,0,0,1368064,4858399,4859328,0,0,14956,13792
2.020,0.505,97.475,0,0,0,0,7145952,7145952,0,0,14570,13594
1.768,0.505,97.727,0,0,0,0,7150323,7150176,0,0,14578,13591
0.759,1.266,97.975,0,0,0,57344,7161792,7160736,0,0,14603,13625
1.759,1.005,97.236,0,0,0,0,7152288,7153344,0,0,14583,13598
1.253,1.754,96.992,0,0,0,4096,7149120,7148064,0,0,14576,13590
1.763,0.756,97.481,0,0,0,0,7167154,7168210,0,0,14610,13609
1.995,1.496,96.509,0,0,0,0,7178688,7177632,0,0,14631,13638
2.020,0.505,97.475,0,0,0,32768,9584616,9584616,0,0,14667,13663
1.263,1.263,97.475,0,0,0,0,9696072,9696072,0,0,14583,13618
2.010,1.256,95.980,0.754,0,0,13737984,9429720,9431152,0,0,14233,13227
1.519,1.013,97.468,0,0,0,0,9597264,9597264,0,0,14441,13467
2.015,0.756,97.229,0,0,0,0,9602992,9601560,0,0,14446,13458
2.494,1.247,96.259,0,0,0,28672,9630200,9631632,0,0,14498,13533
1.754,1.504,96.742,0,0,0,0,9655976,9655976,0,0,14526,13526
1.511,1.259,97.229,0,0,0,0,9885054,9885140,0,0,14527,13521
2,1.500,96.500,0,0,0,0,10208550,10208550,0,0,14483,13500
0.758,1.515,97.727,0,0,0,0,10196406,10194888,0,0,14470,13492
2.475,1.980,95.545,0,0,0,24576,10229884,10231402,0,0,14524,13534
2.250,1.250,96.500,0,0,0,0,10217658,10217658,0,0,14499,13517
2.228,1.980,95.792,0,0,0,8192,10214622,10213104,0,0,14494,13535
2.494,1.247,96.259,0,0,0,0,10219176,10220694,0,0,14501,13527
