"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/ping-1576678732-macsec-aesgcm-we-frag-1500-dstat.csv",,,,"Date:","18 Dec 2019 19:10:10 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.173,0.022,99.799,0.006,0,4311.628,15635.063,0,0,0,0,1818.166,131.429
1.269,0.508,98.223,0,0,0,0,1123520,1123520,0,0,14376,14111
1.005,1.256,97.739,0,0,0,0,1123040,1122880,0,0,14348,14080
0.508,0.761,98.731,0,0,0,0,1113440,1113440,0,0,14236,13961
1.005,1.508,97.487,0,0,0,49152,1112160,1112320,0,0,14229,13947
0.748,1.995,97.007,0.249,0,0,40960,1116000,1116110,0,0,14289,14008
1.010,1.010,97.980,0,0,0,0,1118609,1118482,0,0,14315,14023
0.254,1.015,98.731,0,0,0,0,1121427,1121120,0,0,14346,14069
1.966,2.703,95.332,0,0,0,0,1890048,1890483,0,0,14439,14078
0.506,1.013,98.481,0,0,0,0,2012544,2012544,0,0,14294,14025
0.512,0.256,99.233,0,0,0,24576,2009952,2009952,0,0,14298,14030
1.500,1.250,97.250,0,0,0,0,2009664,2009376,0,0,14334,14018
1.003,1.754,97.243,0,0,0,0,2014560,2014848,0,0,14321,14044
0.506,1.013,98.481,0,0,0,0,2012544,2012256,0,0,14310,14026
0.255,0.765,98.980,0,0,0,1187840,2005632,2005920,0,0,14431,14047
1.003,1.754,96.992,0.251,0,0,57344,3224640,3224896,0,0,14277,13921
0.758,1.010,98.232,0,0,0,0,3792224,3791680,0,0,14287,13994
0.508,1.015,98.477,0,0,0,0,3787328,3787328,0,0,14252,13977
0.505,1.515,97.980,0,0,0,0,3772640,3773184,0,0,14178,13904
0.505,1.515,97.980,0,0,0,0,3784064,3784174,0,0,14249,13965
0.754,1.759,97.487,0,0,0,12288,3760672,3760128,0,0,14142,13882
1.496,1.995,96.509,0,0,0,0,3755232,3755776,0,0,14132,13857
1.496,1.746,96.758,0,0,0,0,5417823,5418208,0,0,14120,13788
1.008,1.511,97.481,0,0,0,0,7209459,7208256,0,0,13992,13714
1.008,1.511,97.481,0,0,0,0,7215648,7216851,0,0,13993,13720
0.761,1.015,98.223,0,0,0,65536,7229376,7229376,0,0,14048,13763
0.506,1.266,98.228,0,0,0,0,7224096,7224096,0,0,14020,13721
0.254,1.523,98.223,0,0,0,0,7260000,7258944,0,0,14087,13798
0.510,0.765,98.724,0,0,0,0,7286400,7286400,0,0,14110,13834
1.018,0.509,98.473,0,0,0,0,7661664,7663096,0,0,14070,13732
0.254,1.018,98.473,0.254,0,0,24576,9577216,9577216,0,0,13709,13444
0.510,0.765,98.724,0,0,0,0,9548576,9548576,0,0,13688,13397
0.256,0.767,98.977,0,0,0,0,9592968,9591536,0,0,13702,13434
0.255,1.020,98.724,0,0,0,0,9588672,9588672,0,0,13711,13437
0.765,0.510,98.724,0,0,0,0,9552872,9554304,0,0,13654,13376
0.510,1.020,98.214,0.255,0,0,14942208,9552872,9552872,0,0,13693,13412
0.254,1.018,98.728,0,0,0,0,9581512,9580080,0,0,13697,13421
1.269,1.015,97.716,0,0,0,0,9790350,9791868,0,0,13560,13231
0.508,1.269,98.223,0,0,0,0,9959680,9959680,0,0,13434,13161
0.253,1.768,97.980,0,0,0,0,9983886,9983886,0,0,13475,13204
0.758,1.515,97.727,0,0,0,90112,9974778,9974778,0,0,13485,13201
1.005,1.759,97.236,0,0,0,0,9930838,9930838,0,0,13426,13139
1.253,1.754,96.992,0,0,0,0,9936828,9935310,0,0,13400,13134
1.259,1.259,97.481,0,0,0,0,9973260,9973260,0,0,13474,13196
