"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/ping-1576678732-macsec-aesgcm-we-frag-jumbo-1500-dstat.csv",,,,"Date:","18 Dec 2019 20:57:31 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.254,0.027,99.713,0.006,0,4249.335,15911.053,0,0,0,0,1960.201,143.179
1.253,1.504,97.243,0,0,0,0,1122720,1122720,0,0,14467,14090
0.758,1.010,98.232,0,0,0,0,1120640,1120640,0,0,14413,14062
0,1.020,98.980,0,0,0,0,1131040,1131040,0,0,14516,14184
0.758,1.010,98.232,0,0,0,0,1128320,1128430,0,0,14452,14148
0.509,0.509,98.728,0.254,0,0,40960,1120320,1120160,0,0,14328,14055
0.756,1.259,97.985,0,0,0,0,1119729,1119762,0,0,14367,14043
0.255,0.765,98.980,0,0,0,0,1122400,1122400,0,0,14366,14075
0.759,1.013,98.228,0,0,0,0,1908288,1908563,0,0,14342,14013
0.254,0.763,98.982,0,0,0,0,2012544,2012544,0,0,14277,14017
0,0.513,99.487,0,0,0,28672,2013120,2013120,0,0,14307,14045
0.509,0.509,98.982,0,0,0,0,2016576,2016576,0,0,14325,14054
0,0.257,99.743,0,0,0,0,2015136,2014848,0,0,14300,14039
0.508,0.761,98.731,0,0,0,0,2006496,2006784,0,0,14243,13970
0.512,0.256,99.233,0,0,0,0,2005056,2004768,0,0,14232,13958
0.750,2,97,0.250,0,0,94208,3271968,3271968,0,0,14270,13918
0.505,1.515,97.980,0,0,0,0,3780256,3780256,0,0,14220,13944
0.254,1.018,98.728,0,0,0,0,3777536,3778080,0,0,14221,13933
1.008,1.259,97.733,0,0,0,0,3782432,3782432,0,0,14245,13963
1.511,0.756,97.733,0,0,0,0,3778080,3778080,0,0,14209,13938
0.756,1.511,97.733,0,0,0,12288,3772640,3772750,0,0,14222,13948
0,0.512,99.488,0,0,0,0,3788960,3788416,0,0,14334,13970
1.259,1.259,97.481,0,0,0,0,5531103,5530976,0,0,14139,13754
0.761,1.269,97.970,0,0,0,0,7158624,7158624,0,0,13877,13605
1.515,0.758,97.727,0,0,0,0,7155456,7155603,0,0,13922,13624
0.254,1.523,98.223,0,0,0,24576,7173408,7173408,0,0,13908,13647
0.508,1.269,98.223,0,0,0,1253376,7175520,7176576,0,0,14129,13725
0.509,1.018,98.473,0,0,0,0,7192416,7192416,0,0,13959,13680
0.758,1.515,97.727,0,0,0,0,7185024,7183968,0,0,13976,13680
0.759,1.519,97.722,0,0,0,0,7506816,7506816,0,0,13930,13575
1.013,1.013,97.975,0,0,0,61440,9482704,9482704,0,0,13591,13309
1.013,1.013,97.722,0.253,0,0,13058048,9544280,9544280,0,0,13699,13416
1.010,1.515,97.475,0,0,0,0,9565760,9567192,0,0,13698,13418
0.754,2.010,97.236,0,0,0,0,9489864,9489864,0,0,13571,13296
0.509,1.018,98.473,0,0,0,0,9537120,9537120,0,0,13645,13361
0.759,1.519,97.722,0,0,0,28672,9537120,9537120,0,0,13657,13389
0.509,1.018,98.473,0,0,0,0,9514208,9514208,0,0,13612,13339
1.008,1.763,97.229,0,0,0,0,9742744,9742830,0,0,13554,13226
0.758,1.263,97.980,0,0,0,0,9967188,9967188,0,0,13463,13181
0.509,1.018,98.473,0,0,0,0,9947454,9945936,0,0,13441,13160
0.759,1.266,97.975,0,0,0,24576,9988440,9988440,0,0,13485,13215
1.010,1.515,97.475,0,0,0,0,9920130,9921648,0,0,13391,13112
1.013,1.013,97.975,0,0,0,0,9927720,9926202,0,0,13392,13122
0.255,1.020,98.724,0,0,0,0,9962634,9962634,0,0,13457,13187
1.259,1.259,97.481,0,0,0,0,9877708,9877708,0,0,13377,13117
