"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/ping-1576678732-no-macsec-2928-2928-dstat.csv",,,,"Date:","18 Dec 2019 15:54:41 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.034,0.011,99.949,0.006,0,4429.417,15107.725,0,0,0,0,1113.572,108.816
1.015,0.254,98.731,0,0,0,86016,903216,903340,0,0,15618,14659
2.469,1.235,96.296,0,0,0,0,901232,901108,0,0,15578,14624
0.761,0.508,98.731,0,0,0,0,902472,902472,0,0,15586,14604
2.250,0.250,97.500,0,0,0,0,902100,902100,0,0,15589,14625
1.256,1.005,97.739,0,0,0,0,903340,903340,0,0,15604,14625
1.504,1.003,97.494,0,0,0,12288,903032,903032,0,0,15611,14647
2.709,1.478,95.813,0,0,0,0,1032472,1032472,0,0,15581,14587
2.206,2.206,95.343,0.245,0,0,0,1828008,1828260,0,0,15550,14626
2.256,0.251,97.494,0,0,0,0,1828008,1827756,0,0,15545,14591
1.511,1.008,97.481,0,0,0,0,1806084,1806336,0,0,15379,14435
1.496,1.746,96.758,0,0,0,24576,1782648,1782648,0,0,15185,14207
3.650,1.703,94.647,0,0,0,0,1828008,1827756,0,0,15546,14604
2.709,1.478,95.813,0,0,0,0,1824732,1824732,0,0,15519,14548
1.005,1.508,97.487,0,0,0,0,2192832,2193340,0,0,15504,14485
1.010,0.758,98.232,0,0,0,0,3670808,3670808,0,0,15486,14498
1.759,0.503,97.739,0,0,0,24576,3676904,3676904,0,0,15518,14569
2.689,2.200,95.110,0,0,0,0,3681476,3681476,0,0,15534,14575
2.244,0.998,96.758,0,0,0,0,3680460,3680460,0,0,15535,14584
4.116,1.695,94.189,0,0,0,0,3666744,3666744,0,0,15484,14541
2.475,1.238,96.040,0.248,0,0,0,3634232,3634232,0,0,15345,14395
2.723,1.238,96.040,0,0,0,20480,4636764,4636256,0,0,15422,14427
1.750,1.250,97,0,0,0,536576,7335840,7335840,0,0,15527,14485
2.239,0.995,96.766,0,0,0,0,7322580,7322580,0,0,15393,14420
1.759,1.005,97.236,0,0,0,0,7284840,7284840,0,0,15321,14344
1.500,1.250,97.250,0,0,0,0,7322580,7322580,0,0,15399,14412
1.266,0.506,98.228,0,0,0,24576,7316460,7317480,0,0,15388,14417
1.750,1.250,97,0,0,0,77824,7310340,7309320,0,0,15386,14393
1.754,1.003,96.992,0.251,0,0,0,8003304,8004700,0,0,15293,14293
1.500,1.500,97,0,0,0,0,9938124,9938124,0,0,15275,14293
1.263,0.758,97.980,0,0,0,0,9946500,9946500,0,0,15290,14323
1.515,0.505,97.980,0,0,0,32768,9952084,9952084,0,0,15298,14318
1.995,1.247,95.511,1.247,0,0,15163392,9668696,9668696,0,0,14905,13917
1.515,0.758,97.727,0,0,0,0,9940916,9940916,0,0,15278,14289
2.941,2.206,94.853,0,0,0,0,9839008,9837612,0,0,15133,14158
2.244,1.496,96.259,0,0,0,0,9906524,9908006,0,0,15130,14127
2.005,0.752,97.243,0,0,0,40960,10581480,10581480,0,0,15331,14365
0.759,1.013,98.228,0,0,0,0,10581544,10580062,0,0,15314,14327
1.259,1.259,97.481,0,0,0,0,10615566,10615566,0,0,15367,14392
1.511,0.756,97.733,0,0,0,0,10574070,10574070,0,0,15305,14325
1.263,0.758,97.980,0,0,0,0,10596364,10597846,0,0,15340,14371
1.496,1.496,96.758,0.249,0,0,12288,10588890,10588890,0,0,15332,14361
