"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final5/ping-1576678732-orig-e-1500-dstat.csv",,,,"Date:","18 Dec 2019 16:12:33 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.036,0.012,99.946,0.006,0,4418.309,15157.880,0,0,0,0,1123.872,111.539
0.756,1.259,97.733,0.252,0,0,98304,1100736,1100736,0,0,14507,14195
1.010,1.010,97.980,0,0,0,0,1108536,1108380,0,0,14552,14262
0.505,1.515,97.980,0,0,0,0,1106976,1107132,0,0,14544,14251
1.259,0.756,97.985,0,0,0,0,1105728,1105728,0,0,14497,14209
0.254,1.018,98.728,0,0,0,0,1108269,1108252,0,0,14577,14258
0.505,1.263,98.232,0,0,0,12288,1108224,1108347,0,0,14580,14280
1.250,1.750,97,0,0,0,0,1107587,1107444,0,0,14640,14279
1.256,1.256,97.487,0,0,0,0,1968548,1968535,0,0,14550,14167
0.254,1.269,98.477,0,0,0,0,2005892,2006176,0,0,14486,14175
0.758,1.263,97.980,0,0,0,0,2006744,2006744,0,0,14499,14178
0.500,2.250,97.250,0,0,0,24576,2006744,2006744,0,0,14514,14205
0,1.020,98.980,0,0,0,0,2006460,2006460,0,0,14467,14161
0.759,1.013,98.228,0,0,0,0,2006460,2006176,0,0,14455,14170
0.758,1.263,97.980,0,0,0,0,2006460,2006460,0,0,14461,14169
0.756,1.511,97.733,0,0,0,0,3569120,3569120,0,0,14450,14097
0.505,1.515,97.980,0,0,0,24576,3791880,3792420,0,0,14393,14099
0.504,1.763,97.733,0,0,0,0,3792420,3791880,0,0,14407,14100
1.008,1.511,97.481,0,0,0,0,3791340,3791880,0,0,14378,14086
0.253,1.519,98.228,0,0,0,0,3791880,3791880,0,0,14382,14097
0.756,1.511,97.733,0,0,0,0,3787560,3787560,0,0,14378,14069
1.496,1.746,96.758,0,0,0,1114112,3788223,3787666,0,0,14603,14180
0.759,1.266,97.975,0,0,0,0,6391928,6392051,0,0,14283,13917
0.758,1.515,97.727,0,0,0,0,7296815,7297724,0,0,14215,13932
0.510,0.765,98.724,0,0,0,0,7298776,7297867,0,0,14193,13917
0.505,1.768,97.727,0,0,0,0,7297724,7298776,0,0,14202,13913
0.754,1.759,97.236,0.251,0,0,24576,7277736,7276684,0,0,14181,13905
0.759,1.266,97.975,0,0,0,151552,7279840,7280892,0,0,14265,13930
1.013,1.013,97.975,0,0,0,0,7286152,7286152,0,0,14188,13889
0.758,1.515,97.727,0,0,0,0,8468340,8468716,0,0,14009,13662
1.741,1.990,96.269,0,0,0,0,9617580,9617580,0,0,13823,13526
1.008,1.763,97.229,0,0,0,40960,9623292,9623292,0,0,13834,13559
1.263,1.010,96.970,0.758,0,0,13672448,9352050,9352050,0,0,13441,13150
1.263,1.010,97.727,0,0,0,0,9658992,9658992,0,0,13860,13575
1.005,1.759,97.236,0,0,0,0,9647568,9646140,0,0,13849,13556
1.015,0.761,98.223,0,0,0,0,9656136,9656136,0,0,13842,13579
0.759,1.519,97.722,0,0,0,36864,9610220,9610220,0,0,13845,13498
0.761,1.015,98.223,0,0,0,0,10013596,10015110,0,0,13585,13295
0.254,1.523,98.223,0,0,0,0,10022680,10021166,0,0,13573,13287
1.005,1.759,97.236,0,0,0,0,9989372,9989372,0,0,13533,13248
0.509,1.018,98.473,0,0,0,0,9969690,9971204,0,0,13496,13208
0.506,1.266,97.975,0.253,0,0,20480,9965148,9963634,0,0,13493,13224
1.005,1.759,97.236,0,0,0,8192,9968176,9969690,0,0,13528,13215
1.013,1.013,97.975,0,0,0,0,9956064,9956064,0,0,13482,13211
