"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/iperf3-1576771569-100-macsec-aegis128l-e-frag-dstat.csv",,,,"Date:","19 Dec 2019 21:16:05 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.809,0.381,95.787,0.022,0,23247.973,34975.171,0,0,0,0,18914.348,893.302
6.983,0.998,92.020,0,0,0,53248,1987319,112891339,0,0,17561,405
7.711,0.249,92.040,0,0,0,0,2120206,120652356,0,0,18646,363
6.983,0.499,92.519,0,0,0,69632,2118410,120653962,0,0,18640,343
7.250,0.250,92.500,0,0,0,0,2121156,120649144,0,0,18653,360
7.232,0.249,92.519,0,0,0,0,2118728,120665204,0,0,18632,343
7.692,0.496,91.811,0,0,0,311296,2122422,120655590,0,0,18713,388
7.232,0.249,92.519,0,0,0,0,2120100,120653962,0,0,18643,337
7.250,0.250,92.500,0,0,0,0,2118198,120641114,0,0,18643,365
7.250,0.250,92.500,0,0,0,32768,2120206,120657174,0,0,18656,363
7,0.250,92.750,0,0,0,0,2118834,120668416,0,0,18644,354
5.051,1.263,93.687,0,0,0,0,1743975,98980398,0,0,15465,633
7.481,0.249,92.269,0,0,0,0,2120206,120652356,0,0,18659,367
6.965,0.746,92.289,0,0,0,0,2118345,120641261,0,0,18650,368
7.250,0.250,92.500,0,0,0,0,2120100,120657086,0,0,18652,347
6.983,0.499,92.519,0,0,0,49152,2118834,120670022,0,0,18633,350
6.801,0.504,92.695,0,0,0,28672,2120206,120658780,0,0,18706,647
7.921,0.495,91.584,0,0,0,0,2118198,120637902,0,0,18652,379
7.232,0.249,92.519,0,0,0,0,2120524,120671628,0,0,18647,360
6.750,0.500,92.750,0,0,0,0,2120206,120653962,0,0,18649,333
7.250,0.250,92.500,0,0,0,0,2118516,120655568,0,0,18653,365
6.281,0.503,93.216,0,0,0,0,1737933,98964340,0,0,15470,638
6.767,0.501,92.732,0,0,0,4210688,2118516,120655568,0,0,18658,358
7.250,0,92.750,0,0,0,0,2119888,120653962,0,0,18646,349
7,0.500,92.500,0,0,0,0,2120100,120655568,0,0,18649,349
6.965,0.746,92.289,0,0,0,0,2117880,120612206,0,0,18623,338
6.784,0.251,92.965,0,0,0,0,2119994,120655568,0,0,18651,348
7.232,0.249,92.269,0.249,0,0,24576,2118622,120657086,0,0,18687,448
6.983,0.499,92.519,0,0,0,0,2119982,120650838,0,0,18651,355
7.692,0.496,91.811,0,0,0,0,2118622,120660386,0,0,18638,357
6.750,0.500,92.750,0,0,0,0,2121392,120655480,0,0,18653,344
5.051,1.263,93.687,0,0,0,0,1742487,98901793,0,0,15417,622
6.549,0.252,93.199,0,0,0,28672,2118410,120647538,0,0,18657,362
7.250,0.250,92.500,0,0,0,57344,2119782,120657174,0,0,18662,371
7.940,0.248,91.811,0,0,0,0,2118516,120655568,0,0,18635,357
7.232,0.249,92.519,0,0,0,0,2120524,120670022,0,0,18642,339
6.750,0.750,92.500,0,0,0,0,2115224,120600964,0,0,18656,344
7.232,0.249,92.519,0,0,0,94208,2118304,120641114,0,0,18667,358
