"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/iperf3-1576771569-100-macsec-aesgcm-e-dstat.csv",,,,"Date:","19 Dec 2019 19:46:38 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.012,0.365,96.601,0.023,0,31932.558,35341.715,0,0,0,0,21641.553,885.398
1.295,1.036,97.668,0,0,0,0,439899,114118055,0,0,4126,329
0,0.262,99.738,0,0,0,0,480604,122461614,0,0,4052,212
0.525,0,99.475,0,0,0,61440,481134,122454024,0,0,4065,227
0.262,0.262,99.476,0,0,0,0,480498,122458578,0,0,4175,251
0.262,0.262,99.215,0.262,0,0,0,485562,122450988,0,0,4050,213
0.262,0.262,99.476,0,0,0,0,484526,122452506,0,0,4062,205
0.522,0.261,99.217,0,0,0,0,485374,122441990,0,0,4077,265
0.524,0.262,99.215,0,0,0,0,484632,122467686,0,0,4068,226
0,0.262,99.738,0,0,0,16384,484526,122454024,0,0,4058,216
0.263,0,99.737,0,0,0,0,484526,122441880,0,0,4063,209
0.777,1.295,97.927,0,0,0,0,392606,100750760,0,0,3738,649
0.781,0.260,98.958,0,0,0,0,489867,122458578,0,0,4074,244
0.263,0,99.737,0,0,0,0,489084,122452506,0,0,4069,217
0.261,0.522,99.217,0,0,0,0,487918,122455542,0,0,4057,214
0,0.524,99.215,0.262,0,0,45056,484278,122452506,0,0,4076,223
0.524,0,99.476,0,0,0,274432,488024,122455542,0,0,4150,253
0,0.262,99.738,0,0,0,0,488448,122450988,0,0,4063,212
0,0.263,99.737,0,0,0,0,486010,122454024,0,0,4047,203
0.262,0,99.738,0,0,0,0,487600,122455542,0,0,4061,205
0.261,0.522,99.217,0,0,0,0,487706,122452506,0,0,4070,232
0.518,1.554,97.668,0.259,0,0,4427776,393942,100750760,0,0,3750,651
0,0.262,99.738,0,0,0,0,488024,122438844,0,0,4057,208
0.783,0.261,98.956,0,0,0,0,487176,122452506,0,0,4060,228
0.262,0.262,99.476,0,0,0,0,486434,122455542,0,0,4068,223
0.262,0.262,99.476,0,0,0,0,486622,122464650,0,0,4051,209
0.262,0.262,99.475,0,0,0,61440,484420,122454024,0,0,4072,224
0,0.262,99.738,0,0,0,0,486222,122454024,0,0,4064,220
0,0.262,99.738,0,0,0,0,486858,122452506,0,0,4089,223
0.262,0.262,99.475,0,0,0,0,486222,122452506,0,0,4057,207
0,0,100,0,0,0,0,485798,122455542,0,0,4051,208
0.775,1.550,97.416,0.258,0,0,40960,395056,100788712,0,0,3692,648
0.261,0.522,99.217,0,0,0,0,488024,122450988,0,0,4087,229
0.262,0.524,99.215,0,0,0,0,488660,122466168,0,0,4062,215
0,0,100,0,0,0,0,488236,122440362,0,0,4049,206
0.262,0.262,99.476,0,0,0,0,486940,122460096,0,0,4046,207
0.262,0.262,99.475,0,0,0,36864,488554,122450988,0,0,4087,227
0,0.262,99.738,0,0,0,45056,486858,122463132,0,0,4081,239
0,0.263,99.737,0,0,0,0,488660,122452506,0,0,4055,206
0,0.262,99.738,0,0,0,0,487388,122455542,0,0,4062,208
0.262,0.262,99.476,0,0,0,0,487600,122454024,0,0,4065,224
0.519,1.558,97.922,0,0,0,0,397730,100655127,0,0,3457,628
0.531,0.265,99.204,0,0,0,0,471118,122454130,0,0,4067,225
0.267,0.267,99.467,0,0,0,45056,477530,122457060,0,0,4065,228
0.266,0.266,99.468,0,0,0,0,477530,122452506,0,0,4059,224
0,0.267,99.733,0,0,0,0,478590,122437326,0,0,4050,205
0.532,0,99.468,0,0,0,0,473584,122475276,0,0,4048,213
1.053,0.263,98.684,0,0,0,0,479650,122447952,0,0,4062,242
0,0.267,99.733,0,0,0,0,478166,122450988,0,0,4074,226
0.794,0.265,98.677,0.265,0,0,12288,479756,122455542,0,0,4075,230
0,0.267,99.733,0,0,0,0,474032,122455542,0,0,4051,214
0.265,0,99.735,0,0,0,196608,428964,109044330,0,0,3701,545
1.036,1.295,97.668,0,0,0,0,445603,114045191,0,0,3916,339
0.785,0,99.215,0,0,0,0,482936,122444916,0,0,4066,230
0.262,0.262,99.476,0,0,0,0,482724,122450988,0,0,4048,216
0,0.262,99.738,0,0,0,45056,481770,122464650,0,0,4066,222
0.262,0.262,99.476,0,0,0,0,474738,122452506,0,0,4065,234
0,0,100,0,0,0,0,476470,122452506,0,0,4077,227
0.781,0.260,98.958,0,0,0,0,475940,122454024,0,0,4066,224
0,0.524,99.476,0,0,0,0,475516,122454024,0,0,4078,229
0.522,0.261,99.217,0,0,0,0,477424,122455542,0,0,4067,227
0.262,0.262,99.475,0,0,0,12288,474880,122441880,0,0,4073,235
0.259,1.813,97.927,0,0,0,49152,398052,100791853,0,0,3739,657
0.262,0,99.738,0,0,0,0,486010,122452506,0,0,4054,217
0,0.524,99.476,0,0,0,0,480392,122441880,0,0,4079,235
0.262,0.262,99.475,0,0,0,0,475834,122463132,0,0,4053,208
0.261,0.522,99.217,0,0,0,0,472194,122457060,0,0,4049,218
0.522,0.261,99.217,0,0,0,114688,476894,122454024,0,0,4135,295
2.618,0,97.120,0.262,0,0,0,480074,122443508,0,0,4151,329
0.267,0,99.733,0,0,0,0,481664,122438844,0,0,4078,241
0.266,0.266,99.468,0,0,0,0,476364,122455542,0,0,4057,217
0.266,0.266,99.468,0,0,0,0,480180,122455542,0,0,4079,217
1.039,1.299,97.662,0,0,0,0,399190,100667378,0,0,3505,657
0.262,0,99.738,0,0,0,45056,480392,122441880,0,0,4076,234
0.524,0.262,99.215,0,0,0,0,481134,122466168,0,0,4078,233
0,0.262,99.738,0,0,0,0,478929,122450988,0,0,4050,211
0.262,0.262,99.476,0,0,0,0,476169,122454024,0,0,4080,235
0.779,0.519,98.701,0,0,0,0,480816,122455542,0,0,4072,228
0.785,0,99.215,0,0,0,0,479756,122454024,0,0,4066,221
0.522,0.261,99.217,0,0,0,12288,480710,122443398,0,0,4063,229
0,0.262,99.738,0,0,0,0,477530,122463132,0,0,4067,216
0,0.262,99.738,0,0,0,0,478484,122454024,0,0,4052,203
0.261,1.828,97.911,0,0,0,217088,387120,100620315,0,0,3510,646
0.265,0.531,99.204,0,0,0,0,473714,122467686,0,0,4082,220
0.265,0.531,99.204,0,0,0,0,477212,122455542,0,0,4067,235
0,0,100,0,0,0,45056,478060,122452506,0,0,4060,225
0.266,0.266,99.468,0,0,0,0,477156,122450988,0,0,4054,214
1.055,0.264,98.681,0,0,0,0,474476,122455542,0,0,4069,238
0.265,0.531,99.204,0,0,0,0,479226,122447952,0,0,4064,229
0.267,0,99.733,0,0,0,0,477000,122449470,0,0,4050,216
0.529,0.529,98.942,0,0,0,0,479438,122463132,0,0,4055,220
0.267,0,99.733,0,0,0,12288,479014,122440362,0,0,4058,221
0.525,1.312,98.163,0,0,0,0,394360,100752280,0,0,3728,636
0,0.524,99.476,0,0,0,0,483582,122454024,0,0,4073,210
0,0.525,99.475,0,0,0,0,486116,122454024,0,0,4064,215
0.262,0,99.738,0,0,0,0,486010,122452506,0,0,4043,210
0.262,0.262,99.476,0,0,0,0,485692,122450988,0,0,4064,235
0.261,0.522,99.217,0,0,0,45056,483654,122452506,0,0,4077,234
0.262,0.262,99.475,0,0,0,8192,485904,122458578,0,0,4099,219
0.522,0.261,99.217,0,0,0,0,480816,122440362,0,0,4056,213
2.314,0,97.686,0,0,0,0,477530,122467686,0,0,4177,270
1.809,0,98.191,0,0,0,0,484950,122454024,0,0,4151,238
2.545,0.509,96.692,0.254,0,0,0,434207,109076209,0,0,3753,585
1.039,1.299,97.662,0,0,0,90112,441279,113932753,0,0,3911,334
0.522,0.261,99.217,0,0,0,0,479014,122449470,0,0,4075,234
0,0.262,99.738,0,0,0,0,479120,122454024,0,0,4044,203
0.262,0.262,99.476,0,0,0,0,479014,122454024,0,0,4056,214
0,0.263,99.737,0,0,0,0,475586,122455542,0,0,4056,212
0.524,0,99.476,0,0,0,49152,478908,122438844,0,0,4094,251
0.262,0.262,99.476,0,0,0,0,480286,122455542,0,0,4054,210
0,0.263,99.737,0,0,0,0,479438,122466168,0,0,4049,210
0.262,0.262,99.476,0,0,0,0,480074,122454024,0,0,4044,209
0.781,0.260,98.958,0,0,0,0,480074,122454024,0,0,4072,235
0.777,1.554,97.668,0,0,0,196608,395276,100778085,0,0,3780,647
0,0.524,99.476,0,0,0,45056,477636,122452506,0,0,4074,225
0,0.262,99.738,0,0,0,0,476152,122452506,0,0,4052,209
0,0,100,0,0,0,0,479120,122452506,0,0,4059,227
0,0.262,99.738,0,0,0,0,469650,122457060,0,0,4053,217
0.522,0.261,99.217,0,0,0,0,481452,122440362,0,0,4070,220
0,0.262,99.738,0,0,0,0,481028,122452506,0,0,4071,221
0,0.262,99.475,0.262,0,0,12288,480604,122467686,0,0,4078,238
0,0.262,99.738,0,0,0,0,478908,122454024,0,0,4046,201
0.783,0.261,98.956,0,0,0,0,480286,122443398,0,0,4061,228
0.262,1.571,98.168,0,0,0,0,386972,100542795,0,0,3467,625
0.529,0.529,98.942,0,0,0,0,484420,122452506,0,0,4071,225
0.267,0,99.733,0,0,0,0,487812,122450988,0,0,4054,212
0.267,0,99.733,0,0,0,45056,474668,122460096,0,0,4060,226
0.531,0.265,99.204,0,0,0,0,473042,122460096,0,0,4064,229
