"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/iperf3-1576771569-100-macsec-aesgcm-e-frag-jumbo-dstat.csv",,,,"Date:","19 Dec 2019 22:27:39 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.239,0.382,95.356,0.022,0,19087.925,34773.042,0,0,0,0,17614.449,895.485
1.305,1.567,97.128,0,0,0,0,420669,114684601,0,0,4122,356
0,0,100,0,0,0,0,449334,122688892,0,0,4062,229
0,0.266,99.734,0,0,0,0,445518,122691926,0,0,4062,221
1.316,0.263,98.421,0,0,0,471040,448768,122691928,0,0,4185,293
0.265,0.531,99.204,0,0,0,0,447850,122690408,0,0,4067,222
0.794,0.529,98.677,0,0,0,0,447956,122691926,0,0,4126,331
1.061,0.265,98.674,0,0,0,0,445494,122690410,0,0,4098,260
0.265,0.531,99.204,0,0,0,0,445624,122693442,0,0,4097,258
0.528,0.528,98.945,0,0,0,16384,445624,122688892,0,0,4076,244
0.262,0.262,99.476,0,0,0,0,451666,122690410,0,0,4080,218
3.562,1.018,95.420,0,0,0,0,373561,101250551,0,0,3628,691
2.842,0.258,96.899,0,0,0,0,451389,122688892,0,0,4167,293
2.842,0.258,96.899,0,0,0,0,450394,122690408,0,0,4158,265
3.846,0,96.154,0,0,0,0,449086,122690520,0,0,4186,293
2.835,0.515,96.649,0,0,0,45056,450076,122691926,0,0,4194,296
3.093,0.258,96.649,0,0,0,0,451136,122688892,0,0,4162,286
2.338,0.260,97.403,0,0,0,0,449204,122693444,0,0,4173,254
2.835,0.258,96.907,0,0,0,0,452302,122690410,0,0,4178,268
3.342,0.257,96.401,0,0,0,5025792,453680,122691926,0,0,4170,289
2.338,0.260,97.403,0,0,0,0,453232,122690408,0,0,4165,279
2.326,1.292,96.382,0,0,0,20480,373417,100819438,0,0,3576,675
0.265,0.265,99.469,0,0,0,0,450076,122690408,0,0,4064,227
0,0.267,99.733,0,0,0,0,449758,122690410,0,0,4056,223
0.263,0.263,99.474,0,0,0,0,448992,122690408,0,0,4069,228
0.262,0.262,99.476,0,0,0,0,451030,122690410,0,0,4067,230
0,0.262,99.738,0,0,0,0,449546,122691926,0,0,4049,215
2.046,0.512,97.442,0,0,0,45056,448462,122690408,0,0,4180,268
2.799,0.254,96.692,0.254,0,0,0,448168,122688892,0,0,4235,289
2.799,0.509,96.692,0,0,0,0,450394,122691926,0,0,4163,262
2.551,0.510,96.939,0,0,0,0,450288,122688892,0,0,4155,262
3.544,1.013,95.443,0,0,0,0,375478,101345999,0,0,3779,701
0.787,0.787,98.425,0,0,0,0,448380,122693442,0,0,4075,237
0.266,0.266,99.468,0,0,0,45056,447638,122693444,0,0,4064,229
0,0.263,99.737,0,0,0,0,449098,122685858,0,0,4048,219
0,0.262,99.738,0,0,0,28672,447638,122691926,0,0,4072,225
0,0,100,0,0,0,0,449334,122688892,0,0,4051,217
0.262,0,99.738,0,0,0,0,448168,122691926,0,0,4044,216
0.262,0.262,99.476,0,0,0,0,447614,122690408,0,0,4051,216
0.261,0.522,99.217,0,0,0,20480,448380,122691926,0,0,4069,236
0.524,0,99.476,0,0,0,53248,449758,122690410,0,0,4087,232
1.538,1.795,96.667,0,0,0,278528,374872,101289780,0,0,3729,709
0.267,0,99.733,0,0,0,0,449814,122692032,0,0,4060,220
0.528,0.528,98.945,0,0,0,0,452302,122691926,0,0,4072,237
0.267,0,99.733,0,0,0,0,451454,122688892,0,0,4062,225
1.053,0.526,98.421,0,0,0,0,451524,122693444,0,0,4077,242
0,0.531,99.469,0,0,0,0,452726,122684342,0,0,4051,207
0.265,0.529,98.942,0.265,0,0,20480,451878,122699510,0,0,4070,239
0,0.528,99.472,0,0,0,0,450994,122685858,0,0,4069,222
0.262,0.262,99.476,0,0,0,0,453998,122690410,0,0,4059,228
0,0.262,99.738,0,0,0,0,453256,122690408,0,0,4056,223
0.260,0.521,99.219,0,0,0,40960,389310,104808904,0,0,3584,551
0.777,1.295,97.927,0,0,0,0,441604,119136504,0,0,4216,322
0.262,0,99.738,0,0,0,0,454422,122690408,0,0,4069,218
0,0.262,99.738,0,0,0,0,454422,122691926,0,0,4059,216
0.521,0.521,98.958,0,0,0,8192,452596,122690410,0,0,4085,239
0,0.262,99.738,0,0,0,0,454846,122690410,0,0,4060,215
0,0.262,99.738,0,0,0,57344,455164,122690408,0,0,4068,233
0.521,0.521,98.958,0,0,0,0,453232,122691926,0,0,4084,240
0.262,0.262,99.476,0,0,0,0,454528,122690410,0,0,4071,235
0.261,0.522,99.217,0,0,0,0,453998,122690408,0,0,4083,248
0.781,0.260,98.958,0,0,0,0,451312,122690410,0,0,4067,225
3.544,1.519,94.937,0,0,0,0,374464,100924186,0,0,3730,689
3.333,0.256,96.154,0.256,0,0,45056,452090,122691926,0,0,4184,297
2.338,0.260,97.403,0,0,0,0,452090,122691926,0,0,4157,268
3.351,0,96.649,0,0,0,0,452596,122690408,0,0,4210,297
2.842,0.258,96.899,0,0,0,0,452938,122690410,0,0,4162,271
2.842,0.258,96.899,0,0,0,0,451984,122691926,0,0,4172,280
3.101,0,96.899,0,0,0,0,451112,122690408,0,0,4189,289
3.836,0.256,95.908,0,0,0,12288,452196,122691926,0,0,4206,305
2.850,0,97.150,0,0,0,0,447426,122690410,0,0,4147,265
2.591,0.259,97.150,0,0,0,8192,447426,122690408,0,0,4170,273
3.797,1.266,94.937,0,0,0,0,369230,100681495,0,0,3636,709
2.094,0,97.906,0,0,0,0,449546,122688892,0,0,4166,261
3.581,0.256,96.164,0,0,0,0,450182,122693444,0,0,4161,292
3.351,0,96.649,0,0,0,53248,447093,122688892,0,0,4208,317
3.342,0.257,96.401,0,0,0,86016,450011,122693444,0,0,4209,294
3.085,0.514,96.401,0,0,0,0,449546,122690408,0,0,4167,273
2.344,0,97.656,0,0,0,0,447320,122690410,0,0,4155,258
3.827,0.255,95.663,0.255,0,0,0,445588,122693442,0,0,4206,296
2.332,0.518,97.150,0,0,0,0,447320,122687376,0,0,4173,272
3.590,0.256,96.154,0,0,0,20480,446896,122690408,0,0,4175,301
3.077,1.282,95.641,0,0,0,0,373444,100700290,0,0,3626,678
2.597,0,97.403,0,0,0,0,451772,122690410,0,0,4135,272
0.266,0.266,99.468,0,0,0,0,451242,122690408,0,0,4057,230
0.531,0.265,99.204,0,0,0,0,450370,122691928,0,0,4067,236
0.529,0.265,99.206,0,0,0,221184,450712,122691926,0,0,4121,242
1.571,0.524,97.906,0,0,0,49152,450500,122688892,0,0,4088,258
0,0.267,99.733,0,0,0,0,451348,122688892,0,0,4062,225
0.529,0.265,99.206,0,0,0,0,449298,122691926,0,0,4053,229
0.529,0.529,98.942,0,0,0,0,450924,122693442,0,0,4057,223
0.789,0.526,98.421,0.263,0,0,0,450712,122690410,0,0,4073,239
2.073,1.036,96.891,0,0,0,0,373094,101267024,0,0,3666,671
2.338,0.260,97.403,0,0,0,45056,446990,122690410,0,0,4194,278
2.591,0.259,97.150,0,0,0,0,450500,122690410,0,0,4151,265
3.101,0,96.899,0,0,0,0,450818,122690408,0,0,4166,285
4.569,0.254,95.178,0,0,0,4096,449416,122688892,0,0,4233,312
0.794,0,99.206,0,0,0,0,450076,122691926,0,0,4064,227
0.266,0.266,99.468,0,0,0,20480,448168,122691926,0,0,4056,229
0.266,0.266,99.468,0,0,0,0,448568,122690410,0,0,4067,225
0.265,0.265,99.469,0,0,0,0,449970,122691926,0,0,4059,225
0,0.265,99.735,0,0,0,0,450712,122687374,0,0,4050,214
0.260,1.042,98.698,0,0,0,0,376778,102330125,0,0,3468,508
1.042,0.260,98.698,0,0,0,0,445080,121518012,0,0,4103,320
1.804,0.258,97.938,0,0,0,45056,446896,122694960,0,0,4170,275
0.262,0.262,99.476,0,0,0,0,447532,122687374,0,0,4076,229
0.262,0.262,99.476,0,0,0,4096,445694,122687376,0,0,4070,221
1.039,0.260,98.701,0,0,0,0,448062,122691926,0,0,4095,234
0.261,0.261,99.478,0,0,0,0,448486,122691926,0,0,4056,228
0.783,0,99.217,0,0,0,0,450370,122678272,0,0,4059,222
0.779,0.519,98.701,0,0,0,0,452620,122705580,0,0,4052,217
