"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/iperf3-1576771569-100-macsec-aesgcm-we-dstat.csv",,,,"Date:","19 Dec 2019 20:04:31 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.879,0.366,96.732,0.023,0,29708.219,35297.855,0,0,0,0,20442.540,881.262
3.351,1.031,95.619,0,0,0,0,449303,114130093,0,0,4096,362
3.117,0.260,96.623,0,0,0,61440,496504,122455542,0,0,4163,297
2.350,0.261,97.389,0,0,0,0,497034,122454024,0,0,4146,260
4.124,0,95.876,0,0,0,0,494172,122454024,0,0,4147,292
3.368,0,96.632,0,0,0,0,494678,122452506,0,0,4157,275
2.857,0.260,96.883,0,0,0,0,496822,122455542,0,0,4229,283
2.857,0.519,96.623,0,0,0,0,496504,122452506,0,0,4168,265
2.865,0,96.875,0.260,0,0,12288,498094,122452506,0,0,4189,294
1.583,0.264,98.153,0,0,0,0,491204,122452616,0,0,4114,270
0,0,100,0,0,0,0,483678,122452506,0,0,4057,218
1.305,1.567,97.128,0,0,0,0,389301,100271073,0,0,3502,606
0.800,0,99.200,0,0,0,0,481175,122455689,0,0,4078,250
0,0.535,99.465,0,0,0,0,488342,122454024,0,0,4065,221
0.267,0.267,99.467,0,0,0,45056,488236,122452506,0,0,4076,234
0,0.265,99.735,0,0,0,0,484290,122452506,0,0,4056,208
0,0.264,99.736,0,0,0,0,490144,122454024,0,0,4063,213
0,0.264,99.736,0,0,0,393216,498200,122416074,0,0,4136,238
0.263,0.263,99.474,0,0,0,0,499790,122493492,0,0,4057,220
0.263,0.263,99.474,0,0,0,0,498836,122416074,0,0,4045,208
0.263,0.526,99.211,0,0,0,32768,497140,122491974,0,0,4071,227
0.524,1.309,98.168,0,0,0,0,400437,100819072,0,0,3687,598
0.263,0.263,99.474,0,0,0,3842048,488660,122454024,0,0,4073,225
0,0.526,99.474,0,0,0,0,488872,122454024,0,0,4067,218
0,0.265,99.735,0,0,0,0,489614,122454024,0,0,4069,217
0,0.264,99.736,0,0,0,0,483230,122452506,0,0,4049,208
0.262,0.262,99.213,0.262,0,0,53248,488342,122454024,0,0,4079,232
0,0.265,99.735,0,0,0,0,489932,122454024,0,0,4047,210
0,0.264,99.736,0,0,0,0,489296,122455542,0,0,4048,211
0,0.264,99.736,0,0,0,0,490250,122454024,0,0,4045,205
0.785,0.262,98.953,0,0,0,0,489614,122454024,0,0,4068,233
1.809,1.550,96.641,0,0,0,0,403116,100769084,0,0,3589,601
0,0.268,99.732,0,0,0,73728,496716,122460096,0,0,4085,233
0,0.529,99.471,0,0,0,0,495868,122450988,0,0,4069,224
0,0.526,99.474,0,0,0,0,495126,122455542,0,0,4062,215
0,0,100,0,0,0,0,494808,122452506,0,0,4051,210
0.263,0.263,99.474,0,0,0,0,491816,122454024,0,0,4052,220
0,0.264,99.736,0,0,0,0,494490,122454024,0,0,4051,207
0,0.526,99.474,0,0,0,20480,495126,122452506,0,0,4070,229
0,0,100,0,0,0,0,493748,122417592,0,0,4044,203
0.263,0.263,99.474,0,0,0,0,496928,122493492,0,0,4062,219
0.781,1.302,97.917,0,0,0,0,405432,100764423,0,0,3536,580
0,0,100,0,0,0,0,478314,122457060,0,0,4055,228
0.263,0.263,99.211,0.263,0,0,270336,482830,122454024,0,0,4114,283
0.264,0.264,99.472,0,0,0,0,483996,122454024,0,0,4070,240
0,0.526,99.474,0,0,0,0,480674,122454024,0,0,4051,207
0,0,100,0,0,0,0,483360,122452506,0,0,4064,224
0,0.264,99.736,0,0,0,0,484314,122416074,0,0,4046,204
0,0.526,99.474,0,0,0,0,484420,122454024,0,0,4056,216
0,0.265,99.735,0,0,0,12288,485162,122493492,0,0,4066,215
0,0.264,99.736,0,0,0,0,482618,122454024,0,0,4062,220
0.262,0.525,99.213,0,0,0,40960,434439,109249262,0,0,3670,513
1.319,1.055,97.625,0,0,0,0,453565,113991955,0,0,3953,322
0.798,0.266,98.936,0,0,0,188416,497140,122447952,0,0,4111,259
0.268,0,99.732,0,0,0,0,494808,122454024,0,0,4064,232
0.267,0.267,99.465,0,0,0,0,496610,122458578,0,0,4053,211
0,0.536,99.464,0,0,0,0,490650,122450988,0,0,4075,221
0.267,0.267,99.200,0.267,0,0,45056,498200,122455542,0,0,4098,229
0.268,0,99.732,0,0,0,0,496716,122454024,0,0,4081,237
0,0.535,99.465,0,0,0,0,497564,122452506,0,0,4047,198
0.787,0.262,98.950,0,0,0,0,494172,122454024,0,0,4063,233
0,0.264,99.736,0,0,0,0,491734,122452506,0,0,4047,207
2.057,1.542,96.401,0,0,0,0,401309,100797817,0,0,3739,645
1.558,0.260,98.182,0,0,0,49152,494066,122454024,0,0,4096,261
0,0.265,99.735,0,0,0,0,495232,122454024,0,0,4072,230
0.264,0,99.736,0,0,0,0,492900,122454024,0,0,4046,208
0.263,0.263,99.474,0,0,0,0,488342,122454024,0,0,4082,244
0,0.526,99.474,0,0,0,0,489908,122454024,0,0,4061,210
0,0.264,99.472,0.264,0,0,12288,496504,122454024,0,0,4072,242
1.044,0.261,98.695,0,0,0,0,495974,122454024,0,0,4058,223
0,0.265,99.735,0,0,0,0,496928,122454134,0,0,4075,234
0,0.264,99.736,0,0,0,0,497140,122454024,0,0,4046,203
0.522,1.305,98.172,0,0,0,0,399170,100638430,0,0,3495,603
0.264,0,99.736,0,0,0,36864,486222,122454024,0,0,4058,228
0,0,100,0,0,0,49152,483890,122452506,0,0,4081,252
0.263,0.263,99.474,0,0,0,0,483275,122454024,0,0,4056,219
1.044,0.261,98.695,0,0,0,0,472659,122455689,0,0,4087,245
0,0.526,99.474,0,0,0,0,497140,122452506,0,0,4047,204
0,0,100,0,0,0,0,496080,122454024,0,0,4055,223
0,0,100,0,0,0,0,497034,122455542,0,0,4046,198
0.262,0.262,99.213,0.262,0,0,12288,495762,122454024,0,0,4071,235
0,0.265,99.735,0,0,0,0,496610,122452506,0,0,4043,205
0.779,1.558,97.662,0,0,0,0,402543,100834251,0,0,3690,601
0,0.264,99.736,0,0,0,0,479968,122452506,0,0,4051,220
0,0.265,99.735,0,0,0,0,477742,122414556,0,0,4060,217
0,0.526,99.474,0,0,0,0,478590,122455542,0,0,4048,209
0,0.265,99.735,0,0,0,45056,480604,122455542,0,0,4067,225
0.263,0.263,99.474,0,0,0,0,476010,122452506,0,0,4048,211
0,0,100,0,0,0,0,473608,122490456,0,0,4055,210
0,0.526,99.474,0,0,0,36864,481664,122455542,0,0,4064,209
0.263,0.263,99.474,0,0,0,0,480286,122454024,0,0,4054,219
0,0.265,99.735,0,0,0,0,479968,122454024,0,0,4046,207
1.036,1.554,97.150,0.259,0,0,12288,398402,100755314,0,0,3636,623
3.351,0.515,96.134,0,0,0,0,478840,122458578,0,0,4212,288
2.618,0,97.382,0,0,0,233472,483148,122454024,0,0,4208,286
2.356,0.262,97.382,0,0,0,0,484102,122454024,0,0,4139,255
2.857,0.260,96.883,0,0,0,0,484314,122454024,0,0,4157,266
3.109,0.259,96.632,0,0,0,0,482382,122455542,0,0,4200,266
3.876,0,96.124,0,0,0,69632,482830,122454024,0,0,4218,301
2.857,0.260,96.883,0,0,0,0,483572,122449470,0,0,4141,262
2.356,0.262,97.382,0,0,0,0,484420,122457060,0,0,4159,255
2.857,0.260,96.623,0.260,0,0,0,484102,122450988,0,0,4140,257
2.597,0,97.403,0,0,0,0,433676,109200685,0,0,3751,544
1.058,1.323,97.619,0,0,0,0,451643,113812831,0,0,3895,336
0,0.535,99.465,0,0,0,45056,492370,122454024,0,0,4085,240
0.533,0.267,99.200,0,0,0,0,494384,122454024,0,0,4064,223
0.267,0.267,99.465,0,0,0,0,492794,122454024,0,0,4063,222
0.267,0.267,99.465,0,0,0,0,490650,122455542,0,0,4052,209
0.526,0.263,99.211,0,0,0,0,491204,122450988,0,0,4069,228
0.263,0.263,99.474,0,0,0,0,492052,122452506,0,0,4048,214
0,0.264,99.472,0.264,0,0,12288,491204,122455542,0,0,4063,225
0.263,0.263,99.474,0,0,0,0,491840,122454024,0,0,4047,213
0,0,100,0,0,0,0,491522,122452506,0,0,4056,217
