"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/iperf3-1576771569-100-macsec-chachapoly-e-frag-dstat.csv",,,,"Date:","19 Dec 2019 20:40:20 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.040,0.372,96.565,0.022,0,26084.888,35059.051,0,0,0,0,19309.054,881.320
12.782,0.501,86.717,0,0,0,0,1980089,112443319,0,0,12894,507
12.312,0.251,87.437,0,0,0,0,2119652,120637902,0,0,13703,458
12.935,0.498,86.567,0,0,0,0,2118728,120673234,0,0,13647,464
12.750,0.250,87,0,0,0,0,2120312,120655568,0,0,13703,458
12.312,0.251,87.437,0,0,0,0,2118516,120655568,0,0,13657,449
12.750,0.500,86.750,0,0,0,65536,2120312,120657196,0,0,13729,487
12.718,0.499,86.783,0,0,0,0,2117880,120655568,0,0,13649,452
12.935,0.498,86.567,0,0,0,274432,2119970,120655568,0,0,13789,479
13.400,0.248,86.352,0,0,0,0,2118643,120655568,0,0,13654,484
13.217,0.249,86.534,0,0,0,0,2120100,120655568,0,0,13712,472
11.443,0.995,87.562,0,0,0,0,1744691,99357862,0,0,11426,735
12.718,0.249,86.783,0.249,0,0,49152,2118198,120637902,0,0,13669,469
13,0,87,0,0,0,0,2120668,120673234,0,0,13694,469
12.782,0.251,86.967,0,0,0,0,2118516,120655568,0,0,13676,470
12.718,0.499,86.783,0,0,0,0,2119864,120655568,0,0,13708,456
13.400,0.248,86.352,0,0,0,0,2120206,120657086,0,0,13691,469
13.400,0.496,86.104,0,0,0,0,2117986,120654050,0,0,13684,490
12.968,0.249,86.783,0,0,0,5443584,2120088,120657174,0,0,13738,498
13,0,87,0,0,0,0,2118516,120653962,0,0,13667,452
12.750,0.500,86.750,0,0,0,0,2120206,120657174,0,0,13720,459
9.848,1.263,88.889,0,0,0,0,1744516,99246907,0,0,11527,714
12.782,0.251,86.967,0,0,0,0,2118516,120652444,0,0,13665,467
12.750,0,87,0.250,0,0,57344,2120288,120676446,0,0,13711,469
12.121,0.253,87.626,0,0,0,0,2118516,120655568,0,0,13668,448
13.217,0,86.783,0,0,0,0,2120100,120655568,0,0,13705,467
12.312,0.503,87.186,0,0,0,0,2118516,120655568,0,0,13684,455
12.935,0.498,86.567,0,0,0,0,2119440,120655568,0,0,13710,453
13.400,0.496,86.104,0,0,0,0,2119970,120655568,0,0,13708,476
13.119,0.743,86.139,0,0,0,12288,2118516,120657086,0,0,13675,481
13.614,0.248,86.139,0,0,0,0,2120076,120655656,0,0,13731,484
11.222,1.247,87.531,0,0,0,0,1741917,99235807,0,0,11443,732
12.718,0.499,86.783,0,0,0,0,2118516,120655568,0,0,13666,455
12.968,0.249,86.783,0,0,0,28672,2120114,120657174,0,0,13712,479
12.968,0.499,86.534,0,0,0,0,2118516,120655568,0,0,13676,472
12.531,0.251,87.218,0,0,0,53248,2121180,120655568,0,0,13731,463
13.827,0,85.926,0.247,0,0,0,2118410,120655568,0,0,13670,473
12.968,0.499,86.534,0,0,0,0,2119440,120657086,0,0,13713,464
13.217,0,86.783,0,0,0,73728,2118516,120655656,0,0,13672,475
12.903,0.744,86.352,0,0,0,0,2120312,120655568,0,0,13714,463
13,0.250,86.750,0,0,0,0,2119044,120655568,0,0,13664,474
10.553,1.005,88.442,0,0,0,12288,1744276,99285535,0,0,11467,724
13.648,0.248,86.104,0,0,0,278528,2118622,120657086,0,0,13745,558
13.827,0.247,85.926,0,0,0,0,2120244,120655568,0,0,13688,472
12.814,0,87.186,0,0,0,4096,2118516,120655656,0,0,13686,470
12.750,0.250,87,0,0,0,0,2121388,120655568,0,0,13719,460
12.531,0.251,87.218,0,0,0,0,2118516,120655480,0,0,13655,455
13.033,0,86.967,0,0,0,0,2113460,120596234,0,0,13688,457
12.968,0,86.783,0.249,0,0,12288,2116820,120657174,0,0,13672,479
13.119,0.743,86.139,0,0,0,0,2120194,120655568,0,0,13711,472
13.184,0.249,86.567,0,0,0,0,2118516,120655568,0,0,13651,486
