"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/iperf3-1576771569-100-macsec-morus640-e-1500-dstat.csv",,,,"Date:","19 Dec 2019 23:56:06 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.536,0.380,95.061,0.022,0,15631.465,34647.263,0,0,0,0,22071.535,898.057
0.264,1.319,98.417,0,0,0,0,1980581,114158935,0,0,4225,318
0.264,0,99.472,0.264,0,0,0,2118516,122454024,0,0,4068,220
1.047,0.524,98.429,0,0,0,61440,2118516,122454024,0,0,4082,253
0,0.263,99.737,0,0,0,0,687198,122454024,0,0,4062,228
0,0.263,99.737,0,0,0,0,498494,122454024,0,0,4050,205
0.262,0.524,99.215,0,0,0,0,500638,122454024,0,0,4057,213
0,0.524,99.476,0,0,0,0,496504,122454024,0,0,4058,217
0.263,0,99.737,0,0,0,0,496716,122454024,0,0,4060,218
0,0.263,99.737,0,0,0,12288,493854,122454024,0,0,4069,231
0,0.263,99.737,0,0,0,0,488893,122454024,0,0,4057,215
0.263,1.579,98.158,0,0,0,0,405574,99581902,0,0,3451,657
0,0.532,99.468,0,0,0,0,506403,122449470,0,0,4065,230
0.267,0.267,99.467,0,0,0,0,506468,122385714,0,0,4050,212
0.266,0.266,99.468,0,0,0,0,507528,122525370,0,0,4061,219
0.265,0.265,99.204,0.265,0,0,45056,501768,122452506,0,0,4074,230
0.262,0.262,99.475,0,0,0,0,504666,122454024,0,0,4068,225
0.262,0.262,99.476,0,0,0,0,504560,122454024,0,0,4053,208
0,0,99.735,0.265,0,4096,6066176,502652,122454024,0,0,4133,243
0,0.263,99.737,0,0,0,0,504242,122452506,0,0,4066,227
0,0.525,99.475,0,0,0,0,505620,122454134,0,0,4078,234
2.320,1.031,96.392,0.258,0,0,40960,406631,100169366,0,0,3815,698
3.608,0,96.392,0,0,0,0,500108,122452506,0,0,4162,271
2.344,0.260,97.396,0,0,0,4096,495762,122455542,0,0,4156,266
2.850,0.259,96.891,0,0,0,0,500002,122452506,0,0,4151,274
2.857,0,97.143,0,0,0,0,495950,122455542,0,0,4153,256
2.850,0.259,96.891,0,0,0,0,499366,122454024,0,0,4218,259
2.344,0.260,97.396,0,0,0,45056,500002,122452506,0,0,4192,275
2.344,0.260,97.396,0,0,0,0,500532,122455542,0,0,4157,260
2.344,0.260,97.396,0,0,0,0,500956,122454024,0,0,4149,262
0.792,0.528,98.681,0,0,0,0,501486,122454024,0,0,4060,218
2.089,0.783,97.128,0,0,0,0,402359,100234641,0,0,3717,705
0.266,0.266,99.468,0,0,0,0,495338,122454024,0,0,4058,218
0,0,99.735,0.265,0,0,73728,498518,122452506,0,0,4067,226
0,0.262,99.738,0,0,0,0,498200,122454024,0,0,4048,212
0,0.263,99.737,0,0,0,0,490650,122454024,0,0,4062,223
0,0.263,99.737,0,0,0,0,497352,122454024,0,0,4058,214
0,0.262,99.738,0,0,0,0,498412,122452506,0,0,4047,205
0.263,0,99.737,0,0,0,0,498624,122455542,0,0,4060,217
0,0.525,99.475,0,0,0,20480,498518,122454024,0,0,4068,230
0,0,99.737,0.263,0,0,0,497988,122454024,0,0,4078,219
1.289,1.546,97.165,0,0,0,0,410919,100172403,0,0,3616,657
0,0.524,99.476,0,0,0,0,506694,122454024,0,0,4071,217
0.262,0.524,99.215,0,0,0,0,508270,122455542,0,0,4059,221
0.263,0,99.737,0,0,0,0,508588,122454024,0,0,4056,222
