"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/iperf3-1576771569-100-no-macsec-2928-dstat.csv",,,,"Date:","19 Dec 2019 17:42:39 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.520,0.300,99.157,0.022,0,66019.547,37154.300,0,0,0,0,3217.678,810.466
1.508,1.005,97.487,0,0,0,0,310391,114622329,0,0,3353,592
1.250,0.750,98,0,0,0,0,340270,123693702,0,0,3158,578
1.003,0.752,98.246,0,0,0,45056,339360,123711378,0,0,3163,580
1.250,0.500,98.250,0,0,0,0,339780,123705486,0,0,3128,578
1.253,0.501,98.246,0,0,0,0,340970,123705486,0,0,3134,592
1.256,0,98.492,0.251,0,0,61440,341040,123708432,0,0,3151,653
1.256,0,98.744,0,0,0,0,341460,123699594,0,0,3135,602
1.005,0,98.995,0,0,0,0,333900,123705486,0,0,3792,588
0.500,0.250,99.250,0,0,0,0,332990,123705486,0,0,5026,597
0.503,0,99.497,0,0,0,0,279510,123705486,0,0,5027,567
0.752,1.003,98.246,0,0,0,0,237843,100385896,0,0,4309,857
0.500,0.500,99,0,0,0,45056,289450,123693702,0,0,5025,629
0.501,0.251,99.248,0,0,0,0,358400,123705486,0,0,5028,670
0.251,0.251,99.499,0,0,0,0,358120,123705486,0,0,5026,654
0.500,0.500,99,0,0,0,0,316540,123705486,0,0,5030,673
0.251,0,99.749,0,0,0,0,279510,123702540,0,0,5026,652
0.500,0.500,99,0,0,0,0,279580,123708432,0,0,5029,668
0.501,0.251,99.248,0,0,0,12288,279510,123705486,0,0,5030,666
0.500,0.250,99.250,0,0,0,147456,279510,123705486,0,0,5046,680
0.501,0.251,99.248,0,0,0,0,288610,123702540,0,0,5026,660
0.500,1.750,97.750,0,0,0,0,289995,99909664,0,0,4294,849
0.500,0.250,99.250,0,0,0,0,355530,123693702,0,0,5026,591
0.501,0.251,99.248,0,0,0,0,356790,123705486,0,0,5030,601
0.251,0.501,99.248,0,0,0,3481600,343560,123705486,0,0,5038,610
0.748,0,99.002,0.249,0,0,0,279510,123702540,0,0,5028,603
0.500,0.500,99,0,0,0,0,279510,123708432,0,0,5026,583
0.251,0.251,99.499,0,0,0,0,279510,123702540,0,0,5029,593
0.500,0.500,99,0,0,0,0,279510,123705486,0,0,5027,581
0.500,0.250,99.250,0,0,0,24576,279510,123705486,0,0,5034,614
0.501,0.251,99.248,0,0,0,0,279510,123705486,0,0,5027,581
0.503,1.256,98.241,0,0,0,0,252539,100876729,0,0,4325,835
0.499,0.499,99.002,0,0,0,0,354620,123690756,0,0,5026,587
0.501,0.251,99.248,0,0,0,0,353290,123708432,0,0,5028,597
0.501,0.251,99.248,0,0,0,28672,353500,123705486,0,0,5029,587
0.499,0.499,99.002,0,0,0,53248,354130,123702540,0,0,5033,614
0.501,0.251,99.248,0,0,0,0,352940,123705486,0,0,5026,579
0.500,0.500,99,0,0,0,0,354480,123708432,0,0,5030,590
0.500,0.250,99.250,0,0,0,0,354410,123702540,0,0,5026,585
0.251,0.251,99.497,0,0,0,65536,353780,123708432,0,0,5044,592
0.501,0.251,99.248,0,0,0,0,354550,123702540,0,0,5026,583
0.750,1.250,97.750,0.250,0,0,12288,291317,101367936,0,0,4346,854
0.500,0.250,99.250,0,0,0,0,363930,123690756,0,0,5027,639
0.251,0.251,99.497,0,0,0,0,366030,123702540,0,0,5029,648
0.501,0.251,99.248,0,0,0,0,364630,123708432,0,0,5026,637
0.501,0.251,99.248,0,0,0,0,365890,123705486,0,0,5028,655
0.500,0.250,99.250,0,0,0,45056,366100,123705486,0,0,5031,650
0.251,0.251,99.497,0,0,0,0,364700,123705486,0,0,5029,640
0.500,0.500,99,0,0,0,0,362460,123702540,0,0,5026,633
