"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/iperf3-1576771569-100-orig-jumbo-2928-dstat.csv",,,,"Date:","19 Dec 2019 19:11:08 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.259,0.355,97.364,0.023,0,37410.695,34438.052,0,0,0,0,15674.328,876.539
7.232,1.247,91.521,0,0,0,0,1997987,115824234,0,0,55932,443
7.250,0.500,92.250,0,0,0,0,2118785,123715197,0,0,59573,366
7.214,0.498,92.040,0.249,0,0,0,2118744,123715054,0,0,59576,319
7.731,0.249,92.020,0,0,0,77824,2118744,123715054,0,0,59576,340
7.250,0.250,92.500,0,0,0,0,2118642,123715054,0,0,59574,342
7.940,0.496,91.563,0,0,0,0,2118744,123715054,0,0,59578,346
7.018,0.251,92.732,0,0,0,0,2118744,123715054,0,0,59561,325
7.731,0.249,92.020,0,0,0,0,2118744,123715054,0,0,59569,335
7.481,0.499,89.526,2.494,0,0,10539008,2118744,123718032,0,0,59584,374
7.268,0,91.980,0.752,0,0,8404992,2118642,123715054,0,0,59575,342
7.178,1.238,91.584,0,0,0,0,1787600,102207497,0,0,49843,695
7.268,0.251,92.481,0,0,0,0,2118744,123712076,0,0,59568,322
7.250,0.250,92.500,0,0,0,0,2118642,123715054,0,0,59574,349
7.500,0.250,92.250,0,0,0,0,2118744,123718032,0,0,59572,343
7.481,0.249,92.269,0,0,0,61440,2118744,123715054,0,0,59585,347
7.519,0,92.481,0,0,0,0,2118642,123715054,0,0,59577,333
7,0.500,92.500,0,0,0,0,2118744,123715054,0,0,59578,340
7.035,0.251,92.714,0,0,0,0,2118744,123718032,0,0,59577,334
7.500,0,92.500,0,0,0,0,2118642,123715054,0,0,59574,324
7.268,0.251,92.481,0,0,0,0,2118744,123715054,0,0,59567,334
6.015,1.754,92.231,0,0,0,12288,1776409,101854574,0,0,49619,722
7.035,0,92.965,0,0,0,0,2118744,123712076,0,0,59579,334
7.463,0.498,92.040,0,0,0,0,2118642,123718032,0,0,59574,321
7.053,0,92.947,0,0,0,0,2118744,123715054,0,0,59578,322
7.711,0.249,92.040,0,0,0,0,2118744,123715054,0,0,59574,335
7.481,0.249,92.020,0.249,0,0,45056,2118642,123715054,0,0,59583,368
7.018,0.251,92.732,0,0,0,0,2118744,123718032,0,0,59586,332
7.500,0.250,92.250,0,0,0,0,2118642,123715054,0,0,59574,329
7.268,0,92.732,0,0,0,0,2118744,123715054,0,0,59572,346
7.481,0.499,92.020,0,0,0,86016,2118744,123715054,0,0,59597,355
6.266,1.504,92.231,0,0,0,0,1767943,101357354,0,0,49381,702
7.481,0.249,92.269,0,0,0,45056,2118867,123715054,0,0,59581,344
7.268,0.251,92.481,0,0,0,0,2118642,123715177,0,0,59574,355
7.500,0.250,92.250,0,0,0,0,2118887,123715197,0,0,59580,350
7.481,0.249,92.269,0,0,0,278528,2118642,123718032,0,0,59625,350
7.519,0,92.481,0,0,0,0,2118744,123712076,0,0,59583,339
7.035,0.251,92.714,0,0,0,28672,2118642,123715054,0,0,59580,337
7.481,0.249,92.269,0,0,0,0,2118744,123718032,0,0,59575,346
7.481,0.249,92.269,0,0,0,0,2118744,123715054,0,0,59572,318
7.268,0.251,92.481,0,0,0,0,2118642,123715054,0,0,59580,336
6.965,1.493,91.542,0,0,0,0,1759579,100865878,0,0,49166,426
7.463,0.498,92.040,0,0,0,0,2118744,123715054,0,0,59521,369
7.731,0,92.269,0,0,0,45056,2118744,123715054,0,0,59543,368
7.250,0.500,92.250,0,0,0,0,2118642,123715054,0,0,59529,355
7.500,0,92.500,0,0,0,8192,2118744,123715054,0,0,59536,344
7.018,0.501,92.481,0,0,0,0,2118744,123718032,0,0,59550,365
7.481,0.249,92.269,0,0,0,0,2118642,123715054,0,0,59578,341
7.268,0.251,92.481,0,0,0,0,2118744,123715054,0,0,59577,334
7.481,0.249,92.020,0.249,0,0,28672,2118642,123715054,0,0,59582,352
7.250,0.250,92.500,0,0,0,0,2118744,123718032,0,0,59578,347
6.500,0.750,92.750,0,0,0,0,1927891,111383417,0,0,54004,641
6.767,1.253,91.980,0,0,0,0,1959431,113846821,0,0,54901,432
7,0.500,92.500,0,0,0,0,2118642,123712076,0,0,59532,346
7.750,0,92.250,0,0,0,0,2118642,123718032,0,0,59539,365
7.500,0.250,92.250,0,0,0,45056,2118744,123715054,0,0,59543,351
7.268,0,92.732,0,0,0,0,2118642,123715054,0,0,59534,354
7.250,0.250,92.500,0,0,0,0,2118744,123715054,0,0,59539,343
7.250,0.500,92.250,0,0,0,0,2118642,123718032,0,0,59547,356
7.500,0,92.500,0,0,0,0,2118744,123712076,0,0,59536,337
7.035,0.251,92.714,0,0,0,0,2113746,123718032,0,0,59487,334
7.481,0.499,92.020,0,0,0,12288,2118744,123715054,0,0,59568,348
6,1.750,92.250,0,0,0,0,1767943,101354271,0,0,49347,706
7.500,0.250,92.250,0,0,0,0,2118744,123715054,0,0,59573,329
7.481,0.249,92.269,0,0,0,0,2118642,123718032,0,0,59577,330
7.250,0.500,92.250,0,0,0,0,2118744,123715054,0,0,59575,324
7.731,0,92.269,0,0,0,24576,2118744,123715054,0,0,59584,354
7,0.500,92.250,0.250,0,0,53248,2118642,123718032,0,0,59581,338
7.232,0.499,92.269,0,0,0,0,2118744,123712076,0,0,59573,320
7.731,0.249,92.020,0,0,0,0,2118642,123718032,0,0,59575,333
7.018,0.251,92.732,0,0,0,0,2118744,123715054,0,0,59575,335
7.018,0.501,92.481,0,0,0,0,2118744,123715054,0,0,59582,315
6.965,1.244,91.791,0,0,0,0,1776744,101623791,0,0,49527,723
7.268,0.251,92.481,0,0,0,45056,2118642,123712076,0,0,59574,335
7.481,0.249,92.269,0,0,0,0,2118744,123715054,0,0,59581,343
7.731,0.249,92.020,0,0,0,0,2118642,123718032,0,0,59575,330
7.018,0.251,92.732,0,0,0,253952,2118744,123715054,0,0,59627,355
7.711,0.498,91.791,0,0,0,0,2118744,123715054,0,0,59573,339
7.481,0.249,92.269,0,0,0,0,2118642,123715054,0,0,59582,340
7.250,0.500,92.250,0,0,0,24576,2118744,123715054,0,0,59576,334
7.286,0,92.714,0,0,0,0,2118642,123715054,0,0,59580,326
7.463,0.498,92.040,0,0,0,0,2118744,123718032,0,0,59575,326
6.983,1.247,91.771,0,0,0,0,1766581,101065404,0,0,49251,706
7.711,0.249,92.040,0,0,0,0,2118642,123718032,0,0,59575,330
7.481,0.249,92.269,0,0,0,0,2118744,123715054,0,0,59582,342
7.035,0.251,92.714,0,0,0,45056,2118642,123712076,0,0,59629,362
7.286,0,92.714,0,0,0,4096,2118744,123718032,0,0,59575,359
7.692,0.496,91.811,0,0,0,0,2118540,123715054,0,0,59568,328
7.250,0.250,92.500,0,0,0,0,2118744,123718032,0,0,59570,331
7.711,0.498,91.791,0,0,0,0,2117826,123712076,0,0,59511,360
7.519,0,92.481,0,0,0,16384,2118744,123718032,0,0,59565,433
7.250,0.250,92.500,0,0,0,0,2118642,123715054,0,0,59541,345
6.484,1.496,92.020,0,0,0,0,1780470,101979650,0,0,49689,707
7.463,0.498,92.040,0,0,0,0,2118642,123718032,0,0,59549,350
7.035,0.251,92.714,0,0,0,0,2118744,123715160,0,0,59577,345
7.481,0.249,92.269,0,0,0,0,2118744,123715054,0,0,59576,327
7.481,0.249,92.020,0.249,0,0,45056,2118867,123721010,0,0,59588,365
7.500,0.250,92.250,0,0,0,0,2118744,123715177,0,0,59596,423
7.731,0,92.269,0,0,0,0,2118785,123718175,0,0,59594,373
7.250,0.500,92.250,0,0,0,0,2118744,123715054,0,0,59578,333
7.268,0,92.732,0,0,0,0,2118744,123715054,0,0,59577,342
7.500,0.250,92.250,0,0,0,0,2118744,123715054,0,0,59580,328
6.500,0.750,92.750,0,0,0,69632,1964075,113696253,0,0,55107,326
6.767,1.003,92.231,0,0,0,0,1922612,111373071,0,0,53864,704
7.519,0,92.481,0,0,0,0,2118642,123715054,0,0,59555,332
7.232,0.499,92.269,0,0,0,0,2118744,123715054,0,0,59572,338
7.268,0.251,92.481,0,0,0,0,2118744,123718032,0,0,59564,340
7.232,0.499,92.269,0,0,0,45056,2118744,123715054,0,0,59576,344
7.711,0.249,92.040,0,0,0,0,2118642,123715054,0,0,59542,332
7.500,0.250,92.250,0,0,0,0,2118744,123715054,0,0,59542,331
7.481,0.249,92.269,0,0,0,0,2118642,123718032,0,0,59533,351
7.250,0.250,92.500,0,0,0,0,2118744,123715054,0,0,59538,336
7.268,0.251,92.481,0,0,0,0,2118744,123718032,0,0,59538,342
6.733,1.247,92.020,0,0,0,12288,1775779,101976672,0,0,49627,723
7.500,0.250,92.250,0,0,0,0,2118744,123715054,0,0,59570,346
7.250,0.250,92.500,0,0,0,0,2118642,123715054,0,0,59574,328
7.500,0.250,92.250,0,0,0,0,2118744,123715054,0,0,59569,342
7.500,0,92.500,0,0,0,245760,2118744,123718032,0,0,59618,348
7.250,0.250,92.500,0,0,0,53248,2118744,123718032,0,0,59581,356
7.268,0.251,92.481,0,0,0,0,2118642,123715054,0,0,59566,329
7.250,0.250,92.500,0,0,0,0,2118744,123715054,0,0,59578,315
7.268,0.251,92.481,0,0,0,0,2113950,123715156,0,0,59523,326
7.481,0.249,92.269,0,0,0,0,2118744,123718032,0,0,59568,350
6.266,1.504,92.231,0,0,0,0,1771901,101482324,0,0,49420,692
7.463,0.249,92.040,0.249,0,0,45056,2118642,123718032,0,0,59588,329
7.035,0.251,92.714,0,0,0,0,2118744,123715054,0,0,59581,345
7.481,0.249,92.269,0,0,0,0,2118744,123715054,0,0,59584,341
7.481,0.249,92.269,0,0,0,8192,2118642,123718032,0,0,59580,338
7.035,0.251,92.714,0,0,0,0,2118744,123718032,0,0,59583,330
7.481,0.249,92.269,0,0,0,0,2118744,123715054,0,0,59576,338
7.286,0,92.714,0,0,0,28672,2118744,123715054,0,0,59580,357
7.711,0.249,92.040,0,0,0,0,2118642,123715054,0,0,59583,326
7.250,0.500,92.250,0,0,0,0,2118744,123718032,0,0,59586,323
6.767,0.752,92.481,0,0,0,0,1776643,101617855,0,0,49519,724
7.250,0.250,92.500,0,0,0,0,2118642,123712076,0,0,59567,347
7.035,0.251,92.714,0,0,0,0,2118744,123715054,0,0,59575,334
7.500,0.250,92.250,0,0,0,45056,2118744,123718032,0,0,59582,370
7.500,0,92.500,0,0,0,53248,2118642,123715054,0,0,59585,353
7.035,0.251,92.714,0,0,0,0,2118744,123718032,0,0,59561,342
7.463,0.498,92.040,0,0,0,0,2118744,123715054,0,0,59573,345
7.250,0.250,92.250,0.250,0,0,0,2118642,123718032,0,0,59584,345
7.692,0.496,91.811,0,0,0,0,2118744,123715054,0,0,59574,369
7.286,0,92.714,0,0,0,20480,2118744,123718032,0,0,59583,356
6.266,1.253,92.481,0,0,0,0,1782653,102051121,0,0,49763,699
7.500,0.250,92.250,0,0,0,0,2118744,123715054,0,0,59552,358
7.018,0.251,92.732,0,0,0,0,2118744,123715054,0,0,59575,344
7.500,0.250,92.250,0,0,0,0,2118744,123718032,0,0,59588,340
7.692,0.496,91.811,0,0,0,0,2118642,123715054,0,0,59573,335
7.500,0.250,92.250,0,0,0,45056,2118744,123718032,0,0,59582,351
7.481,0.249,92.269,0,0,0,0,2118642,123715054,0,0,59581,339
7.250,0.500,92.250,0,0,0,0,2118744,123715054,0,0,59580,334
7.481,0.249,92.269,0,0,0,0,2118642,123718032,0,0,59579,321
7.500,0.250,92.250,0,0,0,0,2118744,123715054,0,0,59576,325
6.983,0.499,92.519,0,0,0,0,1996883,115408603,0,0,55937,305
6.750,1.250,91.750,0.250,0,0,12288,1888644,109392701,0,0,52907,744
