"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/iperf3-1576847161-100-macsec-chachapoly-e-1500-dstat.csv",,,,"Date:","20 Dec 2019 14:42:25 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.745,0.151,98.093,0.011,0,12174.982,19439.750,0,0,0,0,8695.793,386.940
1.897,0.813,97.290,0,0,0,0,443313,114076963,0,0,3921,358
0.275,0.275,99.451,0,0,0,327680,482406,122466168,0,0,4128,250
0,0.272,99.728,0,0,0,0,487600,122452506,0,0,4055,211
0.542,0,99.458,0,0,0,0,490144,122476794,0,0,4055,218
0.539,0.539,98.922,0,0,0,0,490120,122452506,0,0,4070,220
0,0.272,99.728,0,0,0,69632,484632,122434290,0,0,4083,239
0.272,0,99.728,0,0,0,0,489084,122452506,0,0,4051,216
0.809,0.270,98.922,0,0,0,0,491416,122469204,0,0,4055,213
0.270,0.541,99.189,0,0,0,0,490271,122440362,0,0,4065,229
0.271,0.271,99.458,0,0,0,0,491310,122454024,0,0,4071,231
2.387,1.326,96.286,0,0,0,12288,387674,99926634,0,0,3507,628
0,0,100,0,0,0,0,479756,122428218,0,0,4068,222
0.546,0.273,98.907,0.273,0,0,0,471700,122457060,0,0,4060,233
0.273,0.273,99.454,0,0,0,0,478272,122432772,0,0,4058,222
0.270,0.270,99.459,0,0,0,0,474526,122490456,0,0,4061,216
0.271,0.271,99.458,0,0,0,0,474986,122444916,0,0,4051,206
0.539,0.539,98.922,0,0,0,45056,476470,122448062,0,0,4086,247
0,0,100,0,0,0,0,475728,122449470,0,0,4058,216
0.270,0.541,99.189,0,0,0,0,476152,122435808,0,0,4049,210
1.081,0,98.919,0,0,0,0,476576,122476794,0,0,4097,279
0.804,1.340,97.855,0,0,0,0,387366,99782277,0,0,3471,603
1.093,0.273,98.634,0,0,0,0,476576,122473758,0,0,4118,267
0.548,0.548,98.904,0,0,0,45056,471594,122431254,0,0,4064,234
0.275,0.275,99.449,0,0,0,0,475728,122469204,0,0,4054,215
0.549,0.275,99.176,0,0,0,0,476010,122429736,0,0,4064,226
1.090,0.545,98.365,0,0,0,0,474986,122463132,0,0,4088,237
0.275,0.275,99.451,0,0,0,0,475834,122455542,0,0,4070,215
0.549,0.275,99.176,0,0,0,1261568,472336,122435808,0,0,4069,227
0,0.276,99.724,0,0,0,20480,484208,122449470,0,0,4062,229
0.822,0.274,98.904,0,0,0,0,484208,122478312,0,0,4074,232
0.806,1.613,97.581,0,0,0,0,389465,99864249,0,0,3455,580
1.093,0.273,98.634,0,0,0,0,477954,122476794,0,0,4074,225
0.820,0.546,98.634,0,0,0,32768,480816,122432772,0,0,4083,244
0.549,0.275,99.176,0,0,0,0,479756,122432772,0,0,4059,216
0.546,0.546,98.907,0,0,0,53248,475692,122478312,0,0,4078,234
0.820,0.546,98.634,0,0,0,0,473290,122429736,0,0,4102,217
0.275,0,99.449,0.275,0,0,0,481028,122473758,0,0,4061,228
0.546,0.546,98.907,0,0,0,73728,480180,122457060,0,0,4075,227
0.549,0.275,99.176,0,0,0,0,481134,122431254,0,0,4060,215
0.549,0.275,99.176,0,0,0,0,481134,122478312,0,0,4069,235
1.604,1.337,97.059,0,0,0,12288,393569,99975063,0,0,3492,600
4.474,0.263,95.263,0,0,0,0,481392,122428218,0,0,4184,312
4.485,0.264,95.251,0,0,0,237568,485162,122452506,0,0,4201,310
3.714,0.265,96.021,0,0,0,0,486116,122455542,0,0,4147,279
3.979,0,96.021,0,0,0,0,486940,122432772,0,0,4150,297
4.974,0.262,94.764,0,0,0,0,480286,122476794,0,0,4212,311
5.714,0.260,94.026,0,0,0,61440,485904,122473758,0,0,4225,336
3.733,0,96.267,0,0,0,0,486116,122450988,0,0,4145,265
3.183,0.531,96.021,0.265,0,0,0,482406,122437326,0,0,4176,282
1.630,0.272,98.098,0,0,0,0,487176,122469204,0,0,4075,252
0.815,0.272,98.913,0,0,0,0,440769,110786530,0,0,3699,475
1.617,1.348,97.035,0,0,0,0,428288,111656218,0,0,3816,333
0.822,0.274,98.904,0,0,0,45056,475516,122482866,0,0,4090,258
0.822,0.274,98.904,0,0,0,241664,474456,122450988,0,0,4125,261
0.548,0.548,98.904,0,0,0,0,475304,122431254,0,0,4074,231
1.355,0.542,98.103,0,0,0,0,475692,122452506,0,0,4062,222
0.551,0,99.449,0,0,0,0,477848,122466168,0,0,4070,232
0.549,0.275,99.176,0,0,0,0,474562,122429736,0,0,4060,228
0.275,0.549,99.176,0,0,0,24576,480710,122444916,0,0,4071,232
1.359,0.272,98.370,0,0,0,0,478378,122467686,0,0,4075,247
0.549,0.275,99.176,0,0,0,0,479650,122437326,0,0,4058,232
2.639,1.847,95.515,0,0,0,0,383824,99730666,0,0,3543,627
0.549,0.275,99.176,0,0,0,0,486540,122475276,0,0,4069,221
0.549,0.275,99.176,0,0,0,0,484314,122455542,0,0,4068,224
1.093,0.273,98.634,0,0,0,45056,486116,122449470,0,0,4080,258
0,0.548,99.452,0,0,0,0,485020,122454024,0,0,4060,218
0.541,0.270,98.919,0.270,0,0,0,487494,122466168,0,0,4114,232
0.541,0.270,99.189,0,0,0,0,487600,122431254,0,0,4065,230
1.078,0,98.922,0,0,0,0,488130,122464650,0,0,4065,243
1.072,0.536,98.391,0,0,0,0,488978,122457060,0,0,4076,249
1.078,0,98.922,0,0,0,12288,489402,122450988,0,0,4078,256
1.596,1.596,96.809,0,0,0,0,393495,99918897,0,0,3489,608
2.156,0.270,97.574,0,0,0,0,485925,122431254,0,0,4089,276
0.275,0.275,99.449,0,0,0,0,486540,122455542,0,0,4072,233
1.362,0.545,98.093,0,0,0,0,485839,122451135,0,0,4105,341
1.096,0,98.904,0,0,0,0,480686,122431254,0,0,4058,228
0.541,0.270,99.189,0,0,0,45056,488660,122487420,0,0,4132,250
0.272,0,99.728,0,0,0,0,465022,122443398,0,0,4074,217
0,0.543,99.457,0,0,0,0,476470,122454024,0,0,4050,213
0.809,0.270,98.922,0,0,0,0,477000,122435808,0,0,4062,233
0.271,0.271,99.458,0,0,0,0,475940,122472240,0,0,4057,227
2.362,1.575,96.063,0,0,0,0,388171,99833888,0,0,3478,605
0.820,0.546,98.634,0,0,0,45056,486540,122452506,0,0,4084,242
0.822,0.274,98.904,0,0,0,0,493324,122449470,0,0,4062,231
0,0.551,99.449,0,0,0,8192,492794,122452506,0,0,4060,226
