"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/iperf3-1576847161-100-macsec-chachapoly-we-1500-dstat.csv",,,,"Date:","20 Dec 2019 14:24:30 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.759,0.148,98.082,0.011,0,12335.650,19204.429,0,0,0,0,8752.652,381.231
0,1.604,98.396,0,0,0,0,463985,113920609,0,0,3863,306
0,0.539,99.461,0,0,0,69632,512828,122390268,0,0,4056,227
0.267,0,99.733,0,0,0,0,514630,122516262,0,0,4064,222
0,0.267,99.733,0,0,0,0,514312,122454024,0,0,4052,219
0.266,0.266,99.468,0,0,0,0,502828,122455652,0,0,4074,225
0,0.267,99.733,0,0,0,0,513146,122454024,0,0,4065,254
0.267,0,99.733,0,0,0,0,512722,122454024,0,0,4083,239
0.532,0.266,99.202,0,0,0,12288,513146,122454024,0,0,4067,241
0.265,0.265,99.204,0.265,0,0,0,508185,122437326,0,0,4059,219
0,0,100,0,0,0,0,505302,122452506,0,0,4048,207
3.325,1.535,95.141,0,0,0,0,404207,100816183,0,0,3667,726
2.344,0.260,97.396,0,0,0,0,509330,122454024,0,0,4144,267
3.101,0.258,96.641,0,0,0,0,503924,122454024,0,0,4159,269
2.089,0.261,97.650,0,0,0,45056,505620,122454024,0,0,4149,261
2.850,0.259,96.891,0,0,0,0,504960,122455542,0,0,4211,285
3.101,0.258,96.641,0,0,0,389120,509648,122452506,0,0,4323,301
3.608,0,96.392,0,0,0,0,509542,122454024,0,0,4176,279
2.850,0.259,96.891,0,0,0,0,509966,122454024,0,0,4139,263
2.344,0.260,97.396,0,0,0,0,509542,122455542,0,0,4150,268
2.857,0,97.143,0,0,0,16384,509542,122454024,0,0,4147,279
2.100,1.050,96.588,0.262,0,4096,4173824,400500,100327239,0,0,3528,685
0,0.539,99.461,0,0,0,0,507740,122452506,0,0,4052,211
0.266,0.266,99.468,0,0,0,0,509436,122454024,0,0,4067,232
0,0.267,99.733,0,0,0,0,508376,122455542,0,0,4060,217
0.265,0.531,99.204,0,0,0,0,503464,122454024,0,0,4070,220
0.266,0.266,99.202,0.266,0,0,69632,509860,122454024,0,0,4067,222
0,0.267,99.733,0,0,0,0,509542,122454024,0,0,4078,223
0,0,100,0,0,0,0,508270,122452506,0,0,4046,213
0,0.532,99.468,0,0,0,0,508800,122455542,0,0,4048,213
0.267,0,99.733,0,0,0,0,509118,122454024,0,0,4044,210
0.529,1.058,98.413,0,0,0,86016,416941,100644607,0,0,3539,667
0.266,0.266,99.468,0,0,0,0,511132,122452506,0,0,4058,222
0,0.532,99.468,0,0,0,0,511768,122454024,0,0,4053,216
0,0.267,99.733,0,0,0,0,507528,122454024,0,0,4043,207
0,0,100,0,0,0,0,503370,122454024,0,0,4074,229
0.529,0.529,98.942,0,0,0,0,504136,122434290,0,0,4063,219
0,0.267,99.733,0,0,0,20480,509224,122452506,0,0,4069,229
0,0.267,99.733,0,0,0,0,509860,122454024,0,0,4045,207
0.266,0.266,99.468,0,0,0,0,509224,122454024,0,0,4064,219
0.266,0.266,99.468,0,0,0,0,510072,122455542,0,0,4045,219
1.047,1.571,97.382,0,0,0,0,418457,100412246,0,0,3505,678
