"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/ping-1576771569-macsec-aes-gcm-e-jumbo-MACsec-Ethernet-9000-dstat.csv",,,,"Date:","19 Dec 2019 23:37:50 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.443,0.384,95.150,0.022,0,16238.800,34221.520,0,0,0,0,20771.268,876.366
3.483,2.736,93.781,0,0,0,0,2177280,2177280,0,0,28257,27299
3.015,2.010,94.975,0,0,0,0,2176480,2176480,0,0,28249,27249
2.538,1.777,95.685,0,0,0,57344,2179200,2179200,0,0,28291,27323
3.769,1.759,94.472,0,0,0,0,3032352,3032480,0,0,30040,29027
4.010,2.506,93.484,0,0,0,0,4649184,4649184,0,0,33326,32382
3.535,2.273,94.192,0,0,0,0,4641905,4641888,0,0,33280,32322
5.198,2.475,92.327,0,0,0,0,5552403,5552512,0,0,32957,32010
4.208,3.218,92.327,0.248,0,0,24576,8539712,8539315,0,0,32444,31523
3.817,1.527,94.656,0,0,0,0,8508160,8508160,0,0,32323,31375
5.432,2.716,91.852,0,0,0,0,8790464,8790464,0,0,32200,31243
3.980,2.985,93.035,0,0,0,0,14789280,14790336,0,0,29060,28087
3.500,3,93.500,0,0,0,0,14828352,14828352,0,0,29123,28157
3.778,2.015,94.207,0,0,0,172032,14796672,14796672,0,0,29097,28099
3.553,1.777,94.670,0,0,0,0,16164816,16163760,0,0,27532,26506
2.785,2.278,94.937,0,0,0,0,18007400,18007400,0,0,26197,25250
3.500,2.750,93.750,0,0,0,0,17998808,18000240,0,0,26176,25236
3.731,2.736,93.284,0.249,0,0,0,18031744,18030312,0,0,26225,25262
3.518,2.513,93.970,0,0,0,24576,18188226,18188226,0,0,25817,24826
3.250,2.750,94,0,0,0,0,18648630,18650148,0,0,25618,24663
4.261,1.504,94.236,0,0,0,0,18669882,18668364,0,0,25640,24691
4.030,1.511,94.458,0,0,0,0,18645594,18645594,0,0,25608,24648
