"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/ping-1576771569-macsec-aes-gcm-we-jumbo-Ethernet-9000-dstat.csv",,,,"Date:","19 Dec 2019 23:20:15 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.212,0.383,95.382,0.022,0,16869.261,34171.169,0,0,0,0,18771.958,872.321
3.275,1.511,95.214,0,0,0,0,2193920,2194080,0,0,28468,27497
4,1.750,94.250,0,0,0,0,2194880,2194880,0,0,28475,27500
3,2.500,94.500,0,0,0,0,2185280,2185280,0,0,28355,27383
3.526,2.015,94.458,0,0,0,0,3073280,3073120,0,0,30142,29121
4.304,1.266,94.177,0.253,0,0,45056,4620960,4621358,0,0,33136,32185
4.040,1.768,94.192,0,0,0,0,4617425,4617298,0,0,33107,32169
4.523,2.010,93.467,0,0,0,0,5532320,5532576,0,0,32816,31812
3.544,2.278,94.177,0,0,0,0,8413107,8413107,0,0,31975,30999
4.774,1.759,93.467,0,0,0,77824,8340064,8339520,0,0,31717,30764
3.759,3.258,92.982,0,0,0,24576,8464352,8465408,0,0,32110,31102
3.275,2.519,94.207,0,0,0,0,14464032,14464032,0,0,28440,27473
3.788,2.020,94.192,0,0,0,0,14663616,14663616,0,0,28808,27824
4.511,2.005,93.484,0,0,0,0,14524224,14523168,0,0,28550,27567
4.239,2.494,93.267,0,0,0,0,15791488,15791488,0,0,27699,26689
4.271,1.508,93.970,0.251,0,0,24576,17898568,17898568,0,0,26043,25076
2.764,2.764,94.472,0,0,0,0,17387344,17387344,0,0,25320,24348
3.275,2.015,94.710,0,0,0,0,17635080,17636512,0,0,25678,24686
3.250,2.750,94,0,0,0,0,16992578,16992664,0,0,24463,23482
3.722,2.730,93.548,0,0,0,0,16660050,16658532,0,0,22997,22022
3.250,2.250,94.500,0,0,0,24576,16855872,16855872,0,0,23253,22268
3.046,1.269,95.685,0,0,0,0,16858908,16858908,0,0,23253,22266
2.532,1.772,95.696,0,0,0,0,16834747,16834730,0,0,23221,22254
