"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/ping-1576771569-macsec-aesgcm-we-jumbo-2928-dstat.csv",,,,"Date:","19 Dec 2019 22:09:01 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.194,0.381,95.402,0.022,0,20020.940,34274.881,0,0,0,0,18198.903,871.770
1.515,0.758,97.727,0,0,0,0,1122240,1122240,0,0,15064,14105
1.763,0.504,97.733,0,0,0,0,1126880,1127040,0,0,15124,14136
0.763,0.509,98.728,0,0,0,0,1127200,1127040,0,0,15127,14147
2.261,0.503,97.236,0,0,0,0,1117920,1118080,0,0,15014,14020
1.750,1.250,97,0,0,0,45056,1127040,1127150,0,0,15126,14152
1.015,0.761,98.223,0,0,0,0,1127569,1127442,0,0,15129,14145
1.266,0.506,98.228,0,0,0,0,1127347,1127200,0,0,15129,14142
1.754,1.003,96.992,0.251,0,0,0,1916416,1916691,0,0,14989,13978
2.250,1,96.750,0,0,0,0,2021472,2021184,0,0,15069,14107
2.239,1.244,96.517,0,0,0,24576,2022048,2022336,0,0,15089,14127
1.253,1.504,97.243,0,0,0,0,2021472,2021184,0,0,15075,14092
2.239,1.244,96.517,0,0,0,0,2021184,2021184,0,0,15071,14080
1.253,1.504,97.243,0,0,0,0,2021760,2021760,0,0,15075,14092
1.263,1.263,97.475,0,0,0,0,2009664,2009952,0,0,14992,14005
1.504,1.253,96.992,0.251,0,0,20480,3360256,3360512,0,0,15007,14018
0.758,1.515,97.727,0,0,0,0,3792224,3791680,0,0,14976,13989
1.508,1.005,97.487,0,0,0,0,3790048,3790048,0,0,14968,13996
1.515,0.758,97.727,0,0,0,0,3789504,3790048,0,0,14967,13977
1.759,1.005,97.236,0,0,0,0,3789504,3789504,0,0,14969,13999
1.515,0.758,97.727,0,0,0,20480,3786784,3786240,0,0,14962,13988
1.746,1.746,96.509,0,0,0,0,3786322,3786432,0,0,14955,13985
2.239,1.741,96.020,0,0,0,0,5750815,5750688,0,0,14820,13809
1.266,0.759,97.975,0,0,0,0,7244307,7245216,0,0,14758,13791
1.266,0.759,97.722,0.253,0,0,0,7244160,7243251,0,0,14757,13796
2.010,0.754,97.236,0,0,0,40960,7247328,7247328,0,0,14769,13805
1.018,0.763,98.219,0,0,0,0,7255776,7256832,0,0,14779,13794
1.015,0.761,98.223,0,0,0,0,7254720,7254720,0,0,14778,13793
1.768,0.758,97.475,0,0,0,0,7255776,7255776,0,0,14777,13791
1.523,0.508,97.970,0,0,0,0,7929824,7928768,0,0,14747,13746
3.250,0.500,96.250,0,0,0,49152,9723280,9723280,0,0,14624,13673
2.250,1,94.250,2.500,0,0,13426688,9262176,9262176,0,0,14058,13053
2.500,1,96.500,0,0,0,0,9730440,9730440,0,0,14628,13656
1.519,0.759,97.722,0,0,0,0,9731872,9733304,0,0,14629,13648
2.015,0.756,97.229,0,0,0,0,9727576,9727576,0,0,14626,13661
1.763,1.008,96.977,0.252,0,0,45056,9726144,9726144,0,0,14628,13662
1.754,1.504,96.742,0,0,0,0,9721848,9721848,0,0,14614,13639
3.210,1.481,95.309,0,0,0,0,10135596,10135682,0,0,14576,13597
2.239,1.990,95.771,0,0,0,0,10246500,10246500,0,0,14535,13561
2.956,1.970,95.074,0,0,0,0,10267752,10266234,0,0,14565,13612
3.659,2.439,93.902,0,0,0,24576,10261680,10261680,0,0,14561,13611
3.202,1.724,95.074,0,0,0,0,10267916,10269434,0,0,14568,13615
2.948,2.211,94.840,0,0,0,0,10272306,10272306,0,0,14570,13598
2.716,1.975,95.309,0,0,0,0,10275342,10273824,0,0,14578,13612
