"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/ping-1576771569-macsec-chachapoly-e-frag-1500-dstat.csv",,,,"Date:","19 Dec 2019 20:39:35 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.044,0.369,96.565,0.022,0,26144.430,34294.663,0,0,0,0,19323.594,849.094
1.013,1.266,97.722,0,0,0,0,1090880,1090880,0,0,14034,13698
1.008,1.511,97.481,0,0,0,0,1094880,1095040,0,0,14076,13763
1.013,1.266,97.722,0,0,0,0,1095040,1094880,0,0,14097,13748
1.008,1.511,97.481,0,0,0,0,1094720,1094720,0,0,14061,13734
2,1.500,96.500,0,0,0,40960,1095040,1095310,0,0,14233,13767
1.256,1.508,97.236,0,0,0,0,1095569,1095282,0,0,14054,13765
0.763,1.018,98.219,0,0,0,98304,1095040,1095200,0,0,14092,13752
0.759,1.519,97.722,0,0,0,0,1700723,1700416,0,0,14066,13685
1.015,1.015,97.970,0,0,0,0,1952928,1953216,0,0,13915,13615
0.758,1.515,97.475,0.253,0,0,24576,1964160,1964160,0,0,13993,13718
0.255,1.020,98.724,0,0,0,0,1963872,1963584,0,0,13962,13692
0.505,2.020,97.475,0,0,0,0,1964160,1964160,0,0,13970,13683
0.255,1.020,98.724,0,0,0,0,1963296,1963296,0,0,13967,13685
0.505,2.020,97.475,0,0,0,0,1963872,1963872,0,0,13961,13692
0.255,1.276,98.469,0,0,0,20480,2566496,2566496,0,0,13957,13613
2.015,0.756,97.229,0,0,0,0,3668192,3668192,0,0,13866,13598
8.057,0.474,91.469,0,0,0,0,3672000,3672000,0,0,13970,13718
3.951,0.988,95.062,0,0,0,0,3662752,3663296,0,0,13863,13607
5.412,3.765,90.824,0,0,0,0,3671456,3671456,0,0,13964,13670
4.255,4.492,91.253,0,0,0,20480,3674720,3674830,0,0,13933,13617
5.425,3.538,91.038,0,0,0,0,3674176,3674176,0,0,13928,13615
4.358,2.179,93.462,0,0,0,1069056,3673759,3673632,0,0,14112,13692
0.254,2.284,97.462,0,0,0,0,6800608,6801120,0,0,13692,13324
1,2.750,96.250,0,0,0,0,7005651,7005504,0,0,13595,13317
0.505,2.273,97.222,0,0,0,61440,7005504,7005504,0,0,13630,13335
0.765,1.020,98.214,0,0,0,0,6998112,6998112,0,0,13610,13315
0.509,1.272,98.219,0,0,0,4096,7020288,7019232,0,0,13625,13343
0.761,1.523,97.716,0,0,0,0,7018176,7019232,0,0,13629,13342
0.254,1.781,97.964,0,0,0,0,7013952,7013952,0,0,13619,13330
1.018,1.272,97.710,0,0,0,32768,7899632,7900008,0,0,13552,13218
2,1.750,96.250,0,0,0,0,9280792,9279360,0,0,13324,13026
1.256,2.010,94.724,2.010,0,0,13467648,8846896,8848328,0,0,12726,12413
2.005,1.504,96.491,0,0,0,0,9320888,9319456,0,0,13375,13071
0.254,1.781,97.964,0,0,0,0,9328048,9328048,0,0,13371,13083
0.759,2.025,97.215,0,0,0,28672,9323752,9323752,0,0,13387,13089
1.263,1.515,97.222,0,0,0,0,9328048,9329480,0,0,13357,13066
1.015,1.523,97.462,0,0,0,0,9322320,9320888,0,0,13370,13073
1.763,1.259,96.977,0,0,0,0,9549290,9550808,0,0,13309,12964
0.512,1.279,98.210,0,0,0,0,9728862,9727344,0,0,13176,12883
1.013,1.519,97.215,0.253,0,0,24576,9733416,9734934,0,0,13197,12952
0.509,1.527,97.964,0,0,0,0,9756186,9754668,0,0,13200,12901
0.765,1.020,98.214,0,0,0,0,9751632,9751632,0,0,13186,12903
1.020,1.020,97.959,0,0,0,65536,9742524,9742524,0,0,13208,12896
0.254,1.781,97.964,0,0,0,0,9745560,9747078,0,0,13161,12881
1.018,1.018,97.964,0,0,0,12288,9754668,9754668,0,0,13214,12927
