"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/ping-1576847161-macsec-chachapoly-we-1500-1500-dstat.csv",,,,"Date:","20 Dec 2019 14:23:45 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.759,0.147,98.083,0.011,0,12342.398,19025.097,0,0,0,0,8749.854,374.015
1.763,0.756,97.481,0,0,0,0,1103040,1103200,0,0,14241,13868
1.015,0.761,98.223,0,0,0,0,1107840,1107680,0,0,14199,13888
1.015,0.761,98.223,0,0,0,0,1107840,1108000,0,0,14258,13924
1.010,1.263,97.727,0,0,0,0,1107520,1107630,0,0,14216,13898
1.266,0.506,97.975,0.253,0,0,45056,1108000,1107840,0,0,14220,13922
0.759,1.266,97.975,0,0,0,0,1108689,1108722,0,0,14304,13919
0.505,1.768,97.727,0,0,0,0,1108000,1107840,0,0,14223,13909
1.008,1.511,97.481,0,0,0,0,1788864,1789299,0,0,14173,13809
0.256,1.023,98.721,0,0,0,0,1983168,1982880,0,0,14107,13824
1.754,1.253,96.992,0,0,0,28672,1981440,1981440,0,0,14176,13858
0.508,1.269,97.970,0.254,0,0,0,1982880,1983168,0,0,14122,13829
0.254,1.272,98.473,0,0,0,0,1983456,1983456,0,0,14147,13843
0.759,1.266,97.975,0,0,0,0,1984032,1984032,0,0,14136,13836
0.508,1.269,98.223,0,0,0,0,1983456,1983456,0,0,14133,13819
1.018,1.018,97.964,0,0,0,28672,2863872,2864128,0,0,14108,13745
0.759,1.519,97.722,0,0,0,0,3701376,3701376,0,0,13973,13658
1.504,1.754,96.742,0,0,0,0,3700288,3700288,0,0,14041,13666
0.758,1.768,97.475,0,0,0,0,3699744,3699200,0,0,13963,13644
0.761,1.269,97.970,0,0,0,0,3699744,3700398,0,0,13973,13676
0.506,1.772,97.468,0.253,0,0,16384,3703008,3702464,0,0,13960,13670
0.763,1.018,98.219,0,0,0,0,3702464,3702464,0,0,13995,13674
1.985,2.233,95.782,0,0,0,0,4237311,4237184,0,0,13961,13617
4.513,4.038,91.449,0,0,0,0,7134336,7135392,0,0,13934,13627
8.163,4.308,87.528,0,0,0,0,7130112,7130259,0,0,13990,13666
8.036,5.804,85.938,0.223,0,0,495616,7130112,7130112,0,0,14067,13692
5.568,4.872,89.559,0,0,0,0,7131168,7130112,0,0,13962,13623
1.504,2.005,96.491,0,0,0,0,7096320,7097376,0,0,13803,13508
0.998,2.743,96.259,0,0,0,0,7142784,7141728,0,0,13864,13582
1.232,3.941,94.828,0,0,0,0,7141728,7141728,0,0,13879,13595
1.759,1.508,96.734,0,0,0,40960,8864024,8864024,0,0,13731,13362
0.505,2.020,97.475,0,0,0,0,9481272,9481272,0,0,13625,13307
1.010,1.515,97.475,0,0,0,0,9462656,9462656,0,0,13573,13270
0.765,1.020,98.214,0,0,0,0,9468384,9468384,0,0,13558,13267
0.510,1.020,98.469,0,0,0,0,9476976,9478408,0,0,13563,13278
1.010,1.263,95.960,1.768,0,0,14761984,9015872,9014440,0,0,12991,12676
1.272,0.763,97.964,0,0,0,0,9488432,9489864,0,0,13644,13311
1.259,1.763,96.977,0,0,0,0,9478192,9476760,0,0,13614,13247
0.254,1.527,98.219,0,0,0,0,9986922,9988440,0,0,13483,13206
1.523,0.761,97.716,0,0,0,0,9980850,9980850,0,0,13506,13217
0.513,0.769,98.718,0,0,0,28672,9958080,9958080,0,0,13474,13196
1.515,1.010,97.475,0,0,0,0,9967188,9967188,0,0,13501,13184
0.763,1.272,97.964,0,0,0,0,9965752,9965752,0,0,13464,13174
0.759,1.519,97.722,0,0,0,0,9968706,9968706,0,0,13476,13190
0.758,1.768,97.475,0,0,0,0,9973260,9971742,0,0,13482,13197
