"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output final7/ping-1576847161-macsec-morus640-we-1500-1500-dstat.csv",,,,"Date:","20 Dec 2019 15:35:21 CET"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.711,0.160,98.118,0.011,0,11723.609,19787.725,0,0,0,0,8536.393,396.331
1.508,0.754,97.487,0.251,0,0,102400,1135040,1135200,0,0,14652,14280
1.511,0.756,97.733,0,0,0,0,1135040,1135040,0,0,14606,14246
0.508,0.761,98.731,0,0,0,0,1132960,1132800,0,0,14545,14212
1.015,0.508,98.477,0,0,0,0,1135200,1135200,0,0,14606,14254
0.756,1.259,97.985,0,0,0,0,1135200,1135470,0,0,14636,14251
0.508,1.015,98.477,0,0,0,241664,1135889,1135602,0,0,14672,14267
0.506,1.266,98.228,0,0,0,0,1131520,1131680,0,0,14548,14213
1.013,0.759,98.228,0,0,0,0,1993235,1993216,0,0,14543,14142
0.759,1.013,98.228,0,0,0,0,2034144,2034144,0,0,14515,14185
0.506,1.013,98.228,0.253,0,0,0,2034144,2033856,0,0,14495,14172
0.509,1.018,98.473,0,0,0,1171456,2032128,2032416,0,0,14694,14253
0.508,0.761,98.731,0,0,0,0,2035584,2035296,0,0,14529,14189
0.254,1.018,98.728,0,0,0,0,2034720,2034720,0,0,14484,14182
1.008,1.008,97.733,0.252,0,0,0,2024928,2025216,0,0,14396,14119
0.508,1.269,98.223,0,0,0,0,3583648,3583360,0,0,14475,14100
0.508,1.269,98.223,0,0,0,24576,3823776,3824320,0,0,14389,14124
0.761,0.761,98.477,0,0,0,0,3824320,3823776,0,0,14414,14116
0.509,0.763,98.728,0,0,0,0,3822144,3822688,0,0,14387,14100
1.013,0.759,98.228,0,0,0,0,3824864,3824864,0,0,14422,14122
0.254,1.269,98.477,0,0,0,0,3820512,3820512,0,0,14370,14084
0.759,1.013,97.975,0.253,0,0,12288,3823776,3823232,0,0,14406,14120
0.761,1.015,98.223,0,0,0,0,6422399,6423328,0,0,14306,13915
0.506,1.772,97.722,0,0,0,0,7292736,7291680,0,0,14136,13857
1.259,1.259,97.481,0,0,0,0,7283379,7283342,0,0,14143,13862
0.509,1.018,98.473,0,0,0,0,7329696,7330752,0,0,14230,13936
0.254,1.523,98.223,0,0,0,53248,7328640,7327584,0,0,14216,13932
1.013,1.013,97.975,0,0,0,0,7327584,7327584,0,0,14261,13933
0.506,1.266,97.975,0.253,0,0,0,7325472,7326528,0,0,14198,13914
1.263,1.263,97.475,0,0,0,0,8575352,8575728,0,0,14170,13791
0.506,1.519,97.975,0,0,0,0,9746192,9746192,0,0,13936,13659
0.254,1.527,96.438,1.781,0,4096,13582336,9684616,9684616,0,0,13897,13610
0,1.020,98.724,0.255,0,0,0,9777696,9777696,0,0,13975,13697
1.008,1.511,97.481,0,0,0,0,9747624,9747624,0,0,13968,13676
0.759,1.266,97.975,0,0,0,0,9779128,9777696,0,0,14005,13709
1.015,0.761,98.223,0,0,0,0,9769104,9770536,0,0,13991,13703
0.508,1.523,97.970,0,0,0,20480,9789794,9789880,0,0,13991,13645
0.761,1.269,97.970,0,0,0,0,10311856,10311856,0,0,13950,13641
0.759,1.266,97.975,0,0,0,0,10229802,10228284,0,0,13822,13520
1.263,1.010,97.727,0,0,0,0,10298112,10298112,0,0,13930,13620
0.754,2.010,97.236,0,0,0,0,10314810,10314810,0,0,13952,13645
1.015,0.761,97.970,0.254,0,0,81920,10238910,10240428,0,0,13866,13566
0.253,1.772,97.975,0,0,0,0,10336062,10334544,0,0,13969,13650
1.263,1.010,97.727,0,0,0,0,10285968,10285968,0,0,13899,13613
