"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569165074-dstat.csv",,,,"Date:","22 Sep 2019 17:11:20 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.295,0.253,99.107,0.345,0,95058.090,3193041.591,0,0,0,0,278.265,2330.062
0.499,0,99.501,0,0,0,0,0,0,0,0,152,93
0,0,100,0,0,0,0,0,0,0,0,62,49
0,0,100,0,0,0,0,0,0,0,0,67,52
0,0,100,0,0,0,0,0,0,0,0,49,35
0.253,3.291,96.456,0,0,49152,118784,91058825,361496,0,0,3276,6699
1.746,3.741,94.264,0.249,0,0,0,123337968,501970,0,0,4300,8032
2.005,3.258,94.737,0,0,0,0,123332040,493920,0,0,4318,8049
1.508,3.518,94.975,0,0,0,0,123332040,470680,0,0,4293,8029
2.010,3.266,94.724,0,0,0,0,123335004,485030,0,0,4297,8044
1.256,3.769,94.975,0,0,0,12288,123333522,521290,0,0,4300,8108
0.254,3.562,96.183,0,0,0,0,123333522,513240,0,0,4348,8203
0.754,4.020,95.226,0,0,0,0,123335004,493920,0,0,4376,8238
0.253,3.797,95.949,0,0,0,0,123333522,528710,0,0,4308,8174
1.010,3.535,95.455,0,0,0,0,123333522,543760,0,0,4320,8140
0.505,3.788,95.707,0,0,0,12288,123335004,502950,0,0,4309,8180
0.253,3.797,95.949,0,0,0,0,123333522,499520,0,0,4308,8199
0.508,3.553,95.939,0,0,0,0,123333522,542780,0,0,4309,8122
0.506,3.544,95.949,0,0,0,0,123333522,536690,0,0,4302,8134
0.513,4.103,84.615,10.769,0,4096,116146176,120791892,450030,0,0,4524,8046
1.010,4.040,75.758,19.192,0,8192,167772160,109546476,410200,0,0,4047,6715
1.292,2.584,72.610,23.514,0,4096,167825408,119727816,468370,0,0,4420,7645
1.008,4.786,71.537,22.670,0,4096,169082880,121031976,505260,0,0,4474,7788
0.503,6.281,81.407,11.809,0,4096,135004160,35620830,123632,0,0,1565,2430


"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569165074-dstat.csv",,,,"Date:","22 Sep 2019 17:11:48 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
