"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569169127-1-macsec-aegis128l-e-1500-1464-hB5-dstat.csv",,,,"Date:","22 Sep 2019 18:31:31 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.906,1.441,95.123,1.530,0,39298.221,12261836.252,0,0,0,0,6622.044,10073.065
0,0.250,99.750,0,0,0,0,0,612,0,0,187,123
0,0,100,0,0,0,53248,502,0,0,0,56,44
0,0,100,0,0,0,0,127,0,0,0,55,37
0,0,100,0,0,0,0,147,147,0,0,70,66
1.786,3.316,94.898,0,0,0,0,88161311,402128,0,0,3248,6245
2.532,4.051,93.418,0,0,0,0,123372414,560416,0,0,4363,8041
2.792,3.046,94.162,0,0,0,28672,123372414,560634,0,0,4345,8144
2.538,3.299,94.162,0,0,0,0,123370896,561692,0,0,4396,8085
1.786,3.571,94.643,0,0,0,0,123372414,562648,0,0,4323,8131
2.296,2.806,94.898,0,0,0,0,123373932,559250,0,0,4358,8062
2.792,3.046,94.162,0,0,0,0,123372541,561158,0,0,4355,8079
2.771,3.526,93.451,0.252,0,0,12288,123372561,559933,0,0,4369,8179
2.284,3.553,94.162,0,0,0,0,123378486,561582,0,0,4361,8044
2.278,3.544,94.177,0,0,0,0,123370896,559998,0,0,4336,8150
1.786,3.571,94.643,0,0,0,0,123373932,561158,0,0,4352,8055
2.538,3.299,94.162,0,0,0,0,123376968,560316,0,0,4367,8150
2.046,3.069,94.885,0,0,0,12288,123372414,559250,0,0,4351,8071
2.030,3.553,94.416,0,0,0,0,123373932,560104,0,0,4343,8122
1.786,3.827,86.480,7.908,0,0,72691712,123373932,560204,0,0,4682,8186
3.291,4.304,74.937,17.468,0,4096,125833216,116603652,521732,0,0,4281,7641
2.591,3.886,75.648,17.876,0,4096,134221824,116549004,521090,0,0,4369,7562
2.813,4.348,68.286,24.552,0,4096,169082880,116556594,521944,0,0,4350,7649
1.546,3.351,69.072,26.031,0,4096,166543360,89489723,394566,0,0,3455,5951
