"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569169127-1-macsec-aesgcm-e-1464-hB5-dstat.csv",,,,"Date:","22 Sep 2019 18:23:24 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.768,1.342,95.498,1.392,0,41686.361,11308163.469,0,0,0,0,6134.947,9389.482
0,0,100,0,0,0,0,502,261,0,0,180,107
0,0,100,0,0,0,0,0,612,0,0,70,60
0,0,100,0,0,0,0,127,0,0,0,51,40
0,0,100,0,0,0,0,147,0,0,0,60,49
2.806,2.551,94.388,0.255,0,0,53248,88184081,376999,0,0,3269,6333
4.113,3.599,92.288,0,0,0,0,123372414,523210,0,0,4388,8042
3.325,3.836,92.839,0,0,0,0,123372414,525018,0,0,4363,8120
3.590,4.359,92.051,0,0,0,0,123373932,525966,0,0,4419,8066
3.590,4.103,92.308,0,0,0,0,123372414,526926,0,0,4365,8096
4.124,3.351,92.526,0,0,0,16384,123375450,523002,0,0,4409,8074
3.608,3.866,92.526,0,0,0,0,123375577,525336,0,0,4386,8115
3.571,4.592,91.837,0,0,0,0,123368007,524164,0,0,4398,8058
4.061,4.569,91.371,0,0,0,0,123372414,525477,0,0,4390,8058
4.103,3.590,92.308,0,0,0,0,123373932,530848,0,0,4384,8118
3.817,4.580,91.349,0.254,0,0,208896,123375450,526496,0,0,4423,8086
3.385,3.125,93.490,0,0,0,0,123373932,528728,0,0,4375,8106
3.316,4.847,91.837,0,0,0,0,123373932,525542,0,0,4400,8041
3.590,4.359,92.051,0,0,0,0,123370896,526926,0,0,4377,8106
5.115,3.836,82.864,8.184,0,953344,77078528,123373932,524270,0,0,5365,9542
3.827,4.592,65.051,26.531,0,8192,114933760,111190464,455588,0,0,4640,8708
3.856,4.113,72.494,19.537,0,0,126816256,121374726,516108,0,0,4523,8362
3.836,4.859,67.263,24.041,0,0,167772160,123357234,527986,0,0,4555,8168
2.551,8.673,72.449,16.327,0,0,119537664,83256815,355624,0,0,3383,5592
