"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569169127-1-macsec-aesgcm-e-jumbo-1500-hB5-dstat.csv",,,,"Date:","22 Sep 2019 18:25:56 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.786,1.368,95.396,1.449,0,40983.650,11643584.231,0,0,0,0,6153.509,9451.211
0,0,100,0,0,0,0,502,649,0,0,1074,119
0,0,100,0,0,0,0,0,110,0,0,1036,53
0,0,100,0,0,0,45056,127,0,0,0,1043,82
0,0,100,0,0,0,0,147,0,0,0,1038,48
4.975,2.239,92.786,0,0,0,0,88019091,383925,0,0,3956,6459
5.721,3.731,90.547,0,0,0,0,123406354,533220,0,0,5033,8058
5.051,3.030,91.919,0,0,0,0,123407802,535724,0,0,5028,8124
5.013,3.509,91.479,0,0,0,28672,123397030,534540,0,0,5055,8088
5.237,3.741,90.773,0.249,0,0,0,123409356,536148,0,0,5031,8105
5,3.750,91.250,0,0,0,0,123398584,534556,0,0,5051,8052
5.721,3.483,90.796,0,0,0,0,123417253,533816,0,0,5038,8135
5.500,3.500,91,0,0,0,0,123395623,536448,0,0,5056,8070
5.013,3.509,91.479,0,0,0,12288,123398584,535641,0,0,5063,8076
5.500,3.500,91,0,0,0,0,123409356,535406,0,0,5031,8117
5.276,3.015,91.709,0,0,0,0,123393922,535200,0,0,5055,8061
5.051,3.030,91.919,0,0,0,0,123409356,535936,0,0,5030,8124
5.013,3.509,91.479,0,0,0,0,123390814,536472,0,0,5058,8076
5.500,3.500,91,0,0,0,12288,123406248,536996,0,0,5030,8133
5.721,3.731,79.353,11.194,0,0,81334272,123395476,534776,0,0,5433,8180
5.528,3.518,77.638,13.317,0,4096,110370816,123417232,533216,0,0,5140,8027
5.237,3.990,73.815,16.958,0,4096,124522496,123378488,534304,0,0,5174,7970
5.486,3.990,74.065,16.459,0,4096,125050880,123367504,532550,0,0,5177,7998
3.258,7.769,80.451,8.521,0,4096,63700992,64857271,276978,0,0,3232,4236
