"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569169127-1-macsec-aesgcm-we-frag-jumbo-2928-hB5-dstat.csv",,,,"Date:","22 Sep 2019 18:27:53 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.794,1.379,95.363,1.464,0,40376.515,11836905.979,0,0,0,0,6100.553,9372.097
0.250,0,99.750,0,0,0,131072,502,502,0,0,209,100
0,0,100,0,0,0,0,0,110,0,0,59,51
0,0,100,0,0,0,0,127,0,0,0,50,36
0,0,100,0,0,0,0,147,147,0,0,57,43
0.255,1.020,98.724,0,0,0,40960,30314743,142810,0,0,1319,2766
0.514,1.542,97.943,0,0,0,4096,48445394,228484,0,0,2070,3390
0.512,1.535,97.954,0,0,0,0,44029408,209792,0,0,1887,3173
0.515,2.320,97.165,0,0,0,0,60745232,281612,0,0,2529,4338
1.034,2.326,96.641,0,0,0,0,72004404,337318,0,0,2946,5009
1.289,1.804,96.649,0.258,0,0,16384,65314436,306702,0,0,2770,4645
0.759,1.266,97.975,0,0,0,4096,33833777,155593,0,0,1449,2394
1.008,0.756,98.237,0,0,0,0,25004859,115145,0,0,1106,1765
2.273,2.020,95.707,0,0,0,0,57662686,265310,0,0,2354,4013
3.836,3.325,92.839,0,0,0,0,104773124,442356,0,0,3811,6695
4.103,4.615,91.282,0,0,0,12288,123371540,525236,0,0,4404,8059
4.082,5.102,90.816,0,0,0,4096,123373060,526614,0,0,4429,8066
4.103,4.359,91.538,0,0,0,0,123371542,525448,0,0,4400,8049
3.351,4.897,91.753,0,0,0,0,123370026,525436,0,0,4391,8045
3.599,4.627,91.774,0,0,0,0,123371540,526084,0,0,4398,8060
4.103,4.359,91.282,0.256,0,0,16384,123374578,526720,0,0,4409,8064
4.370,4.113,91.517,0,0,0,0,123370024,526508,0,0,4397,8049
4.835,4.326,90.840,0,0,0,0,123373060,527038,0,0,4472,8057
4.103,4.615,91.282,0,0,0,0,123371540,526296,0,0,4488,8050
4.348,4.859,80.563,10.230,0,0,70459392,123371544,527144,0,0,4756,8173
4.103,3.846,81.026,11.026,0,4096,90292224,115524100,489196,0,0,4282,7511
5.371,3.836,72.890,17.903,0,4096,132198400,120108476,508276,0,0,4488,7872
4.113,4.370,72.751,18.766,0,4096,129241088,121308547,513356,0,0,4480,7932
2.597,3.377,68.831,25.195,0,4096,167772160,97646906,411963,0,0,3719,6378
