"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569169127-1-macsec-morus640-e-1500-1464-hB5-dstat.csv",,,,"Date:","22 Sep 2019 18:32:28 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.904,1.449,95.104,1.543,0,39020.333,12344909.307,0,0,0,0,6596.381,10042.011
0,0,100,0,0,0,0,502,502,0,0,171,104
0,0,100,0,0,0,0,0,110,0,0,59,48
0,0,100,0,0,0,40960,127,0,0,0,65,63
0,0,100,0,0,0,0,147,147,0,0,68,54
3.046,2.792,94.162,0,0,0,0,87648576,398340,0,0,3220,6271
4.092,4.348,91.560,0,0,0,0,123378486,562430,0,0,4400,8056
4.071,4.580,91.349,0,0,0,0,123370896,563708,0,0,4448,8108
4.113,3.599,92.288,0,0,0,24576,123375450,562112,0,0,4459,8072
3.316,5.102,91.327,0.255,0,0,4096,123367860,563284,0,0,4383,8090
3.599,4.113,92.288,0,0,0,0,123372414,565928,0,0,4400,8039
4.835,4.071,91.094,0,0,0,0,123372541,563712,0,0,4408,8128
3.836,4.348,91.816,0,0,0,0,123377115,562471,0,0,4418,8070
4.092,4.092,91.816,0,0,0,8192,123370896,563914,0,0,4406,8061
3.846,4.359,91.795,0,0,0,4096,123373932,564026,0,0,4417,8112
4.124,3.608,92.268,0,0,0,0,123372414,563914,0,0,4394,8053
4.337,4.082,91.582,0,0,0,0,123375450,564026,0,0,4401,8121
5.115,3.325,91.560,0,0,0,0,123367860,563914,0,0,4398,8038
4.822,4.061,91.117,0,0,0,8192,123375450,565934,0,0,4391,8104
3.385,3.385,87.240,5.990,0,0,76894208,123372414,564232,0,0,4758,8142
2.828,4.370,83.548,9.254,0,4096,117538816,109722558,487388,0,0,4053,7875
2.564,4.103,68.718,24.615,0,8192,167800832,99567138,429848,0,0,3767,6315
3.590,5.128,73.846,17.436,0,8192,169082880,122115510,554592,0,0,4509,8046
2.850,3.627,76.943,16.580,0,4096,166461440,108311162,490032,0,0,4067,7080
