"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","test1"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569169127-1-orig-jumbo-without-encryption-1500-hB5-dstat.csv",,,,"Date:","22 Sep 2019 18:21:47 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.697,1.308,95.649,1.346,0,42234.836,11008195.629,0,0,0,0,5708.735,8885.297
0,0,100,0,0,0,0,494,143,0,0,1072,106
0,0,100,0,0,0,0,123,600,0,0,1049,57
0,0,100,0,0,0,0,0,123,0,0,1039,45
0,0,100,0,0,0,0,143,0,0,0,1041,57
11.028,6.266,82.456,0.251,0,0,40960,88693163,2897329,0,0,58711,31879
15.829,8.543,75.628,0,0,0,0,123404800,4048662,0,0,80823,44862
15.869,8.312,75.819,0,0,0,0,123406350,4048980,0,0,80823,44831
16.583,7.789,75.628,0,0,0,0,123406350,4060314,0,0,80727,50946
15.152,9.091,75.758,0,0,0,0,123404800,4049352,0,0,80954,90910
16.582,7.653,75.765,0,0,0,16384,123406473,4060522,0,0,81098,149832
15.657,8.838,75.505,0,0,0,0,123406350,4048809,0,0,81081,108028
14.937,9.114,75.949,0,0,0,0,123406493,4060212,0,0,80824,81277
16.162,8.333,75.505,0,0,0,0,123404800,4034333,0,0,80819,81936
15.013,8.906,76.081,0,0,0,0,123406350,4048866,0,0,81228,103943
15.288,9.273,75.188,0.251,0,0,16384,123406350,4060416,0,0,80743,55004
15.617,8.564,75.567,0.252,0,0,1273856,123406350,4048434,0,0,81051,45443
15.949,8.101,75.949,0,0,0,0,123404800,4048968,0,0,80965,91970
14.646,9.343,76.010,0,0,0,0,123406350,4060518,0,0,80713,45743
16.071,7.908,63.776,12.245,0,0,86175744,123502450,4052322,0,0,81132,152034
15.657,8.838,60.606,14.899,0,0,111153152,123403250,4060110,0,0,80918,156871
15.385,6.923,64.359,13.333,0,0,123817984,114258658,3700050,0,0,75497,123237
15.816,8.163,61.224,14.796,0,0,110424064,123406350,4061334,0,0,80932,151881
9.114,10.127,72.658,8.101,0,0,80478208,67340717,2205942,0,0,44739,84983
