"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569171834-50-macsec-aes-gcm-we-jumbo-MACsec-Ethernet-2928-hB5-dstat.csv",,,,"Date:","23 Sep 2019 01:43:13 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.390,3.409,86.892,5.308,0,26776.022,35113837.527,0,0,0,0,18585.226,27142.293
0,0,100,0,0,0,0,502,147,0,0,1071,103
0,0,100,0,0,0,0,0,612,0,0,1046,69
0,0,100,0,0,0,0,127,0,0,0,1037,33
0,0,99.750,0.250,0,0,0,147,0,0,0,1044,51
8.250,3.750,88,0,0,0,36864,89287469,1591991,0,0,46227,58441
10.327,5.542,84.131,0,0,0,0,124170480,2203490,0,0,63539,82826
10.526,5.514,83.960,0,0,0,0,124161534,2203596,0,0,63536,82803
10.831,4.786,84.383,0,0,0,0,124164516,2200142,0,0,63592,82175
10.276,6.015,83.709,0,0,0,0,124167498,2203176,0,0,63523,82818
10.579,5.290,84.131,0,0,0,12288,124161534,2203490,0,0,63549,82867
10.354,5.051,84.596,0,0,0,0,124167625,2202830,0,0,63500,82718
10.380,5.063,84.557,0,0,0,0,124167645,2203572,0,0,63503,82688
10.380,5.063,84.557,0,0,0,0,124164516,2203743,0,0,63542,82775
10.750,5.250,83.750,0.250,0,0,0,124164516,2203360,0,0,63526,82839
10.406,4.822,84.772,0,0,0,12288,124164516,2203490,0,0,63518,82797
11.558,4.271,84.171,0,0,0,0,124164516,2203490,0,0,63533,82796
10.433,4.580,84.987,0,0,0,0,124164516,2203384,0,0,63528,82782
10.831,4.786,76.071,8.312,0,0,57245696,124167498,2203690,0,0,63884,82924
10.354,5.556,70.202,13.889,0,0,109060096,124164516,2203278,0,0,63625,82815
10.859,5.051,69.192,14.899,0,0,120397824,124164516,2203572,0,0,63657,82866
11.055,5.528,60.050,23.367,0,0,161488896,124164516,2203490,0,0,63685,82845
8.081,4.545,62.626,24.747,0,0,167772160,98515319,1747584,0,0,50773,65610
7.305,9.068,81.360,2.267,0,0,27262976,82938921,1485126,0,0,43170,54267
11.083,4.786,84.131,0,0,0,0,124164516,2205594,0,0,63580,82812
10.579,5.290,84.131,0,0,0,61440,124167498,2205472,0,0,63566,82798
11.028,5.263,83.459,0.251,0,0,4096,124164516,2198358,0,0,63350,82437
10.526,5.514,83.960,0,0,0,0,124164643,2204190,0,0,63647,82143
10.579,5.290,84.131,0,0,0,0,124164663,2205602,0,0,63575,82799
10.831,5.038,84.131,0,0,0,0,124164516,2205431,0,0,63554,82791
10.354,5.556,84.091,0,0,0,12288,124167498,2205296,0,0,63577,82809
10.606,5.051,84.343,0,0,0,0,124164516,2205614,0,0,63580,82779
11.335,4.534,84.131,0,0,0,0,124164516,2204530,0,0,63478,82461
9.898,5.584,84.518,0,0,0,0,124158552,2204330,0,0,63509,82529
10.777,5.263,83.709,0.251,0,0,0,124167498,2205614,0,0,63562,82725
10.579,5.290,84.131,0,0,0,12288,124164516,2205614,0,0,63567,82787
11.083,5.038,77.330,6.549,0,0,45449216,124167498,2205696,0,0,63667,82839
11.055,5.528,69.849,13.568,0,0,109846528,124161534,2205508,0,0,63673,82841
11.111,5.051,64.899,18.939,0,0,140509184,124167498,2205614,0,0,63709,82836
10.606,5.556,59.091,24.747,0,0,169082880,124164516,2205048,0,0,63716,82864
9.799,5.025,61.307,23.869,0,0,168558592,104869961,1861938,0,0,53988,69793
7.323,9.848,81.313,1.515,0,0,8458240,96778383,1728724,0,0,49340,63254
10.152,4.822,85.025,0,0,0,0,124164516,2202974,0,0,63635,82175
9.898,5.076,85.025,0,0,0,0,124164516,2205130,0,0,63570,82788
10.777,5.263,83.960,0,0,0,0,124167498,2204812,0,0,63554,82790
9.824,5.793,84.383,0,0,0,0,124164516,2205130,0,0,63568,82794
11.307,4.271,84.171,0.251,0,0,65536,124164516,2204882,0,0,63571,82817
10.804,5.276,83.920,0,0,0,0,124164516,2204894,0,0,63564,82801
10.606,4.798,84.596,0,0,0,0,124167498,2205012,0,0,63567,82811
10.859,4.545,84.596,0,0,0,0,124164516,2204458,0,0,63549,82796
10.354,5.051,84.596,0,0,0,0,124164516,2204906,0,0,63558,82747
10.831,5.038,84.131,0,0,0,12288,124167498,2204906,0,0,63556,82802
10.633,4.557,84.810,0,0,0,0,124164516,2204906,0,0,63555,82805
10.380,4.810,84.810,0,0,0,0,124164516,2204988,0,0,63559,82775
10.831,5.038,74.811,9.320,0,0,64286720,124167498,2205016,0,0,63645,82811
10.859,5.051,70.707,13.384,0,0,109846528,124161534,2204906,0,0,63660,82817
11.055,5.025,64.070,19.849,0,0,140541952,122929968,2169148,0,0,62938,81171
10.687,4.835,59.796,24.682,0,0,169082880,123761946,2197910,0,0,63516,82597
8.291,6.030,63.065,22.613,0,0,162267136,92664635,1645238,0,0,47865,61718
8.586,8.333,83.081,0,0,0,0,103914224,1870356,0,0,52487,67043
10.579,5.290,84.131,0,0,0,0,124167645,2209024,0,0,63609,82773
11.028,5.263,83.459,0.251,0,0,65536,124164516,2208841,0,0,63612,82770
11.055,5.025,83.920,0,0,0,0,124164516,2208246,0,0,63591,82565
10.152,5.076,84.772,0,0,0,0,124164516,2209130,0,0,63628,82810
10.804,5.276,83.920,0,0,0,0,124164516,2208800,0,0,63612,82787
10.579,5.290,84.131,0,0,0,0,124167498,2209094,0,0,63596,82753
11.558,4.523,83.920,0,0,0,12288,124164516,2208800,0,0,63629,82819
10.633,4.810,84.557,0,0,0,0,124167498,2208776,0,0,63626,82825
11.335,4.534,84.131,0,0,0,0,124164516,2208706,0,0,63624,82824
11.028,5.263,83.709,0,0,0,0,124164516,2208376,0,0,63613,82818
10.633,4.557,84.810,0,0,0,0,124164516,2208906,0,0,63622,82790
9.620,6.076,84.304,0,0,0,12288,124167498,2208776,0,0,63621,82778
11.055,5.276,74.121,9.548,0,0,73465856,124164516,2208882,0,0,63710,82802
10.553,5.779,69.849,13.819,0,0,106962944,124167498,2207952,0,0,63683,82655
10.579,5.793,64.484,19.144,0,0,140509184,124164516,2208812,0,0,63759,82851
10.633,5.316,59.241,24.810,0,0,169082880,124164516,2210868,0,0,63920,82220
7.053,4.030,51.385,37.531,0,0,168611840,83885627,1467252,0,0,43139,55788
0.251,0.251,50.251,49.246,0,0,169082880,0,0,0,0,1199,194
0.501,0,50.125,49.373,0,0,167772160,0,0,0,0,1197,189
0.252,0,50.126,49.622,0,0,168558592,0,0,0,0,1198,239
0.252,0,50.126,49.622,0,0,167772160,0,0,0,0,1195,225
0.501,0,50.125,49.373,0,0,167772160,0,0,0,0,1196,236
0.252,0,50.126,49.622,0,0,167772160,0,0,0,0,1198,232
0.251,0,50.251,49.497,0,0,165675008,0,0,0,0,1194,228
0.251,0,50,49.749,0,0,169082880,0,0,0,0,1197,232
3.778,6.297,63.980,25.945,0,0,95248384,41986903,757004,0,0,21472,27335
10.606,5.051,84.343,0,0,0,0,124167604,2203204,0,0,63660,81847
11.111,4.545,84.343,0,0,0,0,124164516,2197592,0,0,63333,82462
10.327,5.542,84.131,0,0,0,0,124164516,2205248,0,0,63571,82789
11.139,4.304,84.557,0,0,0,0,124167498,2204588,0,0,63558,82778
10.354,5.051,84.343,0.253,0,0,114688,124164516,2205118,0,0,63579,82804
11.055,5.025,83.920,0,0,0,0,124164516,2204882,0,0,63568,82810
10.804,5.276,83.920,0,0,0,0,124167498,2205012,0,0,63570,82799
10.380,5.063,84.557,0,0,0,0,124164516,2204906,0,0,63562,82788
11.028,5.013,83.960,0,0,0,0,124164516,2205012,0,0,63563,82798
9.873,5.823,84.304,0,0,0,12288,124164516,2204776,0,0,63566,82816
10.859,4.798,84.343,0,0,0,0,124167498,2205082,0,0,63562,82795
10.327,5.290,84.131,0.252,0,0,0,124164516,2203292,0,0,63630,82161
10.859,4.798,84.343,0,0,0,0,124167498,2204906,0,0,63549,82849
11.587,5.290,66.499,16.625,0,0,127250432,124164516,2204564,0,0,63688,82811
10.302,5.528,69.347,14.824,0,0,103587840,119631876,2109942,0,0,61241,78941
10.354,5.556,65.657,18.434,0,0,137641984,124167498,2204906,0,0,63690,82834
11.111,5.051,71.212,12.626,0,0,107749376,124167498,2204988,0,0,63659,82837
7.107,9.645,77.157,6.091,0,0,52428800,89271568,1598052,0,0,46375,58553
10.579,5.038,84.383,0,0,0,0,124167498,2205696,0,0,63563,82798
10.831,4.786,84.383,0,0,0,57344,124164516,2205696,0,0,63567,82794
10.941,3.817,85.242,0,0,0,0,124164516,2205590,0,0,63554,82785
10.859,4.798,84.343,0,0,0,0,124167498,2205802,0,0,63570,82805
10.178,4.580,85.242,0,0,0,0,124167498,2205520,0,0,63576,82784
10.302,5.528,84.171,0,0,0,0,124164516,2205190,0,0,63568,82775
10.660,4.569,84.772,0,0,0,12288,124164516,2204390,0,0,63662,82167
10.831,4.786,84.383,0,0,0,0,124164516,2205700,0,0,63568,82811
10.606,4.798,84.596,0,0,0,0,124167498,2205708,0,0,63580,82792
10.406,4.569,85.025,0,0,0,0,124164516,2205696,0,0,63580,82796
10.302,5.528,84.171,0,0,0,0,124164516,2205696,0,0,63576,82799
10.606,4.545,84.596,0.253,0,0,12288,124164516,2205484,0,0,63571,82781
10.101,5.556,81.818,2.525,0,0,17477632,124167498,2205720,0,0,63610,82799
10.633,5.063,67.595,16.709,0,0,129372160,124164516,2205696,0,0,63720,82854
10.327,5.542,67.758,16.373,0,0,120856576,123761946,2198300,0,0,63492,82573
10.406,5.330,59.645,24.619,0,0,168558592,124167498,2205378,0,0,63721,82860
10.302,5.779,57.035,26.884,0,0,167829504,120929046,2126196,0,0,61832,79895
6.750,9.500,79.250,4.500,0,0,41943040,75023572,1353846,0,0,39304,48793
10.886,4.557,84.557,0,0,0,0,124167498,2208882,0,0,63612,82745
11.278,5.013,83.709,0,0,0,0,124164643,2209024,0,0,63601,82745
10.914,4.315,84.772,0,0,0,0,124164663,2208694,0,0,63613,82781
10.804,4.774,84.171,0.251,0,0,65536,124167498,2208947,0,0,63627,82873
10.941,4.071,84.987,0,0,0,0,124164516,2210632,0,0,63762,82269
10.553,5.276,84.171,0,0,0,0,124164516,2208988,0,0,63642,82603
11.055,5.025,83.920,0,0,0,0,124164516,2208812,0,0,63613,82780
9.848,5.808,84.343,0,0,0,0,124167498,2208458,0,0,63599,82814
10.804,5.025,84.171,0,0,0,12288,124164516,2208882,0,0,63618,82828
11.111,4.545,84.343,0,0,0,0,124164516,2208776,0,0,63620,82817
11.083,4.786,84.131,0,0,0,0,124164516,2208776,0,0,63615,82833
11.278,4.762,83.960,0,0,0,0,124164516,2208800,0,0,63630,82809
10.302,5.779,81.407,2.513,0,0,25919488,124167498,2208882,0,0,63685,82815
9.873,5.316,71.392,13.418,0,0,116781056,117559386,2060412,0,0,60092,76764
10.804,5.528,72.362,11.307,0,0,130039808,124164516,2208694,0,0,63728,82843
10.886,5.063,68.861,15.190,0,0,166985728,124164516,2209024,0,0,63777,82866
10.859,5.051,68.939,15.152,0,0,168558592,123558155,2198624,0,0,63523,81867
6.266,9.524,80.201,4.010,0,0,33554432,73202585,1321952,0,0,38439,47444
