"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569171834-50-macsec-aesgcm-e-1464-hB5-dstat.csv",,,,"Date:","22 Sep 2019 21:35:11 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.017,3.184,88.354,4.445,0,16749.066,28904658.158,0,0,0,0,18275.671,25633.334
0,0.250,99.750,0,0,0,0,502,612,0,0,191,119
0,0,100,0,0,0,0,0,0,0,0,63,41
0,0,100,0,0,0,0,127,0,0,0,47,34
0,0,100,0,0,0,0,147,147,0,0,67,61
4.523,3.769,91.709,0,0,0,45056,88334363,1502198,0,0,14971,28201
6.030,5.276,88.442,0.251,0,0,0,123372414,2113042,0,0,20611,39836
6.266,5.514,88.221,0,0,0,0,123372414,2118516,0,0,20569,40140
6.549,4.786,88.665,0,0,0,0,123372414,2112618,0,0,20634,39852
6.045,5.290,88.665,0,0,0,0,123372414,2112830,0,0,20634,39821
6.297,5.290,88.413,0,0,0,28672,123376968,2118732,0,0,20563,40135
4.786,4.282,90.932,0,0,0,0,123440851,1242420,0,0,11554,22257
3.299,3.299,93.401,0,0,0,0,123296661,545093,0,0,4383,8177
3.069,2.813,94.118,0,0,0,0,123361788,545046,0,0,4369,8100
3.544,3.291,93.165,0,0,0,0,123370896,545476,0,0,4365,8150
2.551,3.571,93.878,0,0,0,12288,123369378,548862,0,0,4364,8090
3.562,2.799,93.639,0,0,0,0,123460458,549928,0,0,4371,8182
3.308,3.053,93.639,0,0,0,0,123370896,547378,0,0,4355,8077
3.535,3.283,92.929,0.253,0,0,0,123369378,545052,0,0,4389,8154
3.046,4.061,83.503,9.391,0,0,77185024,123366342,545682,0,0,4745,8203
3.077,4.103,74.872,17.949,0,0,113336320,112928574,491628,0,0,4185,7568
3.581,4.604,79.795,12.020,0,0,104919040,123372414,547484,0,0,4598,8096
4.359,4.359,73.590,17.692,0,0,132128768,123369378,548544,0,0,4631,8109
3.053,9.415,79.389,8.142,0,0,77598720,92746176,418010,0,0,3703,6421
4.337,4.082,91.582,0,0,0,0,123173556,542566,0,0,4445,7952
3.562,5.089,91.349,0,0,0,65536,123299550,544092,0,0,4409,8063
3.046,3.553,93.401,0,0,0,0,123370896,548756,0,0,4395,8110
3.046,3.553,93.401,0,0,0,0,123372541,547494,0,0,4331,8168
3.299,3.299,93.401,0,0,0,4096,123371043,544981,0,0,4423,8133
2.799,3.562,93.639,0,0,0,0,123455904,545476,0,0,4334,8147
3.061,3.061,93.878,0,0,0,12288,123373932,549922,0,0,4385,8132
3.299,3.299,93.401,0,0,0,0,123373932,545264,0,0,4344,8170
4.293,2.778,92.929,0,0,0,0,123366342,545788,0,0,4407,8141
3.046,3.299,93.655,0,0,0,0,123372414,545900,0,0,4336,8152
2.799,3.562,93.639,0,0,0,0,123372414,546954,0,0,4373,8098
3.046,3.553,93.401,0,0,0,12288,123296514,546112,0,0,4348,8167
2.806,3.316,93.878,0,0,0,0,123372414,546636,0,0,4388,8113
2.792,3.807,92.893,0.508,0,0,2793472,123370896,545894,0,0,4353,8086
2.813,3.581,75.959,17.647,0,0,131477504,123457422,547596,0,0,4517,8214
2.806,3.571,72.449,21.173,0,0,142610432,123372414,547802,0,0,4509,8134
3.836,3.581,66.240,26.343,0,0,167038976,114300846,494808,0,0,4271,8102
4.359,4.103,66.410,25.128,0,0,168558592,123370896,545788,0,0,4575,8109
2.771,9.824,79.597,7.809,0,0,58720256,83405922,373284,0,0,3288,5771
3.544,3.797,92.658,0,0,0,0,123369378,544410,0,0,4383,8101
3.856,2.828,93.316,0,0,0,0,123290442,543568,0,0,4405,8181
3.061,3.827,93.112,0,0,0,77824,123448314,548332,0,0,4389,8097
3.817,4.835,91.349,0,0,0,0,123372414,545476,0,0,4386,8103
3.316,4.847,91.582,0.255,0,0,0,123298032,546530,0,0,4398,8049
4.337,4.082,91.582,0,0,0,0,123375450,544416,0,0,4405,8136
3.342,4.370,92.288,0,0,0,0,123363306,550982,0,0,4392,8044
4.326,3.817,91.858,0,0,0,12288,123367860,549292,0,0,4415,8136
3.342,3.856,92.802,0,0,0,0,123454386,546106,0,0,4393,8060
3.836,4.348,91.816,0,0,0,0,123373932,546324,0,0,4389,8137
3.608,4.124,92.268,0,0,0,0,123369378,545788,0,0,4396,8049
4.293,3.283,92.424,0,0,0,0,123369378,545682,0,0,4399,8111
3.590,4.359,92.051,0,0,0,12288,123369378,549928,0,0,4396,8119
4.337,4.592,84.439,6.633,0,0,56700928,123302586,546636,0,0,4519,8113
3.827,4.847,79.337,11.990,0,0,106176512,123370896,546006,0,0,4489,8141
4.381,3.866,69.588,22.165,0,0,168558592,123372414,548968,0,0,4606,8123
3.562,3.562,69.211,23.664,0,0,167772160,123355843,546218,0,0,4531,8218
3.085,2.828,64.010,30.077,0,0,169140224,103666472,454881,0,0,4029,12140
0,0.504,84.131,15.365,0,0,167772160,0,0,0,0,507,9903
0,0.252,88.161,11.587,0,0,168558592,0,110,0,0,608,12730
0,0,87.626,12.374,0,0,167772160,0,0,0,0,589,12722
0,0.253,88.131,11.616,0,0,167772160,82,82,0,0,595,12704
0,0.252,89.421,10.327,0,0,167772160,0,0,0,0,573,12767
0,0.253,86.869,12.879,0,0,169082880,0,0,0,0,599,12624
0,0.253,89.899,9.848,0,0,167772160,0,0,0,0,596,12636
0,0.252,83.123,16.625,0,0,167772160,0,0,0,0,605,12462
2.010,6.281,87.688,4.020,0,0,84774912,44556679,200080,0,0,2119,9560
4.604,3.581,91.816,0,0,0,0,123370896,549816,0,0,4429,8065
4.326,4.580,91.094,0,0,0,0,123372414,548762,0,0,4417,8108
4.082,4.337,91.582,0,0,0,0,123372414,546636,0,0,4417,8068
3.308,3.053,93.639,0,0,0,0,123367860,547066,0,0,4373,8137
4.271,3.266,92.462,0,0,0,139264,123370896,549816,0,0,4400,8107
3.299,3.046,93.655,0,0,0,0,123455904,550034,0,0,4359,8149
3.562,2.799,93.639,0,0,0,0,123372414,544516,0,0,4389,8097
3.788,3.283,92.929,0,0,0,0,123372414,546324,0,0,4342,8135
3.046,3.553,93.401,0,0,0,0,123369378,550346,0,0,4383,8086
3.053,3.308,93.639,0,0,0,12288,123370896,544628,0,0,4345,8142
2.813,3.069,94.118,0,0,0,0,123372414,548544,0,0,4392,8117
3.046,3.553,93.401,0,0,0,0,123380004,550028,0,0,4378,8089
3.046,3.553,93.401,0,0,0,0,123287406,550670,0,0,4371,8136
2.792,3.807,88.832,4.569,0,0,44183552,123373932,546848,0,0,4425,8093
3.069,3.069,85.678,8.184,0,0,98611200,118495080,520672,0,0,4357,8341
3.562,4.071,81.170,11.196,0,0,132149248,123372414,547802,0,0,4553,8146
3.553,3.807,88.071,4.569,0,0,102768640,123369378,546536,0,0,4501,8198
3.061,3.061,77.296,16.582,0,0,167772160,117584867,521302,0,0,4403,7786
2.792,9.391,88.071,-0.254,0,0,25165824,83798497,554662,0,0,5091,9439
3.093,4.381,92.526,0,0,0,90112,123372414,545576,0,0,4393,8055
3.866,3.608,92.526,0,0,0,0,123367860,548974,0,0,4413,8112
4.370,3.342,92.288,0,0,0,0,123440724,546954,0,0,4405,8061
3.856,3.856,92.288,0,0,0,0,123299550,549504,0,0,4408,8113
3.325,4.604,92.072,0,0,0,0,123364824,547696,0,0,4395,8050
4.569,4.315,91.117,0,0,0,12288,123370896,549716,0,0,4388,8126
3.333,4.359,92.308,0,0,0,0,123373932,547908,0,0,4394,8055
3.333,4.615,92.051,0,0,0,0,123369378,549710,0,0,4416,8068
3.077,4.615,92.308,0,0,0,0,123455904,544840,0,0,4367,8104
2.821,2.821,94.359,0,0,0,0,123372414,547802,0,0,4387,8110
3.291,3.544,93.165,0,0,0,12288,123369378,545900,0,0,4351,8172
3.046,3.299,93.655,0,0,0,0,123370896,547590,0,0,4410,8119
3.038,3.797,93.165,0,0,0,0,123372414,550246,0,0,4358,8153
3.046,3.553,89.086,4.315,0,0,71315456,123380004,548650,0,0,4482,8134
3.316,3.316,79.847,13.520,0,0,129302528,123288924,550776,0,0,4511,8215
3.571,3.571,71.429,21.429,0,0,167849984,116032884,508582,0,0,4346,7807
3.351,3.351,69.588,23.711,0,0,167772160,123369378,547702,0,0,4523,8228
2.558,2.813,70.332,24.297,0,0,168558592,80817389,356896,0,0,3142,5376
5.500,9.250,85.250,0,0,0,8388608,95110633,1640984,0,0,16402,30178
6.281,5.276,88.442,0,0,0,0,123369378,2120146,0,0,20712,39840
6.015,5.514,88.221,0.251,0,0,110592,123372414,2118516,0,0,20585,40124
6.533,5.025,88.442,0,0,0,0,123373932,2120040,0,0,20717,39843
6.281,5.276,88.442,0,0,0,0,123372414,2120370,0,0,20701,39840
6.767,5.013,88.221,0,0,0,0,123375450,2118622,0,0,20577,40129
6.484,5.486,88.030,0,0,0,0,123352680,2120040,0,0,20700,39829
5.556,4.545,89.899,0,0,0,12288,123372414,1118512,0,0,10301,19780
4.592,3.827,91.582,0,0,0,0,123369378,547060,0,0,4403,8041
3.817,4.580,91.603,0,0,0,0,123454386,545688,0,0,4405,8128
3.827,3.827,92.347,0,0,0,0,123372414,548862,0,0,4409,8061
4.051,2.785,93.165,0,0,0,0,123372414,546536,0,0,4374,8157
3.778,3.526,92.695,0,0,0,12288,123367860,550982,0,0,4389,8110
3.788,3.283,92.929,0,0,0,0,123296514,548444,0,0,4380,8189
4.061,3.046,84.772,8.122,0,0,77701120,123372414,546742,0,0,4562,8153
4.293,4.040,77.020,14.646,0,0,133435392,123367860,548014,0,0,4596,8191
4.082,3.827,75.510,16.582,0,0,167772160,123451477,551094,0,0,4568,8208
3.846,3.590,78.974,13.590,0,0,167825408,111198201,485091,0,0,4205,7224
2.778,8.586,81.313,7.323,0,0,132907008,74265701,328070,0,0,2923,5053
4.822,4.315,90.863,0,0,0,0,120696523,538432,0,0,4470,8109
3.093,4.124,92.784,0,0,0,0,123372414,547908,0,0,4420,8063
3.788,4.040,92.172,0,0,0,0,123370896,550352,0,0,4392,8143
2.806,3.316,93.878,0,0,0,73728,123372414,551300,0,0,4364,8096
2.799,3.562,93.639,0,0,0,0,123454386,548332,0,0,4394,8089
2.799,3.562,93.639,0,0,0,0,123372414,546540,0,0,4350,8139
3.797,2.785,93.418,0,0,0,0,123373932,548968,0,0,4388,8090
3.553,3.046,93.401,0,0,0,0,123369378,548126,0,0,4343,8147
3.553,3.299,93.147,0,0,0,12288,123369378,547166,0,0,4390,8096
3.046,3.299,93.655,0,0,0,0,123363306,546006,0,0,4344,8131
