"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569171834-50-macsec-aesgcm-e-frag-jumbo-2928-hB5-dstat.csv",,,,"Date:","22 Sep 2019 23:41:07 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.998,3.250,87.664,5.088,0,11982.038,32898689.153,0,0,0,0,15665.370,22918.589
0,0,100,0,0,0,0,0,612,0,0,181,117
0,0,100,0,0,0,0,0,0,0,0,49,40
0,0,100,0,0,0,0,127,0,0,0,50,37
0,0,100,0,0,0,0,147,147,0,0,66,63
0.758,1.263,97.727,0.253,0,0,45056,31726963,155360,0,0,1405,2596
2.584,3.876,93.540,0,0,0,0,101535844,499124,0,0,4166,7116
1.285,3.342,95.373,0,0,0,0,76468936,365770,0,0,3157,5278
0.763,1.272,97.964,0,0,0,0,40643464,195580,0,0,1723,2872
1.276,1.786,96.939,0,0,0,0,51699360,245568,0,0,2098,3479
2.314,2.057,95.630,0,0,0,32768,77339694,365388,0,0,3145,5287
1.531,1.276,97.194,0,0,0,0,49041703,231382,0,0,2079,3452
1.028,1.542,97.429,0,0,0,0,55334239,267019,0,0,2310,3917
0.509,2.290,97.201,0,0,0,0,45522136,222478,0,0,1902,3244
1.279,1.279,97.442,0,0,0,0,51650816,241704,0,0,2127,3497
1.272,2.036,96.692,0,0,0,16384,53671460,260126,0,0,2240,3753
1.567,2.872,95.561,0,0,0,0,90558832,438996,0,0,3710,6344
2.256,1.754,95.990,0,0,0,0,45925658,217738,0,0,1874,3143
0.510,1.276,98.214,0,0,0,0,39910754,193376,0,0,1645,2754
2.290,3.562,94.148,0,0,0,0,78659484,375964,0,0,3143,5304
1.263,1.515,97.222,0,0,0,16384,40120098,189714,0,0,1708,2825
0.510,1.276,98.214,0,0,0,0,39167424,188500,0,0,1632,2731
1.538,1.538,96.923,0,0,0,0,58248248,281152,0,0,2390,3995
0.513,1.282,98.205,0,0,0,385024,44809146,211298,0,0,1929,3091
0.769,2.051,97.179,0,0,0,0,55767954,264270,0,0,2297,3807
0.763,1.272,97.964,0,0,0,36864,38794242,181490,0,0,1625,2672
1.305,2.089,96.606,0,0,0,0,80337286,383650,0,0,3302,5563
0.758,0.758,98.485,0,0,0,0,27331915,129098,0,0,1166,1879
0.761,1.269,97.970,0,0,0,0,36835941,178963,0,0,1573,2574
0.512,1.279,98.210,0,0,0,20480,40561546,196104,0,0,1731,2850
0.769,2.308,96.923,0,0,0,45056,57961536,279680,0,0,2446,4094
0.254,1.781,97.964,0,0,0,0,40669254,189634,0,0,1688,2793
0.506,2.278,97.215,0,0,0,0,41731152,194288,0,0,1714,2848
0.512,1.023,98.465,0,0,0,0,37739926,179420,0,0,1593,2597
0,1.028,98.972,0,0,0,12288,38407406,181688,0,0,1622,2664
1.020,1.531,97.449,0,0,0,32768,48246668,237066,0,0,2101,3456
0.508,1.523,97.970,0,0,0,0,35485664,166186,0,0,1469,2405
1.535,3.069,95.396,0,0,0,0,71623638,348286,0,0,2975,4980
0.759,2.532,96.709,0,0,0,0,47102850,223776,0,0,1939,3197
0.777,2.591,80.311,16.321,0,0,133431296,64684880,310886,0,0,2869,4605
0.763,2.036,86.260,10.941,0,0,167800832,43671396,203968,0,0,2068,3312
1.309,2.356,88.482,7.853,0,0,168558592,77938910,375260,0,0,3446,5410
1.535,2.302,89.003,7.161,0,0,169869312,56021292,264242,0,0,2550,3908
2.057,2.057,89.460,6.427,0,0,167772160,67369970,322410,0,0,2988,4671
0.512,1.535,90.026,7.928,0,0,169082880,38950492,181050,0,0,1808,2718
1.542,1.285,83.033,14.139,0,0,167845888,49552806,229194,0,0,2312,4012
1.023,2.046,76.471,20.460,0,0,168558592,49844068,240484,0,0,2307,3602
1.023,2.046,73.402,23.529,0,0,167772160,47735522,229918,0,0,2177,3414
1.023,2.302,72.634,24.041,0,0,169082880,47604043,226704,0,0,2212,3383
1.047,7.330,91.623,0,0,0,7077888,85179999,416884,0,0,3555,6305
1.008,1.511,97.481,0,0,0,118784,33152518,158428,0,0,1473,2406
0.769,1.282,97.949,0,0,0,0,46429302,226142,0,0,1924,3222
0.514,2.571,96.915,0,0,0,0,63164846,301896,0,0,2568,4354
1.542,1.799,96.658,0,0,0,0,62145422,304020,0,0,2628,4438
1.554,2.591,95.855,0,0,0,0,79575752,381668,0,0,3191,5472
1.527,1.781,96.692,0,0,0,16384,50831636,241564,0,0,2139,3614
1.036,2.073,96.891,0,0,0,0,69593892,336062,0,0,2921,4841
0.761,1.523,97.716,0,0,0,0,40625260,191436,0,0,1666,2739
1.289,2.320,96.392,0,0,0,0,66942176,328788,0,0,2764,4615
0,1.039,98.961,0,0,0,147456,50828729,253498,0,0,2215,3673
0.775,1.550,97.416,0.258,0,0,16384,56793593,271293,0,0,2397,3956
0.506,1.266,98.228,0,0,0,0,31963190,143888,0,0,1343,2145
1.279,2.558,96.164,0,0,0,0,62659686,303586,0,0,2563,4417
1.282,1.795,96.923,0,0,0,0,58272520,283494,0,0,2471,4109
1.772,1.519,96.709,0,0,0,8192,48492422,232262,0,0,2079,3466
1.768,2.525,95.455,0.253,0,0,24576,57181798,275944,0,0,2412,3998
1.542,2.057,96.401,0,0,0,0,65482822,316630,0,0,2704,4613
0.769,3.077,96.154,0,0,0,0,66975550,326962,0,0,2735,4544
0.767,0.767,98.465,0,0,0,0,37439560,175488,0,0,1569,2527
1.028,1.028,97.943,0,0,0,8192,52369874,248654,0,0,2191,3615
0.517,1.292,98.191,0,0,0,24576,51224540,248498,0,0,2176,3619
0.508,1.269,98.223,0,0,0,0,33836684,164100,0,0,1466,2377
1.272,1.272,97.455,0,0,0,0,43993000,207908,0,0,1868,3021
0.509,0.763,98.728,0,0,0,0,29790846,140272,0,0,1233,2001
0.504,1.008,98.489,0,0,0,0,23061434,106688,0,0,982,1541
0.255,0.510,99.235,0,0,0,16384,26808424,123908,0,0,1168,1848
0.763,1.272,97.964,0,0,0,0,40118582,189672,0,0,1701,2798
1.285,1.285,97.429,0,0,0,0,54936638,267142,0,0,2244,3821
1.531,2.296,96.173,0,0,0,0,62545910,302062,0,0,2518,4225
0.256,3.333,93.333,3.077,0,0,47448064,60202146,290000,0,0,2527,4220
1.535,1.279,76.726,20.460,0,0,168587264,50734548,245822,0,0,2341,3569
1.519,1.772,78.481,18.228,0,0,167772160,39977500,187934,0,0,1989,2871
1.542,2.057,79.434,16.967,0,0,169082880,60592014,292716,0,0,2684,4306
0.763,2.799,80.153,16.285,0,0,168558592,50197530,239680,0,0,2246,3500
1.523,2.538,85.279,10.660,0,0,169082880,52612594,253350,0,0,2357,3652
1.292,1.292,85.530,11.886,0,0,167841792,56382340,282438,0,0,2663,4125
2.015,1.763,64.232,31.990,0,0,168558592,39214450,188662,0,0,1893,3047
1.282,1.026,66.923,30.769,0,0,167772160,40626776,189796,0,0,1850,2963
1.263,1.768,66.414,30.556,0,0,169082880,36565768,175172,0,0,1769,2782
0.519,1.818,93.506,4.156,0,0,17567744,63064724,303240,0,0,2560,4336
1.546,3.093,95.361,0,0,0,45056,78401676,378470,0,0,3258,5509
1.289,1.546,97.165,0,0,0,0,61751002,303828,0,0,2547,4351
2.025,2.785,95.190,0,0,0,0,66681252,319238,0,0,2711,4588
1.269,5.838,92.893,0,0,0,0,32096014,156600,0,0,1563,2290
1.028,2.571,96.401,0,0,0,0,68905174,335462,0,0,2881,4844
2.041,3.061,94.643,0.255,0,0,106496,76282346,367716,0,0,3068,5199
1.542,3.342,95.116,0,0,0,0,82687118,405696,0,0,3420,5796
0.765,1.020,98.214,0,0,0,0,38364930,182670,0,0,1592,2608
1.531,2.296,96.173,0,0,0,0,63148160,296986,0,0,2594,4359
0.513,1.026,98.462,0,0,0,98304,40739034,198200,0,0,1758,2905
1.550,1.550,96.899,0,0,0,0,67254678,321824,0,0,2695,4602
1.279,2.302,96.419,0,0,0,24576,63559266,306466,0,0,2627,4433
1.018,2.036,96.947,0,0,0,0,49533084,238324,0,0,2078,3454
1.538,2.821,95.641,0,0,0,0,73134570,357936,0,0,3033,5181
1.519,0.506,97.975,0,0,0,4096,33152518,157080,0,0,1391,2259
0.769,1.795,97.436,0,0,0,0,54253988,262812,0,0,2276,3819
