"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569171834-50-macsec-aesgcm-e-jumbo-1500-hB5-dstat.csv",,,,"Date:","22 Sep 2019 23:06:52 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.907,3.240,88.057,4.796,0,12987.362,31870673.690,0,0,0,0,16511.901,24067.099
0,0,100,0,0,0,0,502,876,0,0,1077,143
0,0,100,0,0,0,0,0,0,0,0,1033,43
0,0,100,0,0,0,45056,127,0,0,0,1043,67
0,0,100,0,0,0,0,147,0,0,0,1042,45
5.514,2.506,91.980,0,0,0,0,88272499,1168272,0,0,11558,21329
7.789,4.020,88.191,0,0,0,0,123407802,2163036,0,0,21031,40093
7.286,4.523,88.191,0,0,0,0,123362736,2155984,0,0,21091,39804
7.789,4.271,87.940,0,0,0,28672,123370612,2157260,0,0,21094,39818
7.286,4.271,88.191,0.251,0,0,0,123409356,2162400,0,0,21030,40114
8.020,4.010,87.970,0,0,0,0,123384492,2156620,0,0,21084,39820
7.323,4.293,88.384,0,0,0,0,123407929,2163566,0,0,21035,40122
6.484,3.491,90.025,0,0,0,0,123392515,1054750,0,0,10048,17711
5.750,3.250,91,0,0,0,8192,123409356,565510,0,0,5033,8120
5.514,3.258,91.228,0,0,0,4096,123398584,566682,0,0,5059,8063
5.013,3.509,91.479,0,0,0,0,123397030,564326,0,0,5053,8062
5.473,3.980,90.547,0,0,0,0,123407802,565510,0,0,5033,8113
5.013,3.258,91.479,0.251,0,0,0,123400138,565822,0,0,5054,8047
5.025,3.518,91.457,0,0,0,12288,123409356,566146,0,0,5030,8112
5.514,3.509,80.702,10.276,0,0,80543744,123400138,564856,0,0,5441,8180
5.038,3.526,75.819,15.617,0,0,122425344,123410910,566888,0,0,5153,8186
5.764,3.258,74.687,16.291,0,0,120856576,123395476,565728,0,0,5173,8101
5.736,3.741,78.304,12.219,0,0,105652224,123397030,565822,0,0,5154,8097
3.250,8.250,76.250,12.250,0,0,100827136,64863724,300566,0,0,3286,4536
4.774,3.518,91.457,0.251,0,0,4096,123227644,574656,0,0,5145,8243
5.250,3.500,91.250,0,0,0,0,123407908,565834,0,0,5055,8057
5.250,3.500,91.250,0,0,0,0,123409356,566464,0,0,5028,8096
5.263,3.509,91.228,0,0,0,20480,123389387,566258,0,0,5066,8092
5.237,3.491,91.272,0,0,0,12288,123411057,565404,0,0,5039,8128
5.250,3.500,91.250,0,0,0,0,123396924,564880,0,0,5062,8059
5.764,2.757,91.479,0,0,0,0,123403140,565192,0,0,5031,8115
5.263,3.258,91.479,0,0,0,0,123400138,563914,0,0,5056,8062
5.025,3.266,91.457,0.251,0,0,20480,123404800,565810,0,0,5054,8076
5.263,3.258,91.479,0,0,0,0,123409356,566358,0,0,5035,8107
5.750,3,91.250,0,0,0,0,123404800,564432,0,0,5035,8070
5.013,3.509,91.479,0,0,0,0,123409356,565298,0,0,5030,8126
5.013,3.509,91.479,0,0,0,0,123401692,564432,0,0,5049,8058
4.786,3.526,91.688,0,0,0,12288,123409356,564980,0,0,5034,8127
5.764,3.258,74.687,16.291,0,0,125984768,123395476,564774,0,0,5207,8109
5.514,3.759,70.175,20.551,0,0,141819904,123005316,564132,0,0,5155,8178
6.015,3.008,66.416,24.561,0,0,168558592,123403246,565186,0,0,5214,8158
5.025,4.020,66.583,24.372,0,0,167772160,123403246,564856,0,0,5212,8140
1.259,1.008,48.111,49.622,0,0,169132032,29760499,126564,0,0,2172,2048
0.252,0,50.378,49.370,0,0,168558592,0,0,0,0,1199,240
0.251,0,50.251,49.497,0,0,167772160,0,0,0,0,1197,233
0,0,50.505,49.495,0,0,167772160,0,0,0,0,1197,228
0.251,0,50.251,49.497,0,0,167772160,0,0,0,0,1193,226
0.252,0,50.126,49.622,0,0,169082880,0,0,0,0,1200,243
0.501,0,50.125,49.373,0,0,167772160,0,0,0,0,1196,240
0.501,0,50.125,49.373,0,0,166461440,0,0,0,0,1195,227
0.505,4.798,53.788,40.909,0,0,149012480,7214011,36516,0,0,1441,819
5.500,3.250,91.250,0,0,0,0,123409462,565284,0,0,5056,8061
5.237,3.741,91.022,0,0,0,0,123339532,565092,0,0,5056,8062
5.721,3.234,90.796,0.249,0,0,0,123412464,565616,0,0,5031,8102
5.013,3.509,91.479,0,0,0,0,123392368,565092,0,0,5055,8042
4.786,3.526,91.688,0,0,0,143360,123412464,565404,0,0,5040,8127
4.798,3.030,92.172,0,0,0,0,123342722,565492,0,0,5068,8089
5.250,3.500,91.250,0,0,0,0,123407802,564450,0,0,5032,8114
4.534,3.526,91.940,0,0,0,0,123376828,565198,0,0,5055,8050
5.500,3.500,91,0,0,0,0,123409483,566570,0,0,5034,8118
5,3.500,91.250,0.250,0,0,12288,123375421,564562,0,0,5058,8085
5.486,3.491,91.022,0,0,0,0,123348856,564550,0,0,5056,8054
5.013,3.509,91.479,0,0,0,0,123410910,565404,0,0,5028,8104
5,3.750,91.250,0,0,0,0,123355072,565304,0,0,5058,8056
4.534,3.526,91.940,0,0,0,0,123410910,564662,0,0,5030,8113
6.015,3.258,71.930,18.797,0,0,134389760,123365950,566682,0,0,5212,8145
5.750,3.500,75.750,15,0,0,106975232,123409356,564980,0,0,5131,8155
5.500,3.500,78,13,0,0,106962944,123361288,564668,0,0,5160,8097
5.263,3.759,72.682,18.296,0,0,136318976,123409356,565086,0,0,5159,8162
4.040,7.828,82.323,5.808,0,0,52428800,85833612,395196,0,0,3950,5751
5.500,3.250,91.250,0,0,0,65536,123407802,564662,0,0,5032,8138
5.486,3.491,91.022,0,0,0,0,123411016,564856,0,0,5054,8064
5.750,3,91.250,0,0,0,0,123407802,563602,0,0,5032,8126
4.762,3.759,91.479,0,0,0,0,123401692,563714,0,0,5056,8052
5.500,3.250,91.250,0,0,0,0,123407802,565510,0,0,5031,8112
5,3.750,91.250,0,0,0,12288,123383044,563596,0,0,5055,8078
4.762,3.759,91.479,0,0,0,0,123397030,564350,0,0,5052,8058
5.038,3.023,91.940,0,0,0,0,123410910,563496,0,0,5030,8107
5.514,3.008,91.479,0,0,0,0,123411016,564338,0,0,5051,8064
5.263,3.258,91.479,0,0,0,0,123410910,565192,0,0,5030,8122
5.224,3.731,90.796,0.249,0,0,12288,123386152,564644,0,0,5054,8083
5.250,3.500,91.250,0,0,0,0,123409356,565298,0,0,5032,8107
5.263,3.258,91.479,0,0,0,0,123407908,563808,0,0,5053,8059
4.786,3.526,83.879,7.809,0,0,67121152,123392368,563584,0,0,5130,8092
4.774,3.769,76.884,14.573,0,0,114606080,123412464,564556,0,0,5146,8169
5.500,3.500,65.250,25.750,0,0,168558592,118488278,533810,0,0,5061,7581
5.500,4,65.750,24.750,0,0,167038976,121911390,556182,0,0,5161,8125
3.778,5.290,69.270,21.662,0,0,158072832,95895207,438080,0,0,4348,6371
4.762,6.266,88.972,0,0,0,0,104722955,481062,0,0,4566,7267
5.013,3.509,91.479,0,0,0,0,123409356,564556,0,0,5033,8114
5.013,3.759,91.228,0,0,0,77824,123376828,564350,0,0,5061,8079
5.263,3.258,91.479,0,0,0,0,123411016,562630,0,0,5056,8054
5.237,3.741,91.022,0,0,0,0,123410910,564132,0,0,5029,8125
5.500,3.250,91.250,0,0,0,0,123409462,562536,0,0,5056,8044
5.250,3.500,91.250,0,0,0,0,123409356,563708,0,0,5028,8100
4.798,3.030,91.919,0.253,0,0,12288,123334764,563396,0,0,5046,8044
5.237,3.741,91.022,0,0,0,0,123410910,563496,0,0,5028,8116
5.025,3.266,91.709,0,0,0,0,123333316,563714,0,0,5052,8042
5.224,3.980,90.796,0,0,0,0,123403140,564344,0,0,5032,8108
4.762,3.759,91.479,0,0,0,0,123367504,564220,0,0,5056,8061
6.015,3.008,90.977,0,0,0,12288,123044272,562536,0,0,5053,8073
5.250,3.500,91.250,0,0,0,0,123410910,564132,0,0,5036,8100
5.025,3.769,77.889,13.317,0,0,98631680,123353412,562842,0,0,5168,8106
5.721,3.731,71.891,18.657,0,0,134221824,123410910,564662,0,0,5161,8176
